#{"t_start": 1616426181.8900204, "env_id": null}
r,l,t
7,100,2.231754
9,100,5.159985
9,100,7.797861
12,100,10.268979
3,100,11.134706
14,100,14.023086
11,100,17.386751
12,100,20.594578
13,100,23.611118
9,100,24.86552
10,100,27.967644
10,100,31.396885
11,100,34.501041
10,100,35.907412
12,100,39.271488
11,100,42.563134
11,100,45.784075
16,100,49.197586
12,100,50.708069
10,100,54.01229
12,100,57.497667
12,100,60.736119
10,100,62.276803
17,100,65.445745
14,100,92.64196
14,100,95.958449
12,100,121.494081
13,100,122.797079
17,100,126.222503
16,100,129.354743
13,100,132.646144
14,100,134.007929
7,100,137.346866
17,100,140.942854
15,100,144.24378
15,100,147.552975
11,100,148.957452
11,100,152.242513
16,100,155.650897
10,100,159.003531
15,100,162.503238
5,100,163.807838
16,100,166.681879
17,100,169.729521
11,100,173.100741
14,100,174.553576
17,100,177.896824
17,100,181.712644
15,100,184.997191
22,100,188.47282
19,100,189.930044
16,100,193.204792
14,100,196.568951
16,100,199.823666
13,100,201.313191
17,100,204.628972
20,100,207.971768
19,100,211.294576
21,100,214.508867
20,100,216.018982
16,100,219.373598
21,100,222.787456
15,100,225.939095
13,100,227.361891
17,100,230.684097
16,100,234.101234
13,100,237.522069
14,100,240.836596
13,100,242.253182
20,100,245.756647
17,100,249.023862
13,100,252.293032
16,100,255.826086
13,100,257.281274
15,100,260.589903
14,100,263.746475
13,100,267.008891
14,100,268.457156
19,100,271.839398
15,100,275.114636
17,100,278.320441
22,100,281.637099
27,100,284.55551
14,100,287.727274
23,100,291.517845
16,100,294.844721
14,100,296.230242
30,100,299.908174
23,100,302.978685
18,100,306.636549
14,100,309.909946
20,100,311.331141
19,100,314.725762
22,100,317.606381
17,100,320.626573
14,100,322.061766
27,100,325.321888
18,100,328.491307
22,100,331.598192
15,100,334.773555
13,100,336.031019
18,100,339.131739
23,100,342.640621
19,100,345.823899
16,100,349.161908
25,100,350.627931
23,100,353.858756
19,100,357.138227
19,100,360.369026
19,100,361.692242
16,100,365.005092
17,100,368.343295
20,100,371.634922
22,100,374.670416
16,100,376.022939
21,100,379.254679
22,100,382.551438
18,100,385.8329
18,100,387.279528
22,100,390.477795
24,100,393.832149
22,100,396.943526
19,100,400.262168
21,100,401.61946
18,100,404.945488
18,100,408.085156
19,100,411.437812
21,100,412.952444
22,100,416.216654
19,100,420.850512
18,100,424.12786
16,100,427.302838
22,100,428.799738
21,100,432.199461
24,100,435.465645
21,100,438.773616
24,100,441.99311
13,100,443.314049
16,100,446.722699
18,100,450.146821
19,100,453.502897
25,100,454.930622
19,100,458.409174
18,100,461.687613
20,100,464.970412
17,100,468.388802
24,100,469.780891
20,100,473.083508
19,100,476.438568
21,100,479.629923
18,100,481.130538
24,100,484.430177
15,100,487.616665
16,100,490.815379
20,100,494.053293
20,100,495.440538
23,100,498.778777
21,100,501.981593
18,100,505.181019
18,100,506.460564
25,100,509.541713
21,100,512.637504
17,100,515.82986
15,100,519.035177
27,100,520.198429
22,100,523.48886
24,100,527.054917
17,100,530.454493
13,100,533.77562
18,100,535.310929
19,100,538.580314
24,100,541.898081
26,100,545.188829
17,100,546.635824
