#{"t_start": 1616602773.5237174, "env_id": null}
r,l,t
9,100,1.065757
9,100,2.792532
8,100,4.384837
7,100,6.065901
8,100,6.562912
12,100,8.278725
11,100,9.868574
6,100,11.508697
9,100,13.154274
14,100,13.627288
10,100,15.210311
10,100,16.765158
12,100,18.511208
15,100,19.021946
14,100,20.608382
15,100,22.17729
13,100,23.727427
6,100,25.308272
15,100,25.791463
8,100,27.396561
7,100,29.05898
12,100,30.642457
16,100,31.243257
9,100,32.83196
16,100,34.443933
17,100,36.054106
6,100,37.644962
9,100,38.17631
16,100,39.816142
13,100,41.368713
12,100,42.898333
16,100,43.377341
8,100,45.006997
8,100,46.561015
21,100,48.100699
16,100,49.652527
17,100,50.183832
18,100,51.843099
11,100,53.418476
11,100,55.092474
19,100,56.650723
19,100,57.158658
12,100,58.7603
15,100,60.378076
17,100,61.936913
16,100,62.445593
9,100,64.023904
21,100,65.64919
14,100,67.236564
15,100,68.786366
20,100,69.27462
15,100,70.910178
13,100,72.524338
14,100,74.171412
11,100,74.656402
12,100,76.281257
16,100,77.835565
9,100,79.483595
12,100,81.085003
19,100,81.565706
18,100,83.15252
15,100,84.712749
16,100,86.287093
10,100,86.776932
14,100,88.340971
24,100,90.02388
11,100,91.648711
20,100,93.24028
19,100,93.724289
28,100,95.445927
12,100,97.062788
12,100,98.691349
10,100,100.31524
19,100,100.806845
19,100,102.497557
17,100,104.101088
14,100,105.649314
19,100,106.130767
21,100,107.744819
15,100,109.304502
21,100,110.877773
13,100,112.43294
25,100,112.914517
19,100,114.48981
13,100,116.175643
15,100,117.808321
21,100,118.284731
15,100,119.884199
20,100,121.449145
17,100,123.028955
18,100,124.658877
19,100,125.149908
24,100,126.809366
21,100,128.421962
14,100,129.988422
14,100,130.462257
13,100,132.055496
15,100,133.677223
16,100,135.295289
25,100,136.988469
18,100,137.48654
15,100,139.078173
17,100,140.670966
21,100,142.270347
21,100,143.861784
21,100,144.34079
11,100,145.933662
18,100,147.535609
15,100,149.120277
21,100,149.733453
12,100,151.305501
22,100,152.86854
17,100,154.482267
19,100,156.038711
19,100,156.520187
22,100,158.280848
19,100,159.904817
18,100,161.466944
18,100,161.945929
19,100,163.510854
22,100,165.053231
26,100,166.613121
18,100,168.235727
17,100,168.708134
15,100,170.335542
23,100,171.896839
20,100,173.53699
28,100,174.03565
24,100,175.65399
19,100,177.258282
24,100,178.937343
16,100,180.542414
22,100,181.017956
17,100,182.589519
14,100,184.196275
21,100,185.780752
21,100,187.411251
22,100,187.884054
28,100,189.482805
26,100,191.090525
20,100,192.768476
27,100,193.238108
21,100,194.801663
20,100,196.395834
22,100,198.065812
24,100,199.774437
24,100,200.260951
21,100,201.852172
26,100,203.455774
23,100,205.006858
15,100,205.492419
28,100,207.088219
23,100,208.691931
23,100,210.271954
21,100,211.831508
16,100,212.311296
29,100,213.969967
30,100,215.574728
19,100,217.149449
24,100,217.636094
21,100,219.20699
29,100,220.814979
23,100,222.482506
23,100,224.078898
22,100,224.556239
32,100,226.139468
16,100,227.710975
24,100,229.317685
19,100,230.849105
18,100,231.327886
26,100,232.951433
28,100,234.582874
28,100,236.156894
28,100,236.645548
25,100,238.237773
27,100,239.836204
19,100,241.390326
18,100,242.998247
28,100,243.478348
22,100,245.161099
20,100,246.720025
30,100,248.281442
28,100,248.76721
20,100,250.329321
17,100,251.880426
19,100,253.401724
20,100,254.934112
27,100,255.440477
28,100,256.994956
21,100,258.54251
19,100,260.148897
27,100,260.621121
23,100,262.164218
25,100,263.773921
22,100,265.324255
29,100,266.857594
32,100,267.337983
26,100,268.981327
23,100,270.576349
27,100,272.129806
25,100,273.693993
23,100,274.181483
34,100,275.804596
17,100,277.35895
27,100,279.001141
27,100,279.467119
25,100,281.059041
26,100,282.634945
26,100,284.214709
18,100,285.785665
24,100,286.267579
25,100,287.877119
23,100,289.476722
19,100,291.158994
17,100,291.637317
23,100,293.212547
20,100,294.818094
21,100,296.418228
25,100,297.981451
31,100,298.461977
23,100,300.103753
21,100,301.678891
17,100,303.288942
26,100,303.777057
22,100,305.37744
22,100,306.941551
29,100,308.50536
28,100,310.054522
31,100,310.553607
25,100,312.105373
21,100,313.734923
26,100,315.321442
29,100,316.918249
24,100,317.394239
24,100,319.009991
31,100,320.617924
26,100,322.197664
26,100,322.700657
21,100,324.271208
24,100,325.832055
28,100,327.402894
29,100,328.950705
32,100,329.428855
19,100,331.041163
25,100,332.594514
24,100,334.145436
23,100,334.642483
23,100,336.262971
26,100,337.908275
27,100,339.485222
21,100,341.041826
29,100,341.52156
16,100,343.093762
36,100,344.644439
33,100,346.23031
27,100,346.712884
27,100,348.271435
22,100,349.834006
32,100,351.45512
21,100,353.013236
23,100,353.488321
30,100,355.101059
22,100,356.696375
26,100,358.244448
28,100,359.847842
33,100,360.364164
26,100,362.079799
30,100,363.646008
24,100,365.221285
24,100,365.691682
23,100,367.277593
29,100,368.919456
16,100,370.512119
23,100,372.089064
25,100,372.572386
25,100,374.146849
28,100,375.70439
26,100,377.257394
26,100,377.749228
32,100,379.351337
30,100,380.933376
26,100,382.468641
31,100,384.080239
28,100,384.737331
27,100,386.387297
27,100,387.946863
32,100,389.496306
24,100,390.006699
22,100,391.616084
24,100,393.156348
24,100,394.749284
23,100,396.344042
26,100,396.818459
16,100,398.402259
21,100,400.006384
30,100,401.571472
28,100,403.173948
23,100,403.664173
29,100,405.222543
29,100,406.884241
29,100,408.466846
21,100,408.943073
24,100,410.508004
35,100,412.074
32,100,413.630229
25,100,415.236644
30,100,415.722049
21,100,417.299706
26,100,418.936622
29,100,420.475796
25,100,420.958266
33,100,422.527817
27,100,424.117336
23,100,425.683934
23,100,427.318232
35,100,427.779279
26,100,429.354931
30,100,430.919797
26,100,432.453363
29,100,432.937887
23,100,434.525812
28,100,436.12942
27,100,437.685611
16,100,439.309259
26,100,439.793989
20,100,441.392366
33,100,442.927438
29,100,444.526254
29,100,446.081265
24,100,446.559352
26,100,448.289762
22,100,449.856852
26,100,451.435493
22,100,451.913665
26,100,453.459384
18,100,455.063745
23,100,456.660226
24,100,458.225777
27,100,458.69598
27,100,460.275688
35,100,461.842295
31,100,463.470573
24,100,463.955978
22,100,465.500716
31,100,467.06085
28,100,468.771793
23,100,470.363289
21,100,470.826898
34,100,472.413833
24,100,473.98002
32,100,475.551629
30,100,476.040466
31,100,477.687948
22,100,479.364899
30,100,480.935469
22,100,482.524995
22,100,483.001878
23,100,484.629911
21,100,486.207775
24,100,487.777482
35,100,489.447858
28,100,489.939572
28,100,491.571229
38,100,493.136916
19,100,494.757847
26,100,495.237527
24,100,496.797609
17,100,498.358966
32,100,499.941528
27,100,501.51934
26,100,501.998076
26,100,503.608563
35,100,505.192267
28,100,506.751178
29,100,507.237187
27,100,508.95981
26,100,510.52221
25,100,512.091906
27,100,513.634635
29,100,514.115408
23,100,515.704885
24,100,517.253017
30,100,518.82735
22,100,519.313721
27,100,520.859637
31,100,522.834096
26,100,524.451804
29,100,526.001384
31,100,526.489576
26,100,528.102851
23,100,529.776668
26,100,531.39679
32,100,532.960893
32,100,533.443336
31,100,535.038117
23,100,536.641401
28,100,538.218303
23,100,538.702646
30,100,540.304281
30,100,541.860531
35,100,543.440632
18,100,545.0565
24,100,545.553263
31,100,547.120658
26,100,548.732096
34,100,550.300592
28,100,550.781917
25,100,552.391619
24,100,554.047574
26,100,555.679546
29,100,557.239503
31,100,557.731682
33,100,559.353767
30,100,560.961244
25,100,562.52336
26,100,563.006395
21,100,564.611499
27,100,566.186468
38,100,567.817188
32,100,569.378467
35,100,569.850687
34,100,571.466848
35,100,573.052561
31,100,574.612072
27,100,576.172044
33,100,576.706653
22,100,578.287785
23,100,579.896224
36,100,581.43941
33,100,581.919911
33,100,583.534762
22,100,585.115982
31,100,586.665872
29,100,588.233445
23,100,588.712839
22,100,590.290012
26,100,591.85587
29,100,593.392158
27,100,593.87763
24,100,595.480851
30,100,597.077393
26,100,598.669743
39,100,600.373005
30,100,600.820704
24,100,602.388879
24,100,603.985315
25,100,605.545114
37,100,606.023757
26,100,607.609621
29,100,609.170502
25,100,610.787071
28,100,612.370831
24,100,612.86614
28,100,614.471839
25,100,616.077284
22,100,617.636447
35,100,619.254585
27,100,619.736185
25,100,621.329772
30,100,622.903589
31,100,624.605181
32,100,625.082377
22,100,626.647691
30,100,628.22986
22,100,629.792051
28,100,631.390471
32,100,631.870944
25,100,633.439273
23,100,635.049335
26,100,636.622318
36,100,637.099984
30,100,638.722968
21,100,640.355373
26,100,641.902121
34,100,643.518855
31,100,643.993383
25,100,645.562257
32,100,647.117689
32,100,648.813573
29,100,649.308298
22,100,650.932906
26,100,652.525045
27,100,654.098698
24,100,655.698606
23,100,656.179775
31,100,657.741043
32,100,659.346281
26,100,660.903797
31,100,662.479125
20,100,662.960667
30,100,664.532332
26,100,666.114853
23,100,667.699816
25,100,668.187991
37,100,669.788627
25,100,671.414905
36,100,673.070446
25,100,674.691065
27,100,675.17304
28,100,676.752242
28,100,678.288943
28,100,679.873816
32,100,680.355282
31,100,681.966997
29,100,683.59154
28,100,685.175648
33,100,686.839566
21,100,687.333609
23,100,688.918838
32,100,690.509929
29,100,692.090298
25,100,692.539524
22,100,694.095087
32,100,695.920957
32,100,697.483863
36,100,699.102596
23,100,699.584099
27,100,701.24525
26,100,702.827659
35,100,704.489077
24,100,706.048393
35,100,706.527596
30,100,708.091226
28,100,709.684754
32,100,711.280747
31,100,711.760311
30,100,713.326053
28,100,714.89781
29,100,716.562213
31,100,718.11655
34,100,718.596073
25,100,720.199219
27,100,721.760157
37,100,723.336946
22,100,723.817738
23,100,725.381164
23,100,726.954496
28,100,728.517516
26,100,730.144977
30,100,730.628111
31,100,732.187243
27,100,733.759045
31,100,735.364888
30,100,735.839058
23,100,737.412565
28,100,739.018181
31,100,740.584178
32,100,742.152899
33,100,742.725113
24,100,744.305299
21,100,745.887113
28,100,747.447779
20,100,749.054709
23,100,749.541045
29,100,751.110341
34,100,752.675761
29,100,754.244813
30,100,754.725115
25,100,756.355888
29,100,757.916274
23,100,759.528678
25,100,761.122975
26,100,761.602468
25,100,763.174457
26,100,764.742344
30,100,766.31044
33,100,766.79274
29,100,768.470705
18,100,770.054864
24,100,771.623397
20,100,773.197301
21,100,773.681746
34,100,775.31059
25,100,776.881968
29,100,778.51768
23,100,778.981034
22,100,780.73816
30,100,782.296704
29,100,783.891265
28,100,785.415572
23,100,785.901162
24,100,787.474172
40,100,789.036553
23,100,790.62372
26,100,792.293203
26,100,792.75454
39,100,794.317057
30,100,795.936364
31,100,797.487462
24,100,797.983752
22,100,799.602266
31,100,801.139736
25,100,802.75223
27,100,804.324666
28,100,804.798948
28,100,806.360145
29,100,807.939728
21,100,809.488951
22,100,809.968168
29,100,811.57784
23,100,813.137156
24,100,814.742215
31,100,816.369752
27,100,816.851603
29,100,818.415004
29,100,820.011308
38,100,821.550478
26,100,822.041957
20,100,823.6869
25,100,825.277356
29,100,826.838467
27,100,828.437819
31,100,828.912894
14,100,830.503762
33,100,832.093928
32,100,833.601841
28,100,835.224183
34,100,835.699669
20,100,837.285777
27,100,838.908606
34,100,840.458789
25,100,840.944709
34,100,842.615026
32,100,844.167152
21,100,845.704354
29,100,847.325418
31,100,847.801341
30,100,849.399482
31,100,850.978387
30,100,852.546723
28,100,853.023322
28,100,854.582827
20,100,856.19241
22,100,857.730999
25,100,859.317459
23,100,859.800467
27,100,861.379262
19,100,862.934214
32,100,864.52873
34,100,865.010903
29,100,866.559856
20,100,868.178576
35,100,869.774042
27,100,871.3774
21,100,871.861554
24,100,873.4075
26,100,875.010566
32,100,876.580318
26,100,878.145704
24,100,878.643028
31,100,880.289617
27,100,881.837733
23,100,883.429785
35,100,883.907902
29,100,885.479731
32,100,887.039358
26,100,888.601435
27,100,890.115896
28,100,890.668414
36,100,892.305481
23,100,893.884203
29,100,895.485891
20,100,895.968316
29,100,897.541495
