#{"t_start": 1616349904.4051547, "env_id": null}
r,l,t
11,100,0.560497
10,100,1.847085
10,100,3.113035
14,100,4.287573
13,100,4.716458
7,100,5.964195
7,100,7.150984
9,100,8.238055
10,100,9.388251
11,100,9.890322
10,100,11.125238
11,100,12.388592
6,100,13.589919
7,100,14.075368
13,100,15.284067
8,100,16.460575
10,100,17.800824
5,100,19.203627
9,100,19.673291
9,100,20.841477
7,100,22.03748
12,100,23.291829
5,100,23.737236
17,100,24.967809
9,100,26.0869
7,100,27.300268
16,100,28.512926
10,100,29.118771
17,100,30.279047
4,100,31.573495
7,100,32.934998
3,100,33.388561
9,100,34.631542
9,100,35.857157
7,100,37.133214
8,100,38.418913
16,100,39.056481
9,100,40.325567
6,100,41.706999
3,100,42.993804
12,100,44.122832
2,100,44.571982
11,100,45.872747
6,100,47.09541
10,100,48.329672
12,100,48.76325
14,100,50.128655
11,100,51.347288
7,100,52.585913
8,100,53.746047
8,100,54.315122
8,100,55.465866
11,100,56.734632
2,100,57.950624
3,100,58.560552
11,100,59.76511
8,100,61.069816
8,100,62.321214
13,100,63.642338
3,100,64.173582
9,100,65.611201
16,100,66.863142
17,100,68.061562
5,100,68.577412
14,100,69.996842
12,100,71.279942
5,100,73.073498
4,100,74.262094
9,100,74.773347
7,100,76.075548
11,100,77.371703
4,100,78.669179
14,100,79.876254
8,100,80.313894
5,100,81.53107
8,100,82.811893
7,100,83.972126
7,100,84.483622
7,100,85.634387
11,100,86.749297
7,100,87.975919
12,100,89.117737
0,100,89.555658
4,100,90.710226
11,100,91.852568
12,100,93.013678
10,100,93.462158
13,100,94.65509
12,100,95.82593
7,100,96.869005
5,100,97.972141
8,100,98.408818
7,100,99.580503
6,100,100.851902
12,100,102.067429
8,100,102.573665
9,100,103.805546
11,100,104.924521
9,100,106.147269
7,100,107.400441
7,100,107.830991
9,100,109.04834
10,100,110.274002
6,100,111.474398
11,100,112.670445
6,100,113.188154
8,100,114.346001
7,100,115.37044
11,100,116.627025
17,100,117.103394
6,100,118.361676
12,100,119.507591
8,100,120.630843
13,100,121.834717
9,100,122.347426
5,100,123.478777
10,100,124.653265
14,100,125.866969
4,100,126.371532
5,100,127.530607
9,100,128.806728
10,100,129.952003
11,100,131.31722
11,100,131.856043
8,100,133.057397
9,100,134.203698
4,100,135.402362
9,100,135.916781
10,100,137.14604
11,100,138.431768
9,100,139.60344
9,100,140.725302
3,100,141.240799
10,100,142.559642
8,100,143.892207
6,100,145.187352
5,100,146.446135
9,100,146.950327
11,100,148.190601
3,100,149.390615
7,100,150.453573
7,100,150.969981
10,100,152.128322
6,100,153.324042
8,100,154.499328
6,100,155.760232
8,100,156.213296
12,100,157.503705
9,100,158.710505
5,100,159.95684
7,100,160.465725
8,100,161.683751
8,100,163.016513
13,100,164.252818
13,100,165.635179
12,100,166.132666
9,100,167.333846
14,100,168.433492
4,100,169.717183
6,100,170.229273
14,100,171.423637
8,100,172.660669
14,100,173.927434
5,100,175.138161
5,100,175.562445
3,100,176.95612
6,100,178.106167
14,100,179.225484
8,100,180.421417
18,100,180.960346
8,100,182.250578
8,100,183.393625
11,100,184.748121
8,100,185.092504
16,100,186.333727
14,100,187.709543
13,100,188.887052
5,100,190.135314
12,100,190.568613
12,100,191.926331
6,100,193.200257
8,100,194.404323
10,100,194.898511
12,100,196.210717
12,100,197.409028
6,100,198.625247
13,100,199.827509
16,100,200.364389
9,100,201.653301
8,100,202.76658
13,100,203.899012
15,100,204.409688
8,100,205.634841
5,100,206.93375
5,100,208.147558
10,100,209.377732
11,100,209.852098
14,100,211.013442
7,100,212.150681
8,100,213.428917
5,100,214.68614
15,100,215.25292
8,100,216.435785
13,100,217.642804
23,100,218.927099
8,100,219.441937
9,100,220.44137
5,100,221.579222
9,100,222.844894
11,100,224.137894
6,100,224.625325
9,100,225.8494
5,100,227.151217
8,100,228.295429
6,100,228.805972
2,100,229.932121
10,100,231.105526
9,100,232.317011
12,100,233.472709
3,100,234.003407
7,100,235.28603
6,100,236.546653
12,100,237.570726
12,100,238.149694
8,100,239.492187
7,100,240.68778
10,100,241.860169
10,100,243.080558
7,100,243.590791
8,100,244.742368
10,100,245.935986
12,100,247.23441
7,100,248.51703
14,100,249.021709
17,100,250.174484
20,100,251.454742
11,100,252.652925
10,100,253.209147
14,100,254.374835
11,100,255.528669
10,100,256.724759
12,100,257.954032
5,100,258.537905
10,100,259.7374
9,100,260.988435
17,100,262.221092
13,100,262.700457
13,100,263.866006
15,100,265.055336
8,100,266.336828
9,100,267.480627
16,100,268.008188
10,100,269.316972
7,100,270.509411
8,100,271.665066
7,100,272.245015
10,100,273.300551
17,100,274.433218
14,100,275.557152
7,100,276.824904
13,100,277.314937
11,100,278.639647
12,100,279.950013
7,100,281.107447
9,100,282.346241
7,100,282.851239
7,100,284.061185
10,100,285.250772
8,100,286.533766
9,100,287.085188
9,100,288.234681
5,100,289.551516
9,100,290.641992
4,100,291.869057
16,100,292.301178
10,100,293.534509
8,100,294.843663
5,100,296.069758
6,100,296.658623
8,100,297.91298
8,100,299.143798
15,100,300.390987
11,100,301.545981
5,100,302.069806
8,100,303.338991
11,100,304.616382
10,100,305.860806
8,100,306.365264
10,100,307.395535
8,100,308.47403
14,100,309.67808
12,100,310.904392
13,100,311.520877
6,100,312.864846
8,100,314.110533
10,100,315.293904
15,100,316.429194
6,100,316.888263
8,100,318.040312
6,100,319.184273
18,100,320.415616
2,100,321.020356
8,100,322.344827
4,100,323.52766
9,100,324.735604
13,100,325.843285
9,100,326.282511
14,100,327.494102
8,100,328.703794
5,100,329.932393
6,100,330.413758
13,100,331.694345
12,100,332.856062
13,100,334.130701
4,100,335.354002
6,100,335.786267
17,100,336.998145
12,100,338.274508
10,100,339.399767
13,100,339.857326
8,100,341.206824
6,100,342.394702
8,100,343.605913
10,100,344.810531
14,100,345.287681
6,100,346.469229
12,100,347.587725
13,100,348.76018
12,100,349.982398
3,100,350.502904
15,100,351.725833
12,100,353.021491
10,100,354.272763
6,100,354.750742
5,100,355.881262
5,100,357.088981
7,100,358.363264
7,100,359.485339
11,100,359.917734
5,100,361.025948
7,100,362.255462
14,100,363.447962
9,100,364.028109
7,100,365.328305
11,100,366.506314
5,100,367.854624
5,100,369.039217
12,100,369.525649
11,100,370.840785
8,100,372.062569
5,100,373.229079
6,100,373.756221
4,100,374.999923
12,100,376.302676
10,100,377.403485
6,100,378.575773
4,100,379.048687
7,100,380.395067
9,100,381.578061
15,100,382.766172
10,100,383.940823
7,100,384.548347
6,100,385.723812
4,100,387.060397
6,100,388.309713
4,100,388.741569
9,100,389.971549
11,100,391.257232
7,100,392.498561
11,100,393.804012
8,100,394.393831
8,100,395.520358
7,100,396.74
14,100,398.00714
12,100,398.502226
10,100,399.736197
14,100,400.943916
8,100,402.206592
9,100,403.364002
5,100,403.835777
10,100,405.07989
9,100,406.197312
7,100,407.459984
8,100,407.958994
11,100,409.103916
6,100,411.382387
6,100,412.423147
6,100,413.57112
12,100,414.071003
2,100,415.319876
3,100,416.479194
19,100,417.710499
12,100,419.082421
7,100,419.58379
11,100,420.882801
12,100,422.113522
11,100,423.482193
18,100,423.935726
11,100,425.15216
6,100,426.389806
11,100,427.609043
11,100,428.802798
8,100,429.243585
6,100,430.396205
9,100,431.57294
15,100,432.81517
5,100,433.245145
7,100,434.390502
7,100,435.536889
5,100,436.686388
3,100,437.907529
3,100,438.326242
4,100,439.486845
5,100,440.761668
10,100,442.032388
11,100,442.594927
6,100,443.796152
13,100,445.042086
17,100,446.301275
7,100,447.489177
5,100,447.89021
9,100,449.029261
9,100,450.218613
17,100,451.43027
5,100,452.638242
4,100,453.173533
12,100,454.42448
1,100,455.662778
14,100,456.90841
12,100,457.460599
6,100,458.70833
6,100,459.999541
