#{"t_start": 1616350075.4474998, "env_id": null}
r,l,t
3,100,0.883064
8,100,1.173176
13,100,1.444176
8,100,1.720999
13,100,1.986499
2,100,2.393461
10,100,2.796635
11,100,3.105304
17,100,3.435514
5,100,3.713918
4,100,3.999815
7,100,4.275374
11,100,4.573809
15,100,4.793742
14,100,5.097698
12,100,5.391051
5,100,5.694764
9,100,5.988739
17,100,6.259846
8,100,6.573713
13,100,6.957205
20,100,7.296939
11,100,7.51433
7,100,7.888875
3,100,8.233715
12,100,8.544006
7,100,8.836687
9,100,9.058103
8,100,9.347217
14,100,9.615083
11,100,9.882396
13,100,10.085221
12,100,10.347115
7,100,10.610224
8,100,10.873204
10,100,11.136805
15,100,11.332268
15,100,11.601776
13,100,11.913015
13,100,12.18802
17,100,12.454665
20,100,12.665097
23,100,12.96213
15,100,13.226107
14,100,13.490928
15,100,13.690051
10,100,13.958069
10,100,14.219096
10,100,14.511075
15,100,14.793149
7,100,14.99585
12,100,15.265102
14,100,15.533775
17,100,15.796452
20,100,15.989865
13,100,16.252605
22,100,16.514501
11,100,16.775739
14,100,17.043211
21,100,17.250095
24,100,17.587941
14,100,17.887226
19,100,18.235078
17,100,18.480274
17,100,18.820121
17,100,19.151879
17,100,19.431488
19,100,19.715067
16,100,19.929117
12,100,20.20416
16,100,20.477767
21,100,20.752328
23,100,21.030689
13,100,21.242863
17,100,21.577118
16,100,21.869519
17,100,22.206987
18,100,22.401277
10,100,22.659028
17,100,22.917855
15,100,23.171878
24,100,23.423826
17,100,23.614757
18,100,23.868072
17,100,24.119721
22,100,24.380999
17,100,24.574908
18,100,24.900175
19,100,25.212607
14,100,25.478343
18,100,25.78673
17,100,25.995982
17,100,26.266257
20,100,26.535664
14,100,26.812451
16,100,27.027466
18,100,27.340912
14,100,27.691062
19,100,27.958466
24,100,28.255865
16,100,28.450963
19,100,28.750738
18,100,29.06767
17,100,29.408566
15,100,29.731901
23,100,29.965375
21,100,30.306991
17,100,30.561131
22,100,30.81522
12,100,31.021489
18,100,31.319419
18,100,31.601662
19,100,31.920124
13,100,32.278519
20,100,32.544723
18,100,32.939739
18,100,33.261359
17,100,33.535086
18,100,33.736643
18,100,34.051807
16,100,34.382021
17,100,34.667541
17,100,34.94399
25,100,35.153689
