#{"t_start": 1617366438.4528227, "env_id": null}
r,l,t
3,100,0.542122
8,100,0.713161
13,100,0.878198
8,100,1.043235
13,100,1.144258
2,100,1.310295
10,100,1.476333
11,100,1.64037
17,100,1.808408
5,100,1.918433
4,100,2.08347
7,100,2.248507
11,100,2.410544
15,100,2.511567
14,100,2.675603
12,100,2.842642
5,100,3.009679
9,100,3.171715
17,100,3.274739
8,100,3.440776
13,100,3.606814
20,100,3.771852
11,100,3.872875
7,100,4.037911
3,100,4.201949
12,100,4.363986
7,100,4.527023
9,100,4.628045
8,100,4.789082
14,100,4.952119
11,100,5.117156
13,100,5.218179
12,100,5.380215
7,100,5.541251
8,100,5.704288
10,100,5.867325
15,100,5.968348
15,100,6.130384
13,100,6.294421
13,100,6.459459
17,100,6.623496
20,100,6.724519
23,100,6.886555
15,100,7.049592
14,100,7.215629
15,100,7.320653
10,100,7.486691
10,100,7.650728
10,100,7.812764
15,100,7.975801
7,100,8.076824
12,100,8.246862
14,100,8.409899
17,100,8.570934
20,100,8.678958
13,100,8.844996
22,100,9.007032
11,100,9.17207
14,100,9.336107
21,100,9.437129
24,100,9.605167
14,100,9.774205
19,100,9.943244
17,100,10.045267
17,100,10.215305
17,100,10.387344
17,100,10.550381
19,100,10.712417
16,100,10.820441
12,100,10.999483
16,100,11.184442
21,100,11.35148
23,100,11.518518
13,100,11.61954
17,100,11.782577
16,100,11.949614
17,100,12.116652
18,100,12.220676
10,100,12.387713
17,100,12.55275
15,100,12.722789
24,100,12.890827
17,100,12.99285
18,100,13.180892
17,100,13.362933
22,100,13.536973
17,100,13.637997
18,100,13.806034
19,100,13.969071
14,100,14.131107
18,100,14.300146
17,100,14.40917
17,100,14.622219
20,100,14.796257
14,100,14.979299
16,100,15.084323
18,100,15.251361
14,100,15.415398
19,100,15.583436
24,100,15.750473
16,100,15.855497
19,100,16.018534
18,100,16.183571
17,100,16.348608
15,100,16.512645
23,100,16.614668
21,100,16.77927
17,100,16.944308
22,100,17.108345
12,100,17.209368
18,100,17.372404
18,100,17.535441
19,100,17.698478
13,100,17.861515
20,100,17.963538
18,100,18.127575
18,100,18.293611
17,100,18.455647
18,100,18.55667
18,100,18.718707
16,100,18.882744
17,100,19.046781
17,100,19.210818
25,100,19.311841
14,100,19.475878
17,100,19.640915
26,100,19.808953
11,100,19.912976
24,100,20.076013
14,100,20.243051
10,100,20.408088
18,100,20.570125
20,100,20.671147
25,100,20.836185
13,100,21.000221
20,100,21.163258
20,100,21.328295
15,100,21.429318
14,100,21.593355
18,100,21.757392
22,100,21.92243
16,100,22.024453
26,100,22.19049
24,100,22.352527
12,100,22.524567
14,100,22.696609
18,100,22.798632
21,100,22.961668
18,100,23.124705
22,100,23.288743
23,100,23.388766
19,100,23.551803
25,100,23.71384
18,100,23.875876
16,100,24.037912
24,100,24.138935
17,100,24.300972
22,100,24.463009
23,100,24.624045
23,100,24.725068
18,100,24.887104
15,100,25.048141
22,100,25.212178
20,100,25.374214
22,100,25.475237
24,100,25.638274
17,100,25.80031
18,100,25.964347
23,100,26.126384
23,100,26.228407
25,100,26.389443
22,100,26.55148
18,100,26.714517
21,100,26.81454
20,100,26.975575
14,100,27.136612
19,100,27.297648
18,100,27.458684
14,100,27.559707
25,100,27.721744
27,100,27.882781
19,100,28.046816
15,100,28.147839
17,100,28.311876
18,100,28.480914
23,100,28.648952
21,100,28.81599
21,100,28.916012
31,100,29.08205
28,100,29.255089
20,100,29.423127
16,100,29.53015
20,100,29.700189
25,100,29.871228
21,100,30.040267
24,100,30.207304
24,100,30.308326
22,100,30.488368
21,100,30.663407
22,100,30.841448
19,100,31.013486
23,100,31.115508
25,100,31.278545
24,100,31.442582
25,100,31.610621
12,100,31.717644
26,100,31.880681
19,100,32.048719
21,100,32.213756
25,100,32.377793
21,100,32.481817
23,100,32.646854
25,100,32.813892
22,100,32.97793
19,100,33.078953
27,100,33.24499
21,100,33.408026
13,100,33.577065
20,100,33.742103
28,100,33.844126
24,100,34.007162
31,100,34.169198
24,100,34.334236
24,100,34.44026
19,100,34.605297
21,100,34.768334
30,100,34.933371
18,100,35.101409
17,100,35.203432
15,100,35.366469
15,100,35.542508
22,100,35.706545
31,100,35.869582
29,100,35.972606
24,100,36.138643
20,100,36.306681
26,100,36.472718
24,100,36.573741
28,100,36.736778
27,100,36.904816
29,100,37.072855
20,100,37.23789
19,100,37.339914
24,100,37.505952
21,100,37.669989
28,100,37.837026
18,100,37.940048
15,100,38.107086
25,100,38.277124
18,100,38.450164
22,100,38.615201
20,100,38.716223
18,100,38.883261
23,100,39.049299
25,100,39.214336
23,100,39.315359
26,100,39.478395
31,100,39.644433
22,100,39.80647
28,100,39.968506
16,100,40.07253
23,100,40.237567
20,100,40.402604
21,100,40.565641
22,100,40.730678
19,100,40.831701
31,100,40.996738
22,100,41.163776
22,100,41.328813
22,100,41.436837
20,100,41.602875
16,100,41.771914
28,100,41.942951
20,100,42.108989
24,100,42.215013
26,100,42.393054
28,100,42.565092
27,100,42.730131
23,100,42.831153
19,100,43.002192
26,100,43.210705
21,100,43.372741
27,100,43.534778
25,100,43.6358
22,100,43.797837
29,100,43.960874
29,100,44.12291
28,100,44.223933
20,100,44.38597
26,100,44.557008
24,100,44.721045
23,100,44.883082
25,100,44.983105
31,100,45.148141
26,100,45.311179
25,100,45.473215
28,100,45.638252
19,100,45.739275
32,100,45.900311
22,100,46.065348
30,100,46.231386
24,100,46.33741
23,100,46.515449
37,100,46.695491
25,100,46.87053
20,100,47.058573
23,100,47.169785
14,100,47.357827
28,100,47.523865
21,100,47.688901
27,100,47.797926
26,100,47.963963
32,100,48.136002
27,100,48.30504
30,100,48.468077
32,100,48.5711
27,100,48.735137
23,100,48.898174
26,100,49.069213
28,100,49.177237
21,100,49.342274
22,100,49.507311
19,100,49.675349
25,100,49.842386
23,100,49.94541
22,100,50.115448
28,100,50.283486
24,100,50.451524
27,100,50.618562
19,100,50.721585
27,100,50.887623
25,100,51.054661
25,100,51.221698
22,100,51.325722
24,100,51.491759
17,100,51.657796
29,100,51.819833
23,100,51.981869
30,100,52.082892
26,100,52.245929
24,100,52.411967
25,100,52.573004
28,100,52.673027
19,100,52.837064
30,100,52.9991
24,100,53.160137
26,100,53.324172
21,100,53.426197
23,100,53.588233
29,100,53.75027
27,100,53.912306
25,100,54.012329
26,100,54.174366
26,100,54.337402
29,100,54.501439
31,100,54.663476
22,100,54.763499
19,100,54.926535
31,100,55.088572
21,100,55.250608
30,100,55.418647
25,100,55.520669
23,100,55.684707
26,100,55.848743
26,100,56.016782
21,100,56.120805
26,100,56.288843
24,100,56.45388
28,100,56.620918
22,100,56.786955
22,100,56.890979
24,100,57.055016
28,100,57.220052
23,100,57.388089
26,100,57.491112
31,100,57.65615
26,100,57.822187
28,100,57.986224
26,100,58.154263
28,100,58.259286
32,100,58.425324
26,100,58.58936
17,100,58.755398
19,100,58.857421
31,100,59.023459
22,100,59.189496
43,100,59.355533
28,100,59.519571
22,100,59.621593
28,100,59.798633
29,100,59.965671
23,100,60.128708
24,100,60.299747
18,100,60.40277
25,100,60.565806
28,100,60.739846
34,100,60.910884
28,100,61.011908
23,100,61.176945
31,100,61.343982
20,100,61.509019
23,100,61.681058
26,100,61.782081
22,100,61.947118
26,100,62.111155
27,100,62.274193
18,100,62.375216
21,100,62.547255
28,100,62.724293
23,100,62.902343
23,100,63.073374
30,100,63.174397
26,100,63.337433
23,100,63.50247
26,100,63.663507
28,100,63.763529
21,100,63.927567
26,100,64.090603
26,100,64.25464
35,100,64.417676
15,100,64.5197
28,100,64.683737
22,100,64.847774
30,100,65.01081
32,100,65.173847
26,100,65.276871
35,100,65.440908
28,100,65.604945
34,100,65.765981
23,100,65.867004
21,100,66.029041
15,100,66.192077
27,100,66.355114
28,100,66.516151
22,100,66.638177
31,100,66.834222
24,100,67.018264
32,100,67.1843
26,100,67.287323
21,100,67.469365
27,100,67.634402
23,100,67.800439
28,100,67.968477
26,100,68.100507
22,100,68.270545
28,100,68.433582
27,100,68.595619
26,100,68.696641
28,100,68.858678
28,100,69.022715
33,100,69.186752
26,100,69.348788
22,100,69.449811
22,100,69.613848
26,100,69.777885
26,100,69.940922
29,100,70.101958
28,100,70.204982
27,100,70.370019
28,100,70.535056
20,100,70.703094
26,100,70.805117
29,100,70.968154
31,100,71.13019
26,100,71.331236
28,100,71.493272
27,100,71.594295
30,100,71.756332
26,100,71.918368
31,100,72.080406
26,100,72.180429
28,100,72.342466
21,100,72.504502
27,100,72.665538
21,100,72.829575
30,100,72.931598
30,100,73.098636
30,100,73.264673
28,100,73.42871
20,100,73.528733
25,100,73.69177
19,100,73.852806
21,100,74.016843
27,100,74.178879
25,100,74.277902
16,100,74.441939
21,100,74.604976
28,100,74.766012
32,100,74.928048
28,100,75.029072
28,100,75.192109
32,100,75.353144
22,100,75.514181
32,100,75.614203
20,100,75.77624
23,100,75.937276
22,100,76.102314
34,100,76.277352
26,100,76.378376
21,100,76.540412
27,100,76.702449
30,100,76.863484
31,100,76.964507
36,100,77.127544
31,100,77.29058
33,100,77.452617
22,100,77.614654
29,100,77.714676
18,100,77.877713
34,100,78.039749
29,100,78.202786
28,100,78.302809
33,100,78.474848
30,100,78.651888
24,100,78.827928
27,100,79.003967
32,100,79.10599
25,100,79.272027
32,100,79.439065
31,100,79.601102
31,100,79.762138
29,100,79.863161
24,100,80.025198
26,100,80.188234
29,100,80.350271
25,100,80.451294
20,100,80.61333
20,100,80.777367
24,100,80.939404
21,100,81.10144
30,100,81.202463
30,100,81.3655
24,100,81.529537
32,100,81.692575
24,100,81.793598
22,100,81.962636
29,100,82.126673
28,100,82.308714
30,100,82.477752
21,100,82.578775
36,100,82.741811
37,100,82.951097
27,100,83.147082
26,100,83.263393
29,100,83.475091
23,100,83.670233
27,100,83.865279
20,100,84.044319
33,100,84.152344
24,100,84.328384
25,100,84.517426
24,100,84.696466
29,100,84.893509
25,100,85.025539
27,100,85.204581
21,100,85.380621
27,100,85.545656
22,100,85.650681
28,100,85.814719
27,100,85.977755
21,100,86.141792
25,100,86.30783
32,100,86.409853
25,100,86.571889
30,100,86.734925
37,100,86.938257
28,100,87.052282
35,100,87.229322
30,100,87.396359
41,100,87.560397
24,100,87.723433
21,100,87.830458
34,100,87.997495
33,100,88.163533
31,100,88.332571
29,100,88.443596
22,100,88.607634
26,100,88.775671
36,100,88.950711
32,100,89.12075
30,100,89.223772
23,100,89.394811
32,100,89.567482
27,100,89.740521
22,100,89.90756
22,100,90.010581
35,100,90.174619
25,100,90.342657
29,100,90.507694
29,100,90.608717
26,100,90.772754
33,100,90.936791
28,100,91.100828
22,100,91.261864
24,100,91.366888
30,100,91.528926
32,100,91.690962
32,100,91.851998
29,100,91.953021
28,100,92.117059
35,100,92.282096
25,100,92.447133
23,100,92.609169
39,100,92.709192
25,100,92.874229
32,100,93.038266
24,100,93.201303
30,100,93.303326
24,100,93.468363
30,100,93.6314
32,100,93.794437
28,100,93.956473
26,100,94.057496
31,100,94.222534
28,100,94.386571
37,100,94.558609
31,100,94.732648
27,100,94.841673
23,100,95.018713
26,100,95.182749
36,100,95.346787
28,100,95.44681
33,100,95.608846
29,100,95.771883
26,100,95.93392
28,100,96.096957
22,100,96.198979
24,100,96.365017
21,100,96.533053
31,100,96.69709
35,100,96.798113
31,100,96.965151
17,100,97.133189
32,100,97.300227
33,100,97.467265
28,100,97.568287
32,100,97.732324
23,100,97.898362
29,100,98.062399
29,100,98.163422
22,100,98.33146
34,100,98.496497
34,100,98.658533
23,100,98.82357
27,100,98.924593
26,100,99.08863
32,100,99.250667
31,100,99.416705
29,100,99.61875
35,100,99.719773
32,100,99.88381
34,100,100.046847
29,100,100.211884
29,100,100.314907
28,100,100.478944
33,100,100.64098
37,100,100.804017
32,100,100.966054
37,100,101.066077
41,100,101.229113
26,100,101.393152
34,100,101.555188
26,100,101.659211
38,100,101.824249
35,100,101.987286
34,100,102.151323
32,100,102.31536
27,100,102.416383
28,100,102.579419
29,100,102.742456
33,100,102.904493
31,100,103.006516
31,100,103.176553
28,100,103.344592
24,100,103.51263
28,100,103.681668
32,100,103.785691
28,100,103.95373
31,100,104.122767
31,100,104.285804
30,100,104.446841
34,100,104.547863
26,100,104.713901
21,100,104.877938
40,100,105.039974
33,100,105.139997
28,100,105.306035
31,100,105.470072
25,100,105.634109
27,100,105.796145
27,100,105.896168
24,100,106.060205
38,100,106.22324
26,100,106.389277
30,100,106.4903
34,100,106.653337
31,100,106.817374
37,100,106.980411
35,100,107.144448
36,100,107.247471
25,100,107.411508
21,100,107.574545
26,100,107.738582
24,100,107.839605
29,100,108.001641
27,100,108.164678
24,100,108.330716
34,100,108.497753
33,100,108.598776
28,100,108.763813
35,100,108.92785
25,100,109.104892
32,100,109.273929
38,100,109.382953
30,100,109.54699
28,100,109.709027
30,100,109.876064
29,100,109.977087
29,100,110.141124
33,100,110.308162
29,100,110.483202
39,100,110.658241
28,100,110.772267
32,100,110.947307
29,100,111.113345
20,100,111.277382
19,100,111.383406
35,100,111.546443
31,100,111.708479
25,100,111.871516
25,100,112.035553
27,100,112.137576
28,100,112.302613
37,100,112.471651
23,100,112.633688
21,100,112.733711
27,100,112.896747
30,100,113.057783
35,100,113.21982
31,100,113.388858
36,100,113.489881
26,100,113.651918
27,100,113.830958
36,100,114.007998
31,100,114.171035
25,100,114.273057
27,100,114.442096
28,100,114.604133
32,100,114.765169
25,100,114.866192
34,100,115.028228
27,100,115.190265
24,100,115.359303
23,100,115.52234
36,100,115.625363
42,100,115.7894
33,100,115.954436
32,100,116.121475
31,100,116.225498
34,100,116.394536
25,100,116.563573
30,100,116.741613
37,100,116.906651
30,100,117.008674
35,100,117.17171
24,100,117.338748
32,100,117.503786
27,100,117.603808
18,100,117.766845
36,100,117.931882
29,100,118.094919
26,100,118.257956
27,100,118.36198
27,100,118.526017
34,100,118.688053
30,100,118.851089
34,100,119.014127
27,100,119.115149
28,100,119.279186
27,100,119.450225
31,100,119.616262
25,100,119.717285
28,100,119.890324
35,100,120.053361
31,100,120.218398
30,100,120.385436
27,100,120.486459
32,100,120.657497
34,100,120.819535
32,100,120.983572
32,100,121.084595
35,100,121.248632
24,100,121.412669
30,100,121.573705
32,100,121.735742
26,100,121.835765
32,100,121.999801
37,100,122.162838
28,100,122.328875
24,100,122.429898
32,100,122.596936
22,100,122.757972
31,100,122.921009
30,100,123.082046
31,100,123.183069
27,100,123.350106
33,100,123.514143
29,100,123.67618
26,100,123.840217
32,100,123.94124
33,100,124.103276
27,100,124.264313
35,100,124.428349
31,100,124.528372
30,100,124.689408
27,100,124.851444
39,100,125.013482
21,100,125.175518
36,100,125.276541
36,100,125.441577
29,100,125.603615
33,100,125.767651
29,100,125.868673
30,100,126.03071
29,100,126.191746
28,100,126.355783
24,100,126.526823
22,100,126.638847
32,100,126.814887
24,100,126.992927
29,100,127.158965
32,100,127.259987
24,100,127.425024
31,100,127.588061
25,100,127.790107
29,100,127.951143
21,100,128.055167
31,100,128.216203
31,100,128.38024
28,100,128.545277
31,100,128.707314
30,100,128.808336
26,100,128.970373
36,100,129.13441
29,100,129.297446
29,100,129.39847
41,100,129.560506
35,100,129.721543
21,100,129.881579
29,100,130.043615
28,100,130.144638
28,100,130.310676
26,100,130.474713
34,100,130.63675
31,100,130.736773
29,100,130.897809
31,100,131.059846
22,100,131.221882
31,100,131.38792
33,100,131.489943
22,100,131.65298
40,100,131.815016
38,100,131.983054
28,100,132.104081
32,100,132.282122
36,100,132.45116
35,100,132.615197
32,100,132.777234
29,100,132.878256
34,100,133.039291
30,100,133.20533
29,100,133.370367
32,100,133.534404
22,100,133.636428
30,100,133.800464
34,100,133.961501
27,100,134.125538
36,100,134.228561
30,100,134.392598
34,100,134.555634
33,100,134.716671
26,100,134.877707
40,100,134.97873
37,100,135.139767
34,100,135.301803
29,100,135.462838
39,100,135.563861
36,100,135.724897
27,100,135.886934
27,100,136.04797
39,100,136.210007
31,100,136.311029
28,100,136.473066
33,100,136.637103
28,100,136.79814
36,100,136.899163
32,100,137.061199
33,100,137.226236
31,100,137.387272
40,100,137.548309
24,100,137.649331
35,100,137.811368
31,100,137.973404
28,100,138.135442
32,100,138.297478
32,100,138.3985
29,100,138.560537
28,100,138.722574
39,100,138.88361
39,100,138.984632
27,100,139.14767
28,100,139.309706
34,100,139.470742
40,100,139.631779
29,100,139.732802
35,100,139.893838
26,100,140.055874
24,100,140.216911
27,100,140.317935
33,100,140.478971
30,100,140.640008
31,100,140.801044
23,100,140.96208
31,100,141.062103
35,100,141.22314
32,100,141.383175
28,100,141.544212
32,100,141.644234
37,100,141.80527
32,100,141.98131
33,100,142.144347
34,100,142.304383
38,100,142.408407
35,100,142.576445
40,100,142.749484
26,100,142.930525
31,100,143.097562
29,100,143.205585
33,100,143.379626
31,100,143.554665
35,100,143.729705
29,100,143.834729
22,100,144.008768
23,100,144.170804
24,100,144.334841
41,100,144.500878
28,100,144.623906
35,100,144.806947
29,100,144.970985
29,100,145.145023
29,100,145.274052
27,100,145.462095
34,100,145.625131
18,100,145.788168
30,100,145.950205
