#{"t_start": 1616350174.4253578, "env_id": null}
r,l,t
9,100,1.943871
12,100,3.479485
9,100,4.153498
14,100,4.812483
5,100,5.027485
9,100,5.684875
7,100,6.338793
8,100,7.250085
14,100,8.064085
12,100,8.298079
8,100,9.134972
7,100,9.969166
8,100,10.797172
19,100,11.021305
16,100,11.809872
9,100,12.557041
11,100,13.317219
19,100,14.051433
14,100,14.259365
17,100,14.91506
10,100,15.604994
18,100,16.319885
18,100,16.55325
15,100,17.275564
16,100,17.957437
6,100,18.623046
9,100,19.281806
16,100,19.491869
14,100,20.2113
16,100,20.883428
15,100,21.541652
12,100,21.794032
15,100,22.646858
17,100,23.536384
6,100,24.261695
9,100,24.995308
18,100,25.245842
15,100,25.94701
5,100,26.613235
8,100,27.295669
17,100,28.011781
16,100,28.250632
14,100,29.102574
24,100,29.929863
16,100,30.56411
13,100,30.76651
9,100,31.418853
7,100,32.286157
11,100,32.965967
15,100,33.630297
21,100,33.830584
13,100,34.500178
18,100,35.230863
17,100,35.892572
17,100,36.10285
12,100,36.752916
17,100,37.405423
13,100,38.062034
24,100,38.804291
14,100,39.035324
13,100,39.79945
23,100,40.539763
21,100,41.323971
12,100,41.547407
8,100,42.207184
18,100,42.867976
18,100,43.546249
16,100,44.266842
17,100,44.498101
19,100,45.196952
12,100,45.844898
17,100,46.497714
12,100,47.417519
17,100,47.649364
19,100,48.329816
17,100,49.014703
13,100,49.701937
16,100,49.91965
20,100,50.588073
17,100,51.232196
18,100,51.974633
19,100,52.634149
14,100,52.904349
15,100,53.574279
22,100,54.34617
17,100,55.027184
18,100,55.292692
13,100,55.96577
17,100,56.615261
14,100,57.256791
22,100,57.908671
24,100,58.148085
16,100,58.837714
13,100,59.570773
14,100,60.263039
23,100,60.483534
24,100,61.145521
20,100,61.843929
12,100,62.5798
19,100,63.235602
23,100,63.4807
17,100,64.204734
22,100,64.942578
16,100,65.590191
14,100,66.353493
17,100,66.640501
24,100,67.496995
20,100,68.318901
23,100,69.003749
24,100,69.205503
16,100,69.882382
19,100,70.541301
25,100,71.201135
20,100,71.853387
18,100,72.0787
18,100,72.745266
25,100,73.403654
23,100,74.052303
27,100,74.313373
19,100,75.022116
22,100,75.846251
15,100,76.512359
19,100,77.302984
17,100,77.62204
22,100,78.55515
21,100,79.234565
17,100,79.975597
16,100,80.227697
17,100,81.13058
16,100,81.985475
21,100,82.815032
20,100,83.654484
17,100,83.890536
16,100,84.733369
23,100,85.568154
21,100,86.390339
27,100,87.210286
19,100,87.435249
23,100,88.116803
20,100,88.800718
22,100,89.481825
21,100,89.78392
21,100,90.648343
23,100,91.496489
15,100,92.190308
17,100,92.928926
16,100,93.204594
19,100,93.903561
22,100,94.578639
19,100,95.236425
20,100,95.447013
25,100,96.167986
17,100,96.855285
21,100,97.726162
14,100,98.385951
23,100,98.590936
17,100,99.476571
24,100,100.162766
22,100,100.882774
24,100,101.129313
23,100,101.903692
21,100,102.747833
18,100,103.416862
15,100,104.059482
25,100,104.276893
21,100,104.948387
24,100,105.599209
26,100,106.474746
22,100,107.266006
28,100,107.486687
22,100,108.152387
27,100,108.859357
19,100,109.684229
26,100,109.91696
29,100,110.766206
24,100,111.647375
17,100,112.335214
21,100,112.989477
26,100,113.257262
21,100,113.933042
17,100,114.625206
25,100,115.292934
25,100,115.504438
24,100,116.164856
26,100,116.810293
18,100,117.46206
26,100,118.137506
20,100,118.373592
17,100,119.077743
21,100,119.73242
21,100,120.384641
23,100,120.659864
15,100,121.46606
18,100,122.108938
21,100,122.760898
30,100,123.40024
29,100,123.610534
27,100,124.292938
21,100,125.095627
30,100,125.778171
25,100,126.46875
31,100,126.709635
16,100,127.457477
18,100,128.261409
24,100,128.992664
27,100,129.234865
29,100,129.890835
20,100,130.544178
17,100,131.201134
25,100,131.872367
18,100,132.11476
24,100,132.848901
24,100,133.553832
28,100,134.262253
27,100,134.523864
34,100,135.395272
29,100,136.205386
22,100,136.889943
26,100,137.628273
23,100,137.848305
30,100,138.51101
30,100,139.241381
28,100,139.898741
23,100,140.150892
23,100,140.997633
27,100,141.778339
26,100,142.45801
31,100,143.305126
31,100,143.539551
22,100,144.410862
37,100,145.079896
26,100,145.746173
36,100,146.404086
29,100,146.677575
33,100,147.396093
30,100,148.094063
20,100,148.762263
20,100,148.979902
26,100,149.720115
26,100,150.448208
20,100,151.302477
25,100,152.136859
26,100,152.376566
31,100,153.206132
25,100,154.029054
29,100,154.856646
30,100,155.088739
32,100,155.919009
30,100,156.585099
30,100,157.244512
31,100,157.91071
33,100,158.157146
33,100,158.99304
32,100,159.649965
28,100,160.298107
35,100,160.511168
36,100,161.234359
34,100,161.973575
31,100,162.638825
30,100,163.36452
33,100,163.662599
25,100,164.366314
29,100,165.031906
33,100,165.713684
30,100,166.4382
26,100,166.670877
23,100,167.345101
39,100,168.196522
35,100,168.862962
35,100,169.07821
32,100,169.741351
32,100,170.379389
36,100,171.019753
34,100,171.656073
34,100,171.961188
24,100,172.681342
29,100,173.377772
23,100,174.087812
29,100,174.314043
24,100,174.993539
29,100,175.721232
30,100,176.369582
36,100,177.013839
25,100,177.229419
38,100,177.899738
33,100,178.550677
37,100,179.201201
24,100,179.403038
40,100,180.097051
37,100,180.947203
31,100,181.784117
31,100,182.46005
45,100,182.704824
