#{"t_start": 1617386190.8258805, "env_id": null}
r,l,t
11,100,0.344077
10,100,0.858193
8,100,1.37431
5,100,1.880424
7,100,2.001451
7,100,2.519569
13,100,3.031684
7,100,3.535798
13,100,4.032909
15,100,4.143935
17,100,4.648048
14,100,5.158163
11,100,5.661277
6,100,5.781304
9,100,6.332428
6,100,6.854546
8,100,7.378664
14,100,7.900782
10,100,8.017809
10,100,8.537935
14,100,9.073056
10,100,9.641535
14,100,9.766563
10,100,10.277678
13,100,10.784793
17,100,11.296909
7,100,11.799022
9,100,11.912047
12,100,12.420161
11,100,12.920275
9,100,13.42839
11,100,13.544415
12,100,14.048529
12,100,14.545641
12,100,15.045754
10,100,15.543867
9,100,15.655892
12,100,16.157005
19,100,16.656117
20,100,17.156231
10,100,17.653342
15,100,17.766367
13,100,18.268481
20,100,18.802602
13,100,19.301714
6,100,19.41574
14,100,19.918854
15,100,20.414966
15,100,20.915079
12,100,21.412191
14,100,21.523216
14,100,22.02933
13,100,22.556449
8,100,23.058563
15,100,23.18059
13,100,23.702708
11,100,24.215824
12,100,24.723938
15,100,25.227051
15,100,25.339077
16,100,25.889201
12,100,26.394315
20,100,26.90043
11,100,27.018456
19,100,27.521569
23,100,28.030684
15,100,30.699761
22,100,31.211875
14,100,31.336905
23,100,31.85102
13,100,32.348133
10,100,32.858248
18,100,33.374364
18,100,33.501393
18,100,34.037529
14,100,34.562648
18,100,35.067762
19,100,35.177787
14,100,35.6819
20,100,36.180013
16,100,36.681126
10,100,37.177238
14,100,37.288263
26,100,37.791376
26,100,38.323496
14,100,38.847615
14,100,38.968642
18,100,39.510765
15,100,40.093087
17,100,40.68044
16,100,41.26464
16,100,41.392421
20,100,41.987915
16,100,42.582983
21,100,43.165933
17,100,43.303652
18,100,43.886228
12,100,44.469864
12,100,45.047743
18,100,45.630796
21,100,45.760382
19,100,46.338763
12,100,46.912864
24,100,47.496016
17,100,48.069841
12,100,48.195816
22,100,48.752648
16,100,49.304621
20,100,49.86364
20,100,49.992334
12,100,50.583813
18,100,51.181976
17,100,51.737243
22,100,52.282922
28,100,52.404983
16,100,52.928865
21,100,53.451847
16,100,53.987855
17,100,54.125389
19,100,54.668971
23,100,55.202893
20,100,55.723739
17,100,56.241717
18,100,56.356884
19,100,56.871684
20,100,57.376241
21,100,57.885365
21,100,57.999735
20,100,58.512182
16,100,59.029325
15,100,59.538148
17,100,60.052245
18,100,60.173332
22,100,60.692495
19,100,61.206956
19,100,61.720455
21,100,62.221077
22,100,62.338104
27,100,62.840217
20,100,63.344331
14,100,63.856446
29,100,63.972472
14,100,64.481587
21,100,64.987702
21,100,65.487814
17,100,65.989928
23,100,66.101953
16,100,66.606067
10,100,67.10718
27,100,67.618296
19,100,67.731321
24,100,68.237435
22,100,68.744549
17,100,69.261667
28,100,69.762779
16,100,69.884807
24,100,70.419928
16,100,70.949047
20,100,71.458162
24,100,71.575189
20,100,72.080302
34,100,72.586417
23,100,73.091531
20,100,73.601646
22,100,73.717672
28,100,74.218785
14,100,74.720898
21,100,75.219011
20,100,75.722124
21,100,75.839151
22,100,76.353266
19,100,76.868383
21,100,77.371496
22,100,77.487523
20,100,77.994637
29,100,78.502752
22,100,79.011866
17,100,79.51598
23,100,79.627005
20,100,80.129118
23,100,80.642234
33,100,81.140347
16,100,81.250371
23,100,81.755485
21,100,82.2646
24,100,82.771715
22,100,83.272827
27,100,83.385853
33,100,83.889967
28,100,84.39208
21,100,84.895194
25,100,85.007219
21,100,85.508332
19,100,86.004444
20,100,86.528563
22,100,87.034677
26,100,87.146702
29,100,87.684823
14,100,88.203941
17,100,88.715056
22,100,89.22117
21,100,89.336197
33,100,89.846311
21,100,90.350425
30,100,90.856539
23,100,90.969564
27,100,91.47968
22,100,91.987794
24,100,92.490908
35,100,92.999023
32,100,93.113048
27,100,93.621163
28,100,94.126277
28,100,94.62639
27,100,94.738415
31,100,95.245529
31,100,95.747643
27,100,96.255757
26,100,96.765872
25,100,96.877898
32,100,97.381011
17,100,97.881124
19,100,98.377236
34,100,98.488261
27,100,98.992375
27,100,99.494488
23,100,100.004604
24,100,100.510717
24,100,100.622743
26,100,101.128857
21,100,101.641973
26,100,102.15909
25,100,102.689209
18,100,102.809236
25,100,103.319351
29,100,103.828466
30,100,104.336581
30,100,104.449607
20,100,104.95372
20,100,105.460835
21,100,105.963948
29,100,106.46106
32,100,106.576086
28,100,107.086202
20,100,107.586314
23,100,108.106432
30,100,108.236461
23,100,108.745575
26,100,109.249689
31,100,109.752803
35,100,110.249916
27,100,110.35994
30,100,110.860053
31,100,111.359165
31,100,111.855277
26,100,111.965302
27,100,112.486172
33,100,113.026293
36,100,113.570416
32,100,114.082531
27,100,114.194557
21,100,114.69767
28,100,115.221788
35,100,115.724902
26,100,116.226015
35,100,116.347043
25,100,116.854156
27,100,117.35527
26,100,117.868388
27,100,117.990413
22,100,118.535537
32,100,119.03965
29,100,119.535762
26,100,120.042876
25,100,120.158902
20,100,120.667017
29,100,121.202138
30,100,121.728256
34,100,121.840282
26,100,122.340394
25,100,122.861513
28,100,123.361625
39,100,123.865739
27,100,123.988767
31,100,124.504884
40,100,125.013998
31,100,125.533115
27,100,125.647141
31,100,126.148254
30,100,126.644366
28,100,127.140477
31,100,127.63959
21,100,127.749616
30,100,128.255729
33,100,128.78985
26,100,129.304966
30,100,129.817082
34,100,129.929107
27,100,130.435221
31,100,130.968342
39,100,131.480457
27,100,131.592482
26,100,132.092595
