#{"t_start": 1616424370.569328, "env_id": null}
r,l,t
15,100,0.822231
10,100,2.176638
9,100,3.425866
10,100,4.627469
8,100,4.990641
11,100,6.091522
18,100,7.472259
12,100,8.879408
10,100,10.12548
11,100,10.63714
6,100,11.875122
13,100,13.214688
12,100,14.328959
9,100,14.787606
13,100,15.948545
13,100,17.122238
8,100,18.360896
8,100,19.621265
4,100,20.132714
9,100,21.439128
15,100,22.670285
15,100,24.294274
15,100,24.730626
10,100,26.079988
16,100,27.452612
10,100,28.780022
18,100,29.902245
12,100,30.296566
10,100,31.468642
10,100,32.68313
16,100,33.849955
17,100,34.24113
21,100,35.346936
18,100,36.533431
19,100,37.692919
9,100,38.80203
14,100,39.117699
17,100,40.231126
22,100,41.325476
17,100,42.427378
11,100,43.591135
12,100,44.061107
9,100,45.265584
12,100,46.390487
11,100,47.479084
15,100,47.96979
14,100,49.083555
13,100,50.273856
15,100,51.376201
13,100,52.54796
8,100,52.952186
18,100,54.044779
10,100,55.139051
23,100,56.122465
21,100,56.475507
16,100,57.64694
16,100,58.748069
13,100,59.871165
21,100,61.03081
16,100,61.505652
15,100,62.653568
20,100,63.738208
19,100,64.944912
18,100,65.340197
17,100,66.612976
16,100,67.696905
19,100,68.790968
15,100,69.925835
18,100,70.312625
13,100,71.489364
19,100,72.596684
17,100,73.616298
15,100,74.719324
17,100,75.17345
11,100,76.470397
19,100,77.756234
16,100,78.847368
22,100,79.236835
22,100,80.3493
16,100,81.479051
21,100,82.612068
11,100,83.727654
15,100,84.1257
22,100,85.276473
17,100,86.384777
20,100,87.489328
16,100,87.87847
19,100,88.999448
19,100,90.044833
22,100,91.168336
20,100,92.256297
17,100,92.672685
12,100,93.88828
14,100,95.185459
20,100,96.345196
13,100,96.735699
21,100,97.831186
20,100,99.076954
19,100,100.165244
17,100,101.355727
16,100,101.808382
17,100,102.909989
12,100,104.052271
14,100,105.297376
22,100,106.278846
18,100,106.693835
21,100,107.788223
20,100,109.04386
15,100,110.160192
16,100,110.550423
16,100,111.721417
17,100,112.868286
10,100,113.957649
19,100,115.081887
20,100,115.577117
20,100,116.850336
20,100,118.095145
19,100,119.207037
20,100,119.756653
24,100,121.010234
27,100,122.191835
25,100,123.322159
18,100,124.546745
24,100,124.985326
24,100,126.077422
21,100,127.311215
22,100,128.396306
17,100,128.784282
23,100,129.874622
17,100,130.971
14,100,132.050402
16,100,133.136439
22,100,133.524635
19,100,134.708845
19,100,135.819938
20,100,136.902156
19,100,138.014715
17,100,138.418309
13,100,139.393343
20,100,140.426012
26,100,141.528776
21,100,141.917202
17,100,143.155182
10,100,144.23447
23,100,145.510883
17,100,146.659395
17,100,147.111066
22,100,148.226584
20,100,149.345239
27,100,150.466489
22,100,150.892558
25,100,152.145597
24,100,153.346505
28,100,154.447054
25,100,155.633798
27,100,156.024527
18,100,157.149658
34,100,158.392722
23,100,159.551534
28,100,160.04873
22,100,161.215287
19,100,162.314758
22,100,163.422449
20,100,164.523056
21,100,164.988628
19,100,166.189821
17,100,167.283501
20,100,168.371334
24,100,169.462711
28,100,169.86736
18,100,171.019125
27,100,172.105726
22,100,173.172421
20,100,173.63143
15,100,174.806343
27,100,175.916118
25,100,177.034304
22,100,178.248701
17,100,178.637432
18,100,179.80688
25,100,180.991212
20,100,182.107723
19,100,182.495121
19,100,183.60687
22,100,184.784708
19,100,186.069404
21,100,187.295887
18,100,187.73941
26,100,188.986008
18,100,190.032365
30,100,191.140151
22,100,191.527077
27,100,192.630231
18,100,193.728637
20,100,194.899559
28,100,196.0834
19,100,196.472569
22,100,197.646691
24,100,198.829748
25,100,200.211499
21,100,201.501163
21,100,201.953032
21,100,203.049144
21,100,204.277912
18,100,205.49272
27,100,205.915693
26,100,207.052332
34,100,208.30936
32,100,209.547322
19,100,210.734416
31,100,211.171596
24,100,212.332146
29,100,213.462802
27,100,214.544957
25,100,214.93306
27,100,216.050467
24,100,217.317569
27,100,218.44534
27,100,219.633953
23,100,220.14535
24,100,221.264419
27,100,222.446044
25,100,223.510066
27,100,223.900088
27,100,224.996473
23,100,226.220042
37,100,227.363056
26,100,228.464371
21,100,228.891952
28,100,230.127255
32,100,231.22081
29,100,232.328632
22,100,233.508894
32,100,233.912243
29,100,235.037881
28,100,236.242327
25,100,237.41182
30,100,237.840279
21,100,239.013118
32,100,240.048697
28,100,241.349412
33,100,242.486995
34,100,242.875665
26,100,244.054292
34,100,245.329407
18,100,246.422963
30,100,246.808069
26,100,248.072912
31,100,249.373716
28,100,250.635851
19,100,251.903885
35,100,252.438824
26,100,253.5936
41,100,254.788757
26,100,256.156088
35,100,256.446216
31,100,257.552884
28,100,259.03412
22,100,260.195156
36,100,261.486354
34,100,261.977941
37,100,263.153464
30,100,264.384591
31,100,265.677168
26,100,266.867701
23,100,267.345125
26,100,268.534379
25,100,269.698009
30,100,270.948886
26,100,271.435305
34,100,272.57909
31,100,273.560381
34,100,274.926334
27,100,276.200087
21,100,276.627927
27,100,277.975115
31,100,279.206342
39,100,280.498992
33,100,281.003223
28,100,282.187991
29,100,283.473923
34,100,284.748241
22,100,285.864625
38,100,286.273173
26,100,287.472669
29,100,288.659619
32,100,289.757166
30,100,290.274615
35,100,291.487726
36,100,292.865413
29,100,294.093912
28,100,295.335861
32,100,295.840719
30,100,297.10822
34,100,298.339469
29,100,299.703881
32,100,300.928333
28,100,301.510262
34,100,302.680426
35,100,303.900813
37,100,305.218321
30,100,305.690609
19,100,306.992278
29,100,308.131512
29,100,309.095533
29,100,310.234464
28,100,310.730744
28,100,311.825855
34,100,312.984179
34,100,314.091212
23,100,314.552762
21,100,315.660983
30,100,316.861019
31,100,318.05869
23,100,319.274085
31,100,319.776796
33,100,321.000456
18,100,322.179228
24,100,323.344142
32,100,323.786653
31,100,324.940992
32,100,326.195926
32,100,327.424015
33,100,328.373886
29,100,328.873808
40,100,330.156219
31,100,331.326885
28,100,332.5537
22,100,333.732506
24,100,334.129194
34,100,335.313793
28,100,336.555336
28,100,337.812582
35,100,338.247887
31,100,339.406084
27,100,340.661427
32,100,341.782568
32,100,342.917785
32,100,343.324315
33,100,344.601443
21,100,345.77283
27,100,346.858124
39,100,347.186843
29,100,348.336647
31,100,349.665706
25,100,350.920001
29,100,352.262769
42,100,352.696367
39,100,353.871605
33,100,355.040314
35,100,356.277036
36,100,356.789982
34,100,358.032745
27,100,359.163653
36,100,360.249345
25,100,361.441548
21,100,361.829361
40,100,362.935566
35,100,364.121677
29,100,365.297639
27,100,366.421814
32,100,366.746308
29,100,368.034586
33,100,369.36882
36,100,370.572415
40,100,371.110093
24,100,372.400667
38,100,373.58208
33,100,374.824156
31,100,375.930488
31,100,376.472581
32,100,377.567193
30,100,378.767524
28,100,379.997797
29,100,380.483846
33,100,381.67517
34,100,382.874552
34,100,384.081529
37,100,385.363575
34,100,385.747688
37,100,386.837171
36,100,387.927351
30,100,389.138283
35,100,389.654691
35,100,390.804452
20,100,391.966942
31,100,393.132915
35,100,394.264591
34,100,394.656635
27,100,395.929252
30,100,397.099804
33,100,398.250687
30,100,399.498832
28,100,399.999336
30,100,401.163536
34,100,402.256567
39,100,403.347759
30,100,403.854175
32,100,404.931729
35,100,406.058958
33,100,407.201656
32,100,408.300042
22,100,408.700555
34,100,409.896167
45,100,411.183267
31,100,412.418864
36,100,412.929033
30,100,414.080539
31,100,415.279522
27,100,416.586242
29,100,417.937549
40,100,418.379538
32,100,419.586261
39,100,420.676503
32,100,421.773782
29,100,422.170831
28,100,423.293845
38,100,424.426598
33,100,425.515597
38,100,426.760582
40,100,427.282043
28,100,428.528258
33,100,429.799193
34,100,430.963052
37,100,432.136403
33,100,432.536332
34,100,433.692348
39,100,434.870118
37,100,435.961847
35,100,436.453956
40,100,437.779599
27,100,439.066892
34,100,440.32421
32,100,441.450129
35,100,441.849108
37,100,443.125113
35,100,444.218241
28,100,445.388492
29,100,445.812895
33,100,447.062573
33,100,448.175604
32,100,449.296313
33,100,450.435409
41,100,450.9696
35,100,452.067033
35,100,453.15343
31,100,454.254224
34,100,454.72052
36,100,455.895465
33,100,456.994667
35,100,458.198849
35,100,459.458367
32,100,460.022855
44,100,461.327667
43,100,462.586921
38,100,463.677662
37,100,464.913501
32,100,465.421135
33,100,466.678329
31,100,467.805804
37,100,469.142204
33,100,469.619847
35,100,470.925252
34,100,472.144796
37,100,473.435976
30,100,474.591752
35,100,474.994756
34,100,476.127817
36,100,477.319164
29,100,478.428503
32,100,478.897668
35,100,480.077587
23,100,481.171499
27,100,482.197683
32,100,483.253962
31,100,483.748107
26,100,485.007611
31,100,486.14283
28,100,487.429344
29,100,487.898789
33,100,489.075146
29,100,490.196067
35,100,491.280876
34,100,492.370912
33,100,492.855763
37,100,494.172894
36,100,495.357631
34,100,496.658543
34,100,497.809716
36,100,498.281539
32,100,499.474854
35,100,500.56112
35,100,501.549139
34,100,501.904624
32,100,503.016212
32,100,504.181403
34,100,505.364727
34,100,506.554682
34,100,507.01091
36,100,508.164042
32,100,509.421351
35,100,510.547486
41,100,511.082607
37,100,512.357062
39,100,513.539321
34,100,514.700578
37,100,516.046122
32,100,516.538481
26,100,517.829952
36,100,518.953833
36,100,520.116585
25,100,520.439131
27,100,521.587779
33,100,522.767772
37,100,524.066775
