#{"t_start": 1616602773.5236874, "env_id": null}
r,l,t
11,100,1.066098
9,100,2.792401
10,100,4.384773
11,100,6.066119
9,100,6.563213
10,100,8.278536
9,100,9.868697
10,100,11.508906
12,100,13.154652
9,100,13.627657
15,100,15.210494
13,100,16.765293
6,100,18.511453
7,100,19.02231
11,100,20.608299
8,100,22.177726
9,100,23.727596
5,100,25.308381
10,100,25.791727
10,100,27.396781
8,100,29.059272
17,100,30.642653
6,100,31.243407
16,100,32.832094
8,100,34.444079
11,100,36.054367
14,100,37.645143
10,100,38.176722
16,100,39.81635
10,100,41.369285
8,100,42.898712
17,100,43.37749
15,100,45.007217
14,100,46.561051
16,100,48.1009
8,100,49.652841
16,100,50.182565
16,100,51.843387
22,100,53.418596
14,100,55.092323
14,100,56.65244
8,100,57.15884
11,100,58.760486
13,100,60.378519
12,100,61.937186
8,100,62.445888
26,100,64.02412
11,100,65.649593
19,100,67.236735
9,100,68.786428
19,100,69.275013
19,100,70.910415
15,100,72.524589
22,100,74.171556
11,100,74.656674
21,100,76.2814
15,100,77.835777
15,100,79.48379
22,100,81.085285
18,100,81.565872
15,100,83.152776
12,100,84.712647
16,100,86.287741
14,100,86.776765
19,100,88.341175
17,100,90.025676
13,100,91.649119
17,100,93.240647
20,100,93.724737
12,100,95.446471
21,100,97.062922
13,100,98.691718
17,100,100.315542
21,100,100.807171
15,100,102.497446
13,100,104.101263
14,100,105.649615
14,100,106.1312
17,100,107.745442
24,100,109.304766
16,100,110.87799
20,100,112.433191
18,100,112.914734
22,100,114.489991
18,100,116.176219
19,100,117.809357
19,100,118.284938
14,100,119.884392
16,100,121.449372
19,100,123.028772
18,100,124.659155
23,100,125.150061
15,100,126.809481
15,100,128.422226
16,100,129.988568
18,100,130.462421
19,100,132.055887
18,100,133.677592
14,100,135.295469
16,100,136.988677
13,100,137.48645
20,100,139.078181
17,100,140.671096
19,100,142.270473
15,100,143.861983
17,100,144.340997
20,100,145.933881
25,100,147.536358
12,100,149.12095
15,100,149.733616
23,100,151.305688
20,100,152.868725
25,100,154.482497
17,100,156.038872
22,100,156.520404
20,100,158.281758
28,100,159.904999
21,100,161.467101
26,100,161.945838
15,100,163.51109
21,100,165.05349
16,100,166.613253
30,100,168.235911
24,100,168.707836
19,100,170.335901
21,100,171.896678
12,100,173.537113
19,100,174.035588
20,100,175.654178
23,100,177.258467
17,100,178.937649
23,100,180.542119
22,100,181.018042
27,100,182.589606
23,100,184.196454
22,100,185.78129
22,100,187.411451
27,100,187.884298
25,100,189.482993
21,100,191.090896
28,100,192.768572
23,100,193.238393
26,100,194.801938
17,100,196.395925
21,100,198.066009
26,100,199.774615
16,100,200.261145
20,100,201.852221
18,100,203.45605
20,100,205.007097
22,100,205.492814
22,100,207.088355
23,100,208.692117
32,100,210.272093
27,100,211.831822
21,100,212.311468
27,100,213.970166
30,100,215.574892
21,100,217.149345
31,100,217.636319
32,100,219.207482
29,100,220.815039
29,100,222.482666
29,100,224.07909
21,100,224.556397
20,100,226.13966
19,100,227.711277
17,100,229.317531
24,100,230.849311
