#{"t_start": 1616681158.5311682, "env_id": null}
r,l,t
8,100,6.724112
6,100,8.521507
16,100,10.104151
9,100,11.858996
7,100,13.090872
12,100,14.798106
8,100,16.16498
11,100,17.844986
7,100,19.543198
20,100,20.381107
6,100,22.149039
8,100,23.763204
8,100,25.472984
18,100,26.571103
5,100,27.664302
12,100,29.156465
7,100,29.935396
6,100,30.94264
8,100,31.64787
19,100,32.948829
11,100,34.125457
8,100,35.697591
14,100,36.457433
12,100,37.39049
15,100,38.408544
7,100,39.488572
9,100,40.382694
11,100,40.975223
20,100,41.767461
13,100,42.426367
18,100,43.189653
20,100,43.683304
20,100,44.372377
14,100,45.321167
13,100,46.498115
17,100,47.716403
9,100,48.541026
18,100,49.515102
11,100,50.443061
17,100,51.33463
16,100,51.952436
22,100,52.364377
17,100,52.995665
8,100,53.759601
16,100,54.732375
25,100,55.284777
14,100,55.879691
17,100,56.488581
13,100,57.089159
17,100,57.693868
20,100,58.523646
13,100,59.51732
20,100,60.51144
14,100,61.58849
18,100,62.28193
15,100,63.353502
9,100,64.421851
12,100,65.415074
17,100,66.005333
14,100,66.454943
14,100,67.194746
20,100,67.803591
16,100,68.681134
13,100,69.357679
22,100,70.327401
16,100,71.308355
16,100,72.465263
19,100,73.296705
17,100,73.970904
17,100,75.015695
18,100,75.955184
14,100,76.782351
22,100,77.540165
18,100,78.017886
17,100,78.646207
15,100,79.243609
11,100,79.902849
15,100,80.346663
14,100,80.981963
14,100,81.539472
21,100,82.090198
15,100,82.63873
24,100,83.030682
13,100,83.603408
15,100,84.164907
20,100,84.726406
19,100,85.114296
19,100,85.689751
11,100,86.256235
14,100,86.823674
23,100,87.383147
14,100,87.805073
18,100,88.360933
20,100,88.924427
15,100,89.477948
21,100,89.867282
15,100,90.429779
17,100,90.982306
13,100,91.54302
24,100,92.097538
17,100,92.487515
15,100,93.061418
18,100,93.610948
20,100,94.162739
17,100,94.721245
15,100,95.108211
17,100,95.656381
18,100,96.210897
21,100,96.75245
19,100,97.140686
14,100,97.690217
18,100,98.240746
17,100,98.794405
21,100,99.361888
16,100,99.75783
12,100,100.318878
17,100,100.864419
12,100,101.414947
26,100,101.80347
20,100,102.352003
21,100,102.898543
21,100,103.457178
11,100,104.002718
24,100,104.403647
20,100,104.944318
17,100,105.489847
17,100,106.045334
17,100,106.448256
18,100,106.997241
18,100,107.548687
24,100,108.071291
16,100,108.61386
16,100,109.037106
17,100,109.625537
16,100,110.140491
13,100,110.66538
18,100,111.191971
15,100,111.575946
15,100,112.082993
17,100,112.643524
20,100,113.167157
15,100,113.545048
17,100,114.093581
20,100,114.616201
18,100,115.135297
15,100,115.664849
18,100,116.042838
29,100,116.576784
19,100,117.093523
19,100,117.61318
20,100,117.992121
21,100,118.511379
20,100,119.037969
13,100,119.572078
19,100,120.100665
21,100,120.477659
20,100,121.002264
13,100,121.538641
17,100,122.090166
17,100,122.479126
21,100,123.0127
19,100,123.542284
13,100,124.07005
21,100,124.597605
21,100,124.982614
17,100,125.512193
18,100,126.046103
28,100,126.580706
17,100,127.102085
20,100,127.484064
21,100,128.009659
18,100,128.533258
13,100,129.063015
24,100,129.451975
12,100,129.972624
18,100,130.499548
15,100,131.015168
20,100,131.531787
22,100,131.910697
20,100,132.429313
19,100,132.947961
21,100,133.46395
22,100,133.836954
15,100,134.36953
18,100,134.886537
21,100,135.41313
15,100,135.937758
23,100,136.323884
23,100,136.865435
21,100,137.384049
20,100,137.909982
24,100,138.288968
19,100,138.81108
18,100,139.335676
18,100,139.851297
20,100,140.371906
18,100,140.749407
25,100,141.269028
15,100,141.797605
22,100,142.319728
20,100,142.836675
14,100,143.217674
23,100,143.741864
19,100,144.259442
23,100,144.783072
18,100,145.166717
17,100,145.694291
24,100,146.223875
25,100,146.744514
25,100,147.271075
28,100,147.64512
20,100,148.165718
28,100,148.690315
15,100,149.212947
17,100,149.591862
24,100,150.129437
30,100,150.675966
12,100,151.199378
18,100,151.71897
29,100,152.094021
22,100,152.61897
18,100,153.142551
21,100,153.660135
18,100,154.041116
27,100,154.55764
19,100,155.07925
22,100,155.591801
15,100,156.11241
21,100,156.488437
16,100,157.009013
19,100,157.534616
22,100,158.060206
20,100,158.584884
21,100,158.956891
21,100,159.486476
21,100,160.008102
20,100,160.530052
20,100,160.920553
22,100,161.44914
13,100,161.973599
26,100,162.495237
17,100,163.011837
28,100,163.399243
23,100,163.921891
16,100,164.445507
18,100,164.963735
22,100,165.345714
19,100,165.864327
15,100,166.388944
25,100,166.90754
20,100,167.427154
18,100,167.805362
29,100,168.322974
22,100,168.84857
22,100,169.367712
23,100,169.75366
24,100,170.275277
28,100,170.803837
28,100,171.328414
24,100,171.856003
21,100,172.234521
20,100,172.763108
