#{"t_start": 1616426181.89094, "env_id": null}
r,l,t
10,100,2.230678
12,100,5.161112
7,100,7.798789
5,100,10.270034
13,100,11.136868
8,100,14.025808
6,100,17.394132
8,100,20.600557
19,100,23.617847
16,100,24.869663
11,100,27.976698
15,100,31.404048
10,100,34.503647
8,100,35.914952
15,100,39.276906
14,100,42.568564
13,100,45.787365
8,100,49.200813
9,100,50.714584
17,100,54.016114
12,100,57.501094
10,100,60.741647
17,100,62.282506
8,100,65.448971
19,100,92.6491
11,100,95.961832
19,100,121.498709
12,100,122.801166
19,100,126.225724
10,100,129.35899
5,100,132.654065
15,100,134.012061
10,100,137.353912
16,100,140.947442
12,100,144.248108
14,100,147.557567
11,100,148.961818
15,100,152.246025
14,100,155.656123
12,100,159.016524
15,100,162.510901
13,100,163.811234
16,100,166.687545
12,100,169.731984
19,100,173.103885
19,100,174.55729
16,100,177.904113
14,100,181.718933
12,100,185.002935
11,100,188.474619
13,100,189.937202
17,100,193.212319
19,100,196.572552
20,100,199.829963
12,100,201.318764
16,100,204.634913
16,100,207.974802
21,100,211.301599
20,100,214.514022
17,100,216.02226
18,100,219.381052
11,100,222.791944
14,100,225.945457
14,100,227.367241
20,100,230.69097
21,100,234.108476
13,100,237.527446
21,100,240.845241
22,100,242.259352
14,100,245.763821
17,100,249.030378
21,100,252.298035
16,100,255.833976
23,100,257.284371
18,100,260.595297
13,100,263.751547
21,100,267.013609
20,100,268.460921
19,100,271.844974
14,100,275.119261
12,100,278.325171
17,100,281.640732
20,100,284.559796
12,100,287.728155
20,100,291.52385
21,100,294.848836
21,100,296.23861
13,100,299.913029
21,100,302.981812
15,100,306.641371
15,100,309.917021
21,100,311.337826
15,100,314.730519
15,100,317.611456
11,100,320.632778
17,100,322.066641
20,100,325.324768
18,100,328.496045
18,100,331.603033
18,100,334.777949
15,100,336.035448
17,100,339.135108
21,100,342.644072
23,100,345.827125
16,100,349.165834
22,100,350.633055
21,100,353.86426
17,100,357.142643
22,100,360.375132
18,100,361.695328
14,100,365.00912
26,100,368.346399
16,100,371.640718
24,100,374.677955
18,100,376.028619
23,100,379.257581
19,100,382.558952
12,100,385.839949
22,100,387.283389
14,100,390.485022
29,100,393.837009
19,100,396.950912
21,100,400.269963
21,100,401.622283
24,100,404.951235
23,100,408.091597
24,100,411.445395
23,100,412.957191
20,100,416.222893
17,100,420.854841
14,100,424.132557
19,100,427.31093
22,100,428.805281
25,100,432.202705
13,100,435.472648
19,100,438.776757
17,100,441.999931
13,100,443.318733
27,100,446.724836
22,100,450.148172
19,100,453.508832
23,100,454.934139
19,100,458.413579
24,100,461.691071
25,100,464.9752
28,100,468.394707
25,100,469.787599
18,100,473.087622
15,100,476.442483
24,100,479.636176
18,100,481.13384
15,100,484.433844
28,100,487.621931
17,100,490.816614
17,100,494.060254
20,100,495.443813
21,100,498.781605
19,100,501.986868
13,100,505.184495
19,100,506.46547
17,100,509.546574
25,100,512.642143
27,100,515.835891
15,100,519.039262
22,100,520.202301
20,100,523.493817
15,100,527.059696
29,100,530.459864
30,100,533.780961
18,100,535.312463
27,100,538.587447
25,100,541.90336
28,100,545.193917
18,100,546.64368
16,100,549.994338
20,100,553.220796
23,100,556.592872
22,100,560.003445
19,100,561.377108
18,100,564.662528
17,100,567.982136
22,100,571.398322
20,100,572.838491
18,100,576.073892
25,100,579.267276
28,100,582.612622
23,100,586.004274
22,100,587.382642
15,100,590.751257
19,100,594.047979
24,100,597.308761
25,100,598.755658
21,100,602.016108
24,100,605.435617
25,100,608.777126
27,100,611.984018
16,100,613.327572
20,100,616.669379
21,100,620.094844
17,100,623.360105
17,100,626.70821
22,100,627.982336
22,100,631.223033
21,100,634.494153
23,100,637.81363
27,100,639.304038
27,100,643.201889
17,100,646.548653
21,100,649.84396
16,100,653.15086
25,100,654.545231
24,100,657.863049
25,100,661.069973
22,100,664.351528
32,100,665.762211
24,100,669.111732
29,100,672.358663
24,100,675.623816
22,100,678.958828
21,100,680.306602
26,100,683.772826
26,100,687.113815
22,100,690.323235
27,100,691.765852
21,100,694.910764
19,100,698.280531
26,100,701.639058
20,100,704.923027
27,100,706.153551
23,100,709.21953
30,100,712.447493
23,100,715.815903
21,100,719.072347
27,100,720.363447
21,100,723.432775
23,100,726.468556
24,100,729.715198
24,100,731.212339
23,100,734.502953
26,100,737.777006
18,100,741.047828
32,100,744.180282
21,100,745.509487
30,100,748.851293
20,100,752.002495
27,100,755.462947
33,100,756.947006
21,100,760.277844
21,100,763.921044
32,100,767.110219
21,100,770.604993
26,100,772.043839
19,100,775.318862
29,100,778.779291
31,100,782.293902
27,100,788.602787
36,100,792.098752
25,100,800.191984
34,100,803.357697
26,100,806.364046
27,100,807.819707
32,100,811.054097
32,100,814.392535
31,100,817.78111
33,100,820.987271
38,100,822.401717
27,100,825.772013
29,100,829.115812
27,100,832.304165
24,100,833.509068
31,100,836.730081
28,100,839.907351
26,100,843.006177
29,100,846.317265
28,100,847.779942
24,100,851.220929
33,100,854.561894
29,100,857.851281
12,100,859.299095
24,100,862.684717
30,100,866.006146
23,100,869.231022
31,100,872.518132
25,100,873.910306
35,100,877.240027
23,100,880.451353
28,100,883.635599
35,100,884.84231
23,100,887.854372
34,100,891.020345
32,100,894.348821
32,100,897.894823
27,100,899.258817
30,100,902.487989
19,100,905.849267
24,100,909.070294
35,100,912.383373
25,100,913.599018
33,100,916.734798
33,100,920.048796
25,100,923.517753
37,100,924.983374
28,100,928.376992
28,100,931.734842
31,100,935.045042
25,100,938.062773
20,100,939.406941
32,100,942.65613
29,100,945.785992
