#{"t_start": 1616350174.4242532, "env_id": null}
r,l,t
8,100,1.944843
12,100,3.480492
11,100,4.154906
11,100,4.813327
11,100,5.028374
5,100,5.685803
9,100,6.339823
10,100,7.25087
10,100,8.064994
7,100,8.298856
8,100,9.135743
11,100,9.969901
13,100,10.797971
9,100,11.022056
16,100,11.811019
6,100,12.557855
18,100,13.317978
9,100,14.052528
17,100,14.260347
13,100,14.916075
13,100,15.606009
15,100,16.320762
5,100,16.554263
15,100,17.276639
11,100,17.95839
12,100,18.62399
9,100,19.282757
12,100,19.492821
12,100,20.212362
14,100,20.88454
15,100,21.542767
15,100,21.795228
10,100,22.647849
17,100,23.537226
12,100,24.262758
15,100,24.996397
16,100,25.247062
13,100,25.947983
13,100,26.614302
11,100,27.296556
12,100,28.012681
16,100,28.251368
15,100,29.103374
11,100,29.930891
16,100,30.565186
17,100,30.767536
16,100,31.420137
14,100,32.287204
14,100,32.967186
19,100,33.631258
10,100,33.831521
20,100,34.501213
16,100,35.231914
12,100,35.893947
16,100,36.103877
17,100,36.753901
13,100,37.406449
11,100,38.06293
19,100,38.805997
7,100,39.035922
19,100,39.800377
17,100,40.540704
19,100,41.324996
10,100,41.548536
16,100,42.20809
8,100,42.868936
11,100,43.546679
15,100,44.267974
15,100,44.498754
20,100,45.1978
19,100,45.845886
16,100,46.498819
16,100,47.418504
16,100,47.650481
16,100,48.331018
18,100,49.015368
17,100,49.702801
17,100,49.920439
14,100,50.588837
18,100,51.232953
15,100,51.975946
16,100,52.635166
21,100,52.905133
19,100,53.575027
21,100,54.34679
19,100,55.028396
17,100,55.293627
17,100,55.966905
13,100,56.616422
23,100,57.257949
9,100,57.910236
25,100,58.149127
23,100,58.838782
24,100,59.571584
19,100,60.263885
21,100,60.484309
16,100,61.146321
12,100,61.844383
18,100,62.580742
17,100,63.236695
15,100,63.482076
18,100,64.205887
26,100,64.943563
10,100,65.591205
22,100,66.353997
22,100,66.641286
16,100,67.497817
16,100,68.319772
22,100,69.004636
18,100,69.206355
16,100,69.883192
26,100,70.54217
14,100,71.201983
19,100,71.854329
29,100,72.079725
16,100,72.745626
20,100,73.404445
13,100,74.053223
21,100,74.314418
19,100,75.02294
24,100,75.84702
21,100,76.513109
19,100,77.303609
