#{"t_start": 1616424370.8605537, "env_id": null}
r,l,t
8,100,0.531659
12,100,1.885273
11,100,3.135275
11,100,4.336141
11,100,4.699274
5,100,5.799347
9,100,7.179588
10,100,8.586613
10,100,9.832138
7,100,10.344292
8,100,11.582371
11,100,12.922498
13,100,14.03588
9,100,14.495865
16,100,15.655746
6,100,16.829973
18,100,18.067809
9,100,19.328751
17,100,19.839468
13,100,21.146908
13,100,22.378342
15,100,24.001796
5,100,24.439223
15,100,25.787242
11,100,27.159886
12,100,28.487783
9,100,29.60888
12,100,30.004297
12,100,31.175496
14,100,32.390856
15,100,33.557719
15,100,33.948749
10,100,35.054704
17,100,36.24103
12,100,37.40009
15,100,38.509402
16,100,38.825208
13,100,39.938925
13,100,41.033004
11,100,42.135104
12,100,43.297662
16,100,43.768942
15,100,44.972704
11,100,46.097927
16,100,47.185919
17,100,47.677449
16,100,48.791397
14,100,49.981603
14,100,51.083987
19,100,52.255196
10,100,52.659629
20,100,53.752568
16,100,54.846722
12,100,55.829446
16,100,56.183209
17,100,57.354642
13,100,58.4557
11,100,59.577893
19,100,60.738517
7,100,61.213356
19,100,62.361384
17,100,63.445856
19,100,64.652307
10,100,65.047791
16,100,66.320755
8,100,67.404645
11,100,68.498733
15,100,69.633547
15,100,70.020473
20,100,71.196874
19,100,72.304627
16,100,73.324057
16,100,74.425988
16,100,74.880382
16,100,76.177668
18,100,77.464014
17,100,78.555115
17,100,78.944569
14,100,80.056943
18,100,81.186652
15,100,82.319889
16,100,83.436275
21,100,83.833215
19,100,84.984255
21,100,86.09252
19,100,87.19678
17,100,87.586254
17,100,88.70703
13,100,89.752353
23,100,90.875829
9,100,91.962959
25,100,92.379977
23,100,93.595928
24,100,94.892944
19,100,96.053012
21,100,96.443329
16,100,97.538915
12,100,98.784748
18,100,99.873004
17,100,101.063163
15,100,101.515899
18,100,102.617482
26,100,103.759732
10,100,105.00475
22,100,105.985967
22,100,106.401564
16,100,107.495787
16,100,108.751465
22,100,109.867751
18,100,110.258166
16,100,111.429003
26,100,112.576045
14,100,113.665147
19,100,114.788935
29,100,115.284902
16,100,116.558144
20,100,117.802559
13,100,118.913858
21,100,119.46375
19,100,120.718014
24,100,121.899501
21,100,123.029134
19,100,124.253922
21,100,124.692837
24,100,125.785319
19,100,127.018638
19,100,128.103251
11,100,128.492007
21,100,129.582416
18,100,130.678777
23,100,131.758167
22,100,132.843004
20,100,133.231908
21,100,134.416463
16,100,135.527733
20,100,136.609919
20,100,137.721752
22,100,138.126134
12,100,139.101221
17,100,140.133725
16,100,141.235607
17,100,141.624929
22,100,142.862949
30,100,143.942204
18,100,145.217856
16,100,146.366134
22,100,146.818412
25,100,147.934198
16,100,149.051602
19,100,150.174267
19,100,150.599802
29,100,151.853461
23,100,153.054054
31,100,154.154783
24,100,155.3407
23,100,155.732497
25,100,156.857444
25,100,158.099908
20,100,159.258841
25,100,159.756159
20,100,160.922995
27,100,162.022523
28,100,163.130101
21,100,164.22951
23,100,164.696169
17,100,165.897366
22,100,166.991284
27,100,168.079087
24,100,169.169405
24,100,169.574904
23,100,170.726887
22,100,171.81352
22,100,172.879186
20,100,173.338791
25,100,174.51399
18,100,175.623921
22,100,176.742061
23,100,177.955518
24,100,178.345173
24,100,179.514642
20,100,180.698872
26,100,181.815323
18,100,182.202878
23,100,183.314634
22,100,184.491925
24,100,185.776115
17,100,187.002602
22,100,187.446606
29,100,188.693837
22,100,189.73999
20,100,190.847938
16,100,191.234757
24,100,192.338007
20,100,193.43643
