#{"t_start": 1616602773.9592779, "env_id": null}
r,l,t
14,100,0.630088
5,100,2.356757
7,100,3.948996
7,100,5.630338
7,100,6.127428
7,100,7.843148
10,100,9.432781
7,100,11.072955
8,100,12.718177
8,100,13.191453
8,100,14.774338
10,100,16.329129
9,100,18.075459
6,100,18.586244
14,100,20.1726
4,100,21.741481
14,100,23.29158
10,100,24.872526
7,100,25.355795
13,100,26.960834
6,100,28.623307
10,100,30.206476
14,100,30.807394
16,100,32.395875
9,100,34.008158
18,100,35.618302
19,100,37.208056
15,100,37.740408
15,100,39.380402
17,100,40.933177
13,100,42.462941
12,100,42.941533
11,100,44.571176
13,100,46.125168
15,100,47.66469
14,100,49.216694
8,100,49.746335
13,100,51.407185
21,100,52.9823
17,100,54.656822
11,100,56.214723
16,100,56.722563
21,100,58.324613
17,100,59.942338
20,100,61.50131
18,100,62.009698
14,100,63.588211
11,100,65.213409
14,100,66.800771
13,100,68.350422
19,100,68.838495
16,100,70.474463
15,100,72.088544
16,100,73.735595
12,100,74.22059
18,100,75.845539
13,100,77.399714
14,100,79.047529
18,100,80.649103
18,100,81.130039
11,100,82.716871
19,100,84.277103
20,100,85.851631
14,100,86.34095
15,100,87.905285
23,100,89.588234
17,100,91.213249
17,100,92.804223
20,100,93.288183
16,100,95.01055
16,100,96.627048
22,100,98.255558
13,100,99.879376
11,100,100.371012
10,100,102.061151
16,100,103.66532
30,100,105.21359
20,100,105.695263
20,100,107.309383
15,100,108.868734
17,100,110.44167
23,100,111.997157
20,100,112.47879
15,100,114.054084
18,100,115.738514
19,100,117.372282
24,100,117.848787
21,100,119.448412
23,100,121.013312
19,100,122.593011
22,100,124.223149
22,100,124.714143
14,100,126.37314
20,100,127.986164
25,100,129.552312
12,100,130.026387
21,100,131.619916
18,100,133.241412
21,100,134.859455
23,100,136.552496
18,100,137.050589
22,100,138.642158
21,100,140.235092
14,100,141.834559
12,100,143.426722
16,100,143.904765
18,100,145.497818
21,100,147.100155
20,100,148.684844
12,100,149.297663
14,100,150.86966
16,100,152.432761
17,100,154.046221
23,100,155.602838
13,100,156.084338
14,100,157.84384
16,100,159.468914
15,100,161.031147
23,100,161.510314
23,100,163.07515
27,100,164.61753
30,100,166.17739
20,100,167.79985
20,100,168.272312
22,100,169.899747
13,100,171.460341
22,100,173.100989
26,100,173.599517
16,100,175.218285
23,100,176.822361
17,100,178.501724
19,100,180.106544
21,100,180.582136
25,100,182.153223
24,100,183.760436
22,100,185.345147
21,100,186.975407
20,100,187.448293
18,100,189.046959
20,100,190.654899
23,100,192.332417
21,100,192.802009
18,100,194.366126
22,100,195.95998
21,100,197.629694
27,100,199.338646
21,100,199.825153
28,100,201.416343
23,100,203.019998
14,100,204.571179
21,100,205.056307
25,100,206.652433
19,100,208.256261
21,100,209.836258
19,100,211.395858
19,100,211.875557
24,100,213.534158
19,100,215.138858
23,100,216.713826
24,100,217.200373
20,100,218.771483
23,100,220.379112
24,100,222.046832
23,100,223.64322
23,100,224.120248
26,100,225.703541
19,100,227.27512
22,100,228.881606
28,100,230.413368
24,100,230.89203
29,100,232.515345
22,100,234.146914
27,100,235.721006
31,100,236.209658
27,100,237.802073
16,100,239.400207
26,100,240.954555
26,100,242.562311
22,100,243.042423
