#{"t_start": 1617284919.9775355, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,919,24.048669
-21.0,790,38.095093
-21.0,970,53.682302
-21.0,792,66.6397
-21.0,861,79.835108
-21.0,935,95.801907
-19.0,1089,115.197841
-17.0,1278,135.746829
-20.0,918,150.202905
-21.0,851,164.314712
-21.0,878,178.141336
-20.0,1027,194.196666
-20.0,881,208.478969
-21.0,852,221.856204
-19.0,964,237.959644
-18.0,1122,255.388021
-21.0,823,270.519562
-19.0,989,289.740765
-21.0,776,302.55282
-21.0,839,315.492206
-19.0,987,331.251419
-21.0,871,345.3727
-21.0,843,358.46467
-19.0,908,373.132955
-20.0,835,386.865252
-21.0,779,399.283068
-20.0,926,415.447846
-21.0,809,428.544244
-20.0,1238,448.59285
-21.0,848,462.44441
-20.0,989,477.807331
-20.0,908,492.167931
-21.0,915,507.288752
-21.0,804,522.949367
-18.0,1211,548.067337
-20.0,968,563.890763
-21.0,780,576.267017
-21.0,778,588.555146
-20.0,873,603.045742
-19.0,1070,620.016344
-21.0,808,632.79516
-19.0,1112,650.754799
-20.0,974,666.477756
-20.0,864,680.316736
-19.0,1102,702.829779
-20.0,841,716.653799
-21.0,909,730.85082
-20.0,835,743.541851
-21.0,815,755.823506
-21.0,820,768.694255
-21.0,851,781.886964
-20.0,895,795.069211
-21.0,807,807.91784
-20.0,1107,824.553703
-21.0,785,837.143801
-20.0,869,850.120197
-21.0,786,862.376411
-19.0,1074,878.94763
-21.0,930,893.064194
-21.0,880,906.588017
-21.0,901,920.437004
-19.0,964,934.958963
-21.0,882,948.411042
-20.0,883,961.955521
-20.0,832,975.052066
-20.0,870,988.146576
-19.0,975,1003.249612
-21.0,1005,1018.595639
-20.0,1060,1034.530487
-20.0,938,1048.661156
-19.0,1115,1065.899078
-20.0,1051,1081.701828
-19.0,1092,1098.554416
-20.0,934,1112.593599
-20.0,975,1127.585051
-20.0,1291,1147.210698
-16.0,1548,1171.665879
-13.0,1578,1196.719936
-18.0,1308,1216.753345
-19.0,1403,1238.031513
-21.0,1432,1259.978938
-14.0,1806,1287.45822
-13.0,1967,1317.044885
-21.0,1430,1338.60948
-13.0,2003,1369.588239
-7.0,2155,1402.083937
-19.0,1354,1422.109617
-8.0,2061,1453.037733
-17.0,1546,1476.56786
-7.0,2143,1509.044361
-3.0,2294,1543.795517
-6.0,2077,1576.30563
-11.0,1937,1605.55448
-18.0,1633,1630.089199
-14.0,1776,1657.039169
1.0,2600,1696.091417
-13.0,1748,1722.682444
-5.0,2330,1757.678165
-8.0,2300,1792.276915
-10.0,1953,1821.72981
-5.0,2481,1859.22349
-2.0,2647,1898.940624
-10.0,2137,1931.359724
-3.0,2808,1973.426298
-3.0,2736,2014.345296
1.0,3119,2061.422779
-3.0,2849,2103.850431
-4.0,2667,2144.002676
8.0,2514,2181.756917
4.0,3061,2227.848147
3.0,2817,2270.027542
4.0,2726,2310.658912
-2.0,3097,2357.334424
8.0,2768,2398.491997
2.0,3446,2449.849739
3.0,3411,2501.155551
-5.0,3057,2547.186094
5.0,2800,2588.627238
1.0,3354,2645.578987
9.0,2764,2690.483229
2.0,3555,2744.76006
11.0,2633,2787.973261
7.0,3158,2843.201428
11.0,2734,2898.399056
3.0,3403,3294.328585
6.0,3143,3344.285559
3.0,3261,3397.795671
2.0,3211,3446.656626
1.0,3510,3502.572178
12.0,2772,3548.544727
11.0,2941,3593.006666
15.0,2576,3631.938567
10.0,2765,3673.779683
4.0,3271,3723.164243
-1.0,3521,3776.727977
8.0,3197,3825.369508
8.0,3052,3872.020809
13.0,2560,3910.888197
15.0,2531,3950.473589
7.0,3444,4005.842004
13.0,2939,4050.491144
8.0,3375,4101.876113
6.0,3359,4152.648867
15.0,2416,4189.330623
6.0,3125,4236.301141
16.0,2360,4272.309936
15.0,2528,4310.439882
17.0,2366,4346.438508
7.0,3090,4393.360071
4.0,3587,4448.138765
4.0,3459,4500.530615
15.0,2560,4539.428613
15.0,2668,4580.369801
15.0,2519,4618.369657
11.0,2921,4662.874285
18.0,1952,4692.502948
18.0,1959,4722.62688
14.0,2469,4760.386773
18.0,1867,4788.937271
16.0,2160,4821.528003
19.0,2308,4856.589088
14.0,2469,4894.916835
18.0,2366,4930.775944
14.0,2686,4972.044632
14.0,2531,5011.104707
16.0,2024,5042.033121
18.0,2441,5079.19078
17.0,1992,5109.108257
14.0,2150,5142.263124
16.0,2531,5181.37864
17.0,2000,5212.923065
17.0,1979,5243.61797
9.0,2441,5280.690108
18.0,2381,5317.240976
19.0,1803,5344.850498
6.0,3066,5391.488371
13.0,2307,5426.530159
20.0,2259,5460.458124
17.0,2048,5491.906624
20.0,1963,5521.652149
16.0,2523,5560.608858
21.0,2292,5595.512712
19.0,1888,5624.351345
18.0,2233,5658.217483
19.0,1831,5686.77865
15.0,2764,5728.584951
13.0,2478,5766.109469
18.0,1957,5796.749888
18.0,2302,5831.864611
7.0,2611,5871.803942
16.0,2137,5904.804296
19.0,1746,5931.086445
14.0,2196,5965.277514
-21.0,825,5977.618036
21.0,1668,6003.082592
21.0,1603,6027.488374
-17.0,1158,6045.161338
17.0,1962,6075.391736
20.0,1695,6101.674534
20.0,1743,6128.530478
13.0,2224,6162.438959
17.0,2037,6193.571151
20.0,1614,6218.045742
21.0,1603,6242.822008
18.0,1837,6270.992334
19.0,1838,6299.319696
21.0,1648,6324.685428
16.0,1905,6353.25661
21.0,1604,6378.027706
17.0,1836,6406.104139
19.0,1758,6433.072085
20.0,1625,6458.487427
21.0,1669,6484.170352
17.0,1951,6514.036157
21.0,1601,6538.248466
20.0,1651,6563.665595
19.0,1671,6589.251905
17.0,1921,6618.573488
20.0,1686,6644.419055
20.0,1761,6671.989437
20.0,1656,6697.527722
19.0,1723,6724.205518
19.0,1674,6749.927327
18.0,1720,6776.020598
20.0,1740,6802.835484
18.0,1824,6830.500839
19.0,1734,6856.698302
20.0,1706,6883.191468
18.0,1772,6910.400204
18.0,1870,6938.728781
21.0,1606,6964.061536
21.0,1692,6990.017674
20.0,1654,7018.097209
21.0,1698,7044.607897
20.0,1731,7072.247664
21.0,1603,7097.779567
21.0,1608,7123.480834
20.0,1756,7151.0001
20.0,1695,7177.539134
20.0,1744,7203.891741
20.0,1691,7229.666791
20.0,1762,7256.736784
19.0,1753,7283.885637
21.0,1604,7309.349452
18.0,1857,7337.724586
20.0,1730,7363.758984
21.0,1696,7389.431386
20.0,1704,7415.636792
20.0,1623,7439.739336
21.0,1648,7464.858763
19.0,1762,7491.625228
18.0,1868,7520.130069
19.0,1728,7546.214315
20.0,1672,7571.667989
19.0,1681,7600.672097
21.0,1634,7626.040297
21.0,1695,7651.786952
18.0,1776,7678.776091
21.0,1631,7703.652498
20.0,1685,7728.908015
18.0,1797,7755.912942
17.0,1931,7785.108893
20.0,1808,7812.245374
20.0,1671,7837.625842
20.0,1612,7862.093407
21.0,1629,7887.043622
20.0,1613,7911.299729
20.0,1689,7936.761746
21.0,1629,7961.615768
21.0,1606,7986.011089
20.0,1616,8010.175995
20.0,1750,8036.605711
21.0,1629,8061.494241
21.0,1609,8085.544978
20.0,1670,8110.655531
21.0,1608,8135.257831
20.0,1770,8161.443816
20.0,1747,8188.419179
