#{"t_start": 1617160204.1030622, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,971,40.428072
-21.0,758,75.265135
-20.0,881,115.412948
-20.0,837,150.191436
-20.0,890,189.927006
-20.0,841,229.187728
-20.0,1048,275.367562
-20.0,837,315.382336
-21.0,817,351.022973
-21.0,825,386.170396
-21.0,786,421.298445
-21.0,916,466.359972
-20.0,918,506.905452
-21.0,819,542.130929
-20.0,836,582.05019
-20.0,837,617.11044
-20.0,830,656.361845
-21.0,867,691.733021
-21.0,782,730.415909
-21.0,822,764.7645
-20.0,872,804.635848
-21.0,861,840.125191
-20.0,1013,885.389088
-21.0,896,925.386652
-21.0,837,964.995388
-21.0,781,999.678041
-21.0,867,1039.926173
-21.0,901,1080.101032
-21.0,824,1114.796983
-20.0,1074,1161.844981
-20.0,1099,1211.769776
-20.0,1105,1262.987754
-20.0,1048,1309.04599
-19.0,1152,1361.29347
-20.0,912,1401.695152
-20.0,1020,1446.939435
-20.0,944,1487.187811
-20.0,1045,1532.427348
-21.0,1034,1579.044201
-20.0,952,1624.230304
-21.0,817,1659.506556
-20.0,1170,1711.637285
-20.0,929,1756.795434
-20.0,840,1792.115767
-19.0,1035,1837.94313
-21.0,815,1877.466238
-20.0,868,1912.566848
-21.0,787,1946.902531
-21.0,789,1986.445047
-21.0,840,2022.673642
-20.0,865,2064.361326
-21.0,967,2104.987413
-21.0,787,2144.258761
-20.0,883,2179.818977
-21.0,819,2219.381957
-19.0,1022,2265.344185
-21.0,792,2300.178018
-21.0,890,2339.925571
-21.0,788,2375.154483
-19.0,1003,2421.169475
-20.0,999,2465.874546
-20.0,1038,2511.675417
-20.0,1039,2557.746407
-19.0,1058,2603.993616
-21.0,813,2639.326044
-21.0,821,2678.624381
-19.0,978,2724.214419
-20.0,1352,2784.224216
-21.0,847,2824.120654
-20.0,1189,2875.52358
-21.0,1032,2922.351305
-16.0,1324,2980.045546
-17.0,1378,3043.181877
-18.0,1490,3112.260911
-19.0,1394,3175.615076
-21.0,1495,3239.681966
-20.0,1446,3303.271197
-16.0,1652,3377.667157
-21.0,1919,3463.702374
-18.0,1904,3549.347497
-15.0,2916,3682.185308
-19.0,2438,3791.558761
-15.0,2328,3894.914837
-17.0,2608,4015.088625
-20.0,2702,4138.115418
-13.0,2661,4252.884396
-15.0,2578,4372.679224
-16.0,2531,4482.619426
-16.0,2368,4591.655775
-20.0,1681,4666.594285
-19.0,1752,4745.816956
-14.0,2571,4860.192308
-18.0,2544,4974.640446
-19.0,2506,5084.64132
-17.0,2348,5188.564527
-19.0,2715,5313.843281
-18.0,2531,5424.571477
-12.0,3098,5567.496513
-19.0,2251,5665.717735
-14.0,2731,5786.198595
-14.0,2702,5912.272106
-18.0,2444,6020.670496
-14.0,2674,6136.886523
-10.0,3254,6285.930257
-12.0,2867,6412.295213
-12.0,3495,6570.83208
-15.0,2335,6673.352419
-8.0,3103,6811.299926
-11.0,2951,6943.799618
-12.0,3432,7098.110379
-10.0,3461,7252.176139
-12.0,3188,7395.809134
-7.0,3609,7555.83885
-3.0,3669,7721.618989
-11.0,3315,7864.489982
-7.0,3681,8030.651747
-15.0,2221,8132.02709
-6.0,3887,8303.457982
-15.0,2261,8405.124925
-12.0,3060,8537.512521
-12.0,2678,8657.768765
7.0,3763,8828.793613
7.0,3760,8994.750681
-1.0,3893,9166.20863
4.0,3891,9342.020919
3.0,3961,9518.337795
-9.0,2735,9637.453553
-1.0,4065,9820.980519
5.0,3724,9986.535439
6.0,4344,10179.821646
-11.0,2922,10310.064405
3.0,3772,10477.71386
6.0,3786,10648.210145
-2.0,4575,10849.55292
3.0,4333,11044.21621
-8.0,3433,11197.938841
4.0,4609,11404.819075
9.0,3547,11563.187755
14.0,3066,11700.565535
9.0,3324,11847.356876
8.0,3581,12005.782232
9.0,3624,12165.699542
10.0,2782,12289.571244
8.0,4012,12467.204766
10.0,3811,12643.599938
12.0,3455,12796.900743
-17.0,1941,12881.801221
14.0,2677,13001.15837
11.0,3170,13138.197996
6.0,3832,13309.893785
15.0,2626,13428.6106
17.0,2259,13530.958534
16.0,2377,13635.064952
16.0,2154,13734.376385
15.0,2674,13853.471882
17.0,2295,13955.352809
14.0,2638,14069.808416
16.0,2617,14189.90109
20.0,1986,14276.010256
19.0,2059,14366.875824
9.0,2949,14498.133908
18.0,1994,14590.506793
20.0,1781,14669.863803
15.0,2541,14783.552272
18.0,2052,14874.650679
20.0,1842,14954.506189
18.0,2022,15045.607944
13.0,2609,15161.044087
19.0,1893,15245.48343
13.0,2338,15348.298458
13.0,2456,15456.756466
18.0,2097,15555.676162
20.0,1835,15636.695807
14.0,2215,15733.200925
17.0,2119,15829.151588
19.0,1854,15909.442942
19.0,1945,15999.69161
20.0,1705,16075.701496
18.0,2214,16174.532554
20.0,1752,16254.247626
20.0,1772,16334.328598
20.0,1834,16414.38461
14.0,2198,16511.740629
19.0,1891,16597.456123
20.0,1820,16680.038095
