#{"t_start": 1617706742.0674117, "env_id": null}
r,l,t
7,100,0.606363
11,100,2.330342
5,100,3.093082
16,100,3.881199
9,100,4.130043
14,100,4.89572
4,100,5.654409
3,100,6.390971
2,100,7.320007
7,100,7.589372
8,100,8.351039
12,100,9.102937
9,100,9.900476
15,100,10.147859
15,100,10.960132
8,100,11.74421
12,100,12.595369
12,100,13.457716
17,100,13.715132
13,100,14.526978
12,100,15.281671
17,100,16.06358
20,100,16.321223
15,100,17.281079
13,100,18.088325
20,100,18.842146
10,100,19.619219
11,100,19.878967
14,100,20.912043
13,100,21.687084
12,100,22.472799
19,100,22.719811
20,100,23.494629
15,100,24.238871
17,100,24.991282
15,100,25.735031
14,100,25.986541
17,100,26.785741
15,100,27.538922
9,100,28.469978
19,100,29.39314
14,100,29.660589
12,100,30.612451
9,100,31.366085
17,100,32.109252
3,100,32.358521
15,100,33.111637
9,100,33.86423
16,100,34.631506
13,100,35.372244
9,100,35.622303
17,100,36.386701
14,100,37.138608
13,100,37.881283
15,100,38.132514
14,100,38.913949
9,100,39.726027
14,100,40.472573
16,100,41.210465
14,100,41.464464
17,100,42.219378
18,100,43.168992
19,100,43.909142
20,100,44.157717
7,100,44.91924
14,100,45.668038
14,100,46.414699
15,100,47.146409
14,100,47.398747
18,100,48.195022
13,100,48.94736
12,100,49.683839
12,100,50.427658
11,100,50.685124
11,100,51.441251
14,100,52.211298
12,100,53.137566
14,100,53.396516
15,100,54.346369
13,100,55.122365
28,100,55.865426
20,100,56.609278
15,100,56.865293
15,100,57.822936
17,100,58.576864
11,100,59.343526
12,100,59.594364
11,100,60.408348
17,100,61.453912
20,100,62.226898
15,100,63.029378
13,100,63.283378
12,100,64.101655
25,100,64.853498
12,100,65.620465
17,100,65.866231
16,100,66.623404
19,100,67.374255
15,100,68.169241
18,100,68.906438
29,100,69.145808
11,100,69.919726
19,100,70.671247
15,100,71.406947
17,100,72.148124
19,100,72.407804
18,100,73.173035
14,100,73.97931
15,100,74.750063
24,100,75.037878
14,100,75.895048
17,100,76.649013
16,100,77.39331
21,100,78.132744
19,100,78.385912
16,100,79.189744
19,100,79.958696
22,100,80.698866
24,100,80.952118
23,100,81.710328
11,100,82.523595
18,100,83.266404
17,100,84.020345
24,100,84.273144
19,100,85.055856
24,100,85.864726
25,100,86.600519
21,100,86.846985
25,100,87.642429
19,100,90.328946
19,100,91.091078
21,100,91.907068
23,100,92.163438
19,100,92.916724
15,100,93.695012
29,100,94.670543
21,100,95.409522
22,100,95.672483
21,100,96.435269
26,100,97.190899
31,100,97.928415
29,100,98.182063
19,100,98.963905
28,100,99.720874
28,100,100.466967
28,100,101.212961
26,100,101.464209
32,100,102.218159
30,100,102.971546
28,100,103.710483
19,100,103.963002
22,100,104.723423
20,100,105.673599
29,100,106.426169
21,100,107.205099
19,100,107.456182
29,100,108.264753
28,100,109.013656
32,100,109.757925
34,100,110.007308
24,100,110.752275
27,100,111.561549
30,100,112.337407
36,100,113.083894
26,100,113.335841
28,100,114.118859
27,100,114.899835
24,100,115.684007
40,100,116.425747
26,100,116.682905
21,100,117.466952
29,100,118.250276
30,100,119.005862
26,100,119.260807
33,100,120.038781
31,100,120.987878
25,100,121.73669
36,100,122.482154
25,100,122.738183
33,100,123.534103
18,100,124.298179
33,100,125.06121
30,100,125.315525
30,100,126.071312
31,100,126.918767
32,100,127.670731
27,100,128.411654
36,100,128.665991
31,100,129.434531
25,100,130.180325
30,100,130.94222
28,100,131.192839
29,100,132.001394
26,100,132.75601
30,100,133.53533
30,100,134.272077
34,100,134.51997
25,100,135.301355
29,100,136.116494
31,100,136.959112
26,100,137.722186
32,100,137.969738
35,100,138.972479
35,100,139.779262
29,100,140.703406
32,100,140.959131
28,100,141.741854
34,100,142.496439
28,100,143.263209
40,100,144.026281
30,100,144.27309
38,100,145.033689
25,100,145.787553
25,100,146.71954
30,100,146.966919
31,100,147.72753
36,100,148.672938
33,100,149.423894
30,100,150.203933
30,100,150.466135
34,100,151.218186
40,100,152.199956
38,100,152.948133
35,100,153.198417
30,100,153.957136
25,100,154.711442
32,100,155.462056
26,100,156.204463
28,100,156.45748
35,100,157.215996
28,100,158.004752
36,100,158.751897
26,100,159.547385
31,100,159.805297
37,100,160.564012
26,100,161.343435
31,100,162.290667
30,100,162.551527
27,100,163.505878
31,100,164.261309
28,100,165.007516
36,100,165.750164
31,100,166.000955
33,100,166.783847
20,100,167.533445
32,100,168.296052
24,100,168.546665
32,100,169.299408
36,100,170.04976
29,100,170.798411
28,100,171.535105
29,100,171.792084
31,100,172.548775
35,100,173.567663
24,100,174.300311
31,100,174.541119
25,100,175.314673
29,100,176.103845
32,100,176.85736
28,100,177.596626
32,100,177.845412
32,100,178.617345
30,100,179.364854
35,100,180.106046
30,100,180.851194
31,100,181.105965
32,100,181.865947
33,100,182.648894
36,100,183.691588
36,100,183.95212
28,100,184.905713
38,100,185.657203
29,100,186.47683
32,100,187.406074
32,100,187.669402
25,100,188.62291
32,100,189.371399
37,100,190.402004
24,100,190.648953
30,100,191.445325
26,100,192.250353
38,100,193.006664
27,100,193.742064
29,100,193.994648
28,100,194.797951
26,100,195.614609
28,100,196.407385
21,100,196.654252
30,100,197.411789
27,100,198.162358
28,100,198.908021
22,100,199.678202
26,100,199.934766
29,100,200.693413
37,100,201.501213
25,100,202.325557
30,100,203.068357
20,100,203.321848
27,100,204.085683
28,100,204.83983
28,100,205.576045
33,100,205.830899
27,100,206.586108
27,100,207.528137
28,100,208.26916
32,100,209.013261
34,100,209.268627
27,100,210.027295
24,100,211.099405
27,100,211.837911
18,100,212.084511
25,100,212.839237
25,100,213.592864
33,100,214.336885
27,100,215.080158
29,100,215.331502
22,100,216.092972
31,100,216.847253
39,100,217.643002
28,100,217.89145
30,100,218.664971
31,100,219.458553
31,100,220.237729
34,100,220.974205
23,100,221.226679
33,100,222.009012
23,100,222.852378
31,100,223.900273
27,100,224.755275
29,100,225.003262
33,100,225.794728
32,100,226.552208
28,100,227.289372
27,100,227.546607
33,100,228.358598
29,100,229.174644
31,100,229.916779
35,100,230.662727
29,100,230.920538
36,100,231.679874
37,100,232.547471
31,100,233.288865
33,100,233.538527
34,100,234.303491
30,100,235.055014
25,100,235.883435
32,100,236.934987
32,100,237.198271
28,100,237.997208
32,100,238.787499
39,100,239.597442
29,100,239.883797
29,100,240.823421
40,100,241.575376
33,100,242.312748
27,100,243.051302
35,100,243.293356
36,100,244.083984
40,100,244.835027
28,100,245.608254
34,100,246.349556
28,100,246.603208
34,100,247.384268
30,100,248.200858
31,100,249.134676
38,100,249.392299
31,100,250.144104
38,100,250.920112
32,100,251.689721
30,100,252.430128
24,100,252.689306
31,100,253.44519
38,100,254.202447
33,100,254.944395
28,100,255.19276
37,100,256.013125
28,100,256.765908
33,100,257.706804
40,100,258.443907
28,100,258.701938
32,100,259.463465
31,100,260.543121
33,100,261.278751
24,100,261.52528
36,100,262.283758
37,100,263.087497
25,100,263.862311
36,100,264.597897
32,100,264.85347
32,100,265.615947
35,100,266.558951
31,100,267.303
36,100,268.093019
38,100,268.354128
32,100,269.129013
35,100,269.872943
37,100,270.60774
34,100,270.949576
36,100,271.980523
33,100,272.734293
33,100,273.481466
39,100,274.368372
33,100,274.625236
36,100,275.427788
29,100,276.209657
33,100,276.948504
36,100,277.195187
25,100,277.955512
27,100,278.754154
28,100,279.692044
32,100,280.431792
32,100,280.689293
30,100,281.45367
29,100,282.249729
31,100,283.005554
30,100,283.253771
29,100,284.048352
29,100,284.801499
31,100,285.553012
33,100,286.516992
30,100,286.776762
30,100,287.598724
32,100,288.384064
27,100,289.13307
34,100,290.089861
38,100,290.356117
28,100,291.144028
32,100,291.896099
35,100,292.634752
33,100,292.890581
38,100,293.6531
39,100,294.401614
29,100,295.133225
38,100,295.878049
28,100,296.133406
26,100,296.891562
30,100,297.682616
23,100,298.63363
34,100,298.882408
32,100,299.869834
29,100,300.623832
31,100,301.377774
31,100,302.140118
29,100,302.401226
37,100,303.151563
30,100,303.904089
28,100,304.643317
39,100,304.892891
34,100,305.685941
31,100,306.485677
34,100,307.441882
32,100,308.178882
41,100,308.439359
32,100,309.199293
32,100,309.945202
44,100,310.694674
41,100,311.433369
37,100,311.688683
33,100,312.647686
32,100,313.42227
37,100,314.158931
40,100,314.415531
29,100,315.2023
28,100,316.030073
33,100,316.77617
33,100,317.517759
37,100,317.770339
33,100,318.561486
33,100,319.310335
30,100,320.094595
34,100,320.346648
24,100,321.102388
26,100,321.88074
41,100,322.703491
42,100,323.446257
21,100,323.701685
34,100,324.461226
34,100,325.212787
39,100,326.023627
32,100,326.269267
31,100,327.023226
35,100,327.798182
33,100,328.546814
35,100,329.291261
28,100,329.544621
39,100,330.334569
36,100,331.10758
31,100,331.85199
37,100,332.590231
35,100,332.842121
30,100,333.600095
39,100,334.44495
35,100,335.215387
36,100,335.460551
25,100,336.261494
42,100,337.006305
32,100,337.750494
29,100,338.488425
35,100,338.740703
33,100,339.524984
36,100,340.467814
32,100,341.261026
28,100,341.510716
30,100,342.264658
36,100,343.41981
43,100,344.16406
34,100,344.919104
38,100,345.171011
36,100,345.92536
40,100,346.675275
33,100,347.418382
38,100,347.668828
35,100,348.422699
33,100,349.210791
35,100,349.954146
38,100,350.95577
36,100,351.216388
30,100,351.980471
38,100,352.735953
36,100,353.478374
41,100,354.251937
34,100,354.503119
35,100,355.260481
30,100,356.004947
38,100,356.745558
37,100,356.99995
31,100,357.759042
29,100,358.703471
34,100,359.475847
34,100,360.214005
29,100,360.475619
32,100,361.234374
27,100,361.984166
37,100,362.769004
26,100,363.016766
20,100,363.97314
37,100,364.725024
38,100,365.719043
35,100,366.45963
37,100,366.718055
43,100,367.474644
31,100,368.259112
31,100,369.045255
31,100,369.339471
36,100,370.086542
30,100,370.843081
35,100,371.603096
29,100,372.338741
37,100,372.596982
36,100,373.397918
37,100,374.143081
36,100,374.937935
31,100,375.698863
37,100,375.956549
36,100,376.718589
34,100,377.492591
26,100,378.227436
37,100,378.479588
32,100,379.290939
37,100,380.071054
27,100,380.818395
32,100,381.556886
27,100,381.813617
44,100,382.573292
36,100,383.359755
34,100,384.098624
36,100,384.35077
28,100,385.114026
34,100,385.883117
30,100,386.630836
30,100,387.428715
31,100,387.764264
34,100,388.782271
33,100,389.562312
34,100,390.320706
36,100,390.570725
36,100,391.375803
42,100,392.146662
32,100,393.085495
29,100,393.822678
33,100,394.177974
31,100,394.965421
30,100,395.715311
35,100,396.649338
32,100,397.434002
29,100,397.686372
37,100,398.711068
28,100,399.519123
35,100,400.281727
25,100,400.531047
33,100,401.290635
30,100,402.095286
30,100,402.864636
32,100,403.826262
38,100,404.096496
34,100,404.849406
45,100,405.600589
31,100,406.337758
31,100,406.647424
30,100,407.630896
36,100,408.384391
33,100,409.129502
37,100,409.868956
34,100,410.115746
34,100,410.869195
39,100,411.615053
36,100,412.357209
35,100,412.604813
31,100,413.3586
36,100,414.115042
36,100,414.868072
34,100,415.827679
40,100,416.085666
38,100,416.842806
33,100,417.598527
35,100,418.59007
33,100,419.329159
33,100,419.588454
34,100,420.353511
26,100,421.148252
28,100,422.224259
37,100,422.531873
30,100,423.360221
38,100,424.44721
35,100,425.429887
41,100,426.416973
34,100,426.673321
35,100,427.486222
32,100,428.248869
38,100,428.98392
35,100,429.235685
29,100,429.986626
24,100,430.812131
38,100,431.588611
29,100,432.326654
35,100,432.582376
35,100,433.340668
36,100,434.091775
28,100,434.831487
32,100,435.081839
38,100,435.860268
27,100,436.866592
33,100,437.650427
32,100,438.389003
34,100,438.645256
35,100,439.426037
31,100,440.208989
32,100,440.951981
31,100,441.695221
29,100,441.949445
41,100,442.713474
40,100,443.487037
35,100,444.221424
40,100,444.475986
26,100,445.425302
38,100,446.17855
35,100,446.922405
30,100,447.899738
27,100,448.166573
36,100,448.921972
29,100,449.671595
36,100,450.411607
31,100,450.661968
34,100,451.414322
26,100,452.187131
38,100,452.959217
32,100,453.741282
39,100,453.999167
35,100,454.950168
44,100,455.696865
37,100,456.437804
32,100,456.688643
35,100,457.476976
36,100,458.25328
38,100,459.026643
31,100,459.787067
32,100,460.047154
31,100,460.803612
40,100,461.555265
37,100,462.319834
35,100,463.14592
27,100,463.404309
34,100,464.163182
33,100,464.921968
33,100,465.659105
28,100,465.904932
35,100,466.65556
38,100,467.413915
35,100,468.175369
27,100,468.927796
42,100,469.180305
36,100,469.981829
35,100,470.735023
30,100,471.787504
35,100,472.039415
35,100,472.789105
35,100,473.539404
29,100,474.282874
32,100,475.025449
46,100,475.284373
38,100,476.040329
36,100,476.800595
38,100,477.565467
29,100,477.81091
42,100,478.613488
39,100,479.59497
41,100,480.343811
39,100,481.081304
31,100,481.340467
33,100,482.146358
35,100,482.915294
30,100,483.649888
33,100,484.38893
31,100,484.653436
31,100,485.41181
34,100,486.212643
31,100,486.948623
31,100,487.334434
32,100,488.099296
34,100,488.853054
43,100,489.598773
45,100,490.340873
29,100,490.598974
25,100,491.380799
34,100,492.155681
33,100,492.900866
37,100,493.14701
37,100,493.926476
38,100,494.672892
31,100,495.61281
36,100,496.352802
37,100,496.615178
35,100,497.376589
21,100,498.182641
37,100,498.967354
35,100,499.211905
31,100,500.034528
37,100,500.793091
35,100,501.735116
37,100,502.496747
30,100,502.746988
33,100,503.544277
34,100,504.332726
33,100,505.13433
35,100,505.874205
35,100,506.122674
38,100,506.911262
43,100,507.654054
40,100,508.697701
36,100,508.959008
29,100,509.716284
32,100,510.506727
37,100,511.292177
34,100,512.072141
42,100,512.321804
36,100,513.110326
38,100,513.88841
47,100,514.690538
42,100,514.944319
28,100,515.705083
34,100,516.654546
31,100,517.407337
32,100,518.203464
34,100,518.459478
29,100,519.259291
30,100,520.03779
26,100,520.80896
33,100,521.069035
36,100,522.078178
34,100,523.34085
38,100,524.28667
33,100,525.264724
28,100,525.525973
48,100,526.290623
35,100,527.292491
32,100,528.038659
42,100,528.782759
34,100,529.039301
39,100,529.797798
38,100,530.938932
32,100,531.72963
41,100,531.982049
28,100,532.742439
30,100,533.498658
35,100,534.250725
32,100,535.103801
36,100,535.359699
35,100,536.121885
32,100,536.876911
31,100,537.652497
37,100,537.900126
33,100,538.68608
31,100,539.467197
28,100,540.249048
38,100,540.988793
36,100,541.241991
