#{"t_start": 1617305477.9052954, "env_id": null}
r,l,t
12,100,0.747145
8,100,1.667447
8,100,2.542344
9,100,3.426653
12,100,3.684763
6,100,4.613337
10,100,5.506655
15,100,6.461962
13,100,7.374168
8,100,7.636506
13,100,8.551768
11,100,9.536558
10,100,10.36424
19,100,10.590397
11,100,11.263626
8,100,11.974059
11,100,12.67609
15,100,13.506884
7,100,13.744648
12,100,14.632106
13,100,15.303593
13,100,15.965278
14,100,16.190758
17,100,17.130994
11,100,18.02436
12,100,18.921707
18,100,19.633786
14,100,19.854579
7,100,20.528383
10,100,21.202354
11,100,22.038367
11,100,22.343981
19,100,23.134677
13,100,23.810768
10,100,24.76053
11,100,25.620371
15,100,25.91732
12,100,26.683432
17,100,27.360998
18,100,28.087628
7,100,28.954644
14,100,29.18227
16,100,29.878135
10,100,30.577999
11,100,31.25452
21,100,31.482846
13,100,32.199985
12,100,33.148742
10,100,34.061827
24,100,34.759011
16,100,35.017122
12,100,35.705012
14,100,36.437257
11,100,37.132747
18,100,37.390238
21,100,38.176687
12,100,38.863326
15,100,39.539639
16,100,40.206254
9,100,40.42256
12,100,41.197688
16,100,41.889365
14,100,42.57103
11,100,42.780058
11,100,43.653003
17,100,44.318635
15,100,45.236463
21,100,45.917057
12,100,46.225238
15,100,47.020312
16,100,47.867982
13,100,48.939116
17,100,50.029284
21,100,50.338649
16,100,51.092206
16,100,51.78179
9,100,52.810639
12,100,53.052834
9,100,53.768311
20,100,54.445655
19,100,55.115984
14,100,55.782527
18,100,56.015769
18,100,56.698621
14,100,57.374042
15,100,58.169674
16,100,58.444474
12,100,59.124821
14,100,59.813952
13,100,60.543736
20,100,61.321187
12,100,61.63499
12,100,62.426328
15,100,63.342999
11,100,64.012894
13,100,64.233707
20,100,64.90655
19,100,65.657725
15,100,66.413301
16,100,67.200946
12,100,67.423745
22,100,68.124292
16,100,69.087743
18,100,69.778085
18,100,70.444809
20,100,70.778884
16,100,71.580267
23,100,72.283603
14,100,73.018857
18,100,73.231929
10,100,73.90347
19,100,74.57765
17,100,75.350388
11,100,76.116048
18,100,76.340386
18,100,77.068052
18,100,77.762228
12,100,78.583065
16,100,78.805144
15,100,79.521006
18,100,80.250494
14,100,80.956477
16,100,81.643886
22,100,81.91349
18,100,82.759368
24,100,83.736762
17,100,84.409415
16,100,84.621996
23,100,85.326966
19,100,85.990443
12,100,86.668103
21,100,87.476372
16,100,87.725006
13,100,88.627259
15,100,89.338717
13,100,90.043407
17,100,90.712762
18,100,90.942552
23,100,91.618461
17,100,92.518548
21,100,93.272047
18,100,93.514941
20,100,94.229251
19,100,95.03133
22,100,95.743423
18,100,96.447641
26,100,96.688901
20,100,97.448132
14,100,98.361482
18,100,99.049813
18,100,99.268588
20,100,99.935443
16,100,100.659856
20,100,101.631548
16,100,102.4654
25,100,102.690673
16,100,103.403435
24,100,104.078613
16,100,104.759529
20,100,104.972728
20,100,105.725648
24,100,106.437244
19,100,107.117394
15,100,107.791345
24,100,108.050803
18,100,109.050545
14,100,109.782238
25,100,110.468252
17,100,111.128732
16,100,111.359955
21,100,112.039787
24,100,112.773525
19,100,113.665503
20,100,113.909274
19,100,114.642553
33,100,115.479939
27,100,116.164691
22,100,117.198854
27,100,117.448818
20,100,118.303622
17,100,118.975251
21,100,119.665946
22,100,119.880693
19,100,120.597548
24,100,121.54564
21,100,122.50212
17,100,123.307634
17,100,123.558697
21,100,124.256354
25,100,124.928186
29,100,125.603591
21,100,125.942198
24,100,126.69665
18,100,127.381947
24,100,128.071432
25,100,128.734461
21,100,128.959835
21,100,129.62426
25,100,130.315301
22,100,130.989614
22,100,131.665015
14,100,131.880281
14,100,132.595073
25,100,133.315633
