#{"t_start": 1616350174.4242454, "env_id": null}
r,l,t
15,100,1.945289
10,100,3.480704
9,100,4.155076
10,100,4.813595
8,100,5.028607
11,100,5.685987
18,100,6.339905
12,100,7.25127
10,100,8.065055
11,100,8.299209
6,100,9.136143
13,100,9.970301
12,100,10.798339
9,100,11.022458
13,100,11.811022
13,100,12.558266
8,100,13.318351
8,100,14.052952
4,100,14.260623
9,100,14.916333
15,100,15.606305
15,100,16.321243
15,100,16.55444
10,100,17.276731
16,100,17.958763
10,100,18.624479
18,100,19.28326
12,100,19.493169
10,100,20.21236
10,100,20.884938
16,100,21.542648
17,100,21.795161
21,100,22.647891
18,100,23.537534
19,100,24.262724
9,100,24.996728
14,100,25.247041
17,100,25.948104
22,100,26.61442
17,100,27.296781
11,100,28.013118
12,100,28.251701
9,100,29.10358
12,100,29.931005
11,100,30.565575
15,100,30.76783
14,100,31.42015
13,100,32.28727
15,100,32.96708
13,100,33.63141
8,100,33.831696
18,100,34.501091
10,100,35.232084
23,100,35.894025
21,100,36.104005
16,100,36.754073
16,100,37.406595
13,100,38.063235
21,100,38.806097
16,100,39.037043
15,100,39.800566
20,100,40.541061
19,100,41.325294
18,100,41.548356
17,100,42.208271
16,100,42.869046
19,100,43.547011
15,100,44.267903
18,100,44.498961
13,100,45.198267
19,100,45.846216
17,100,46.498887
15,100,47.418903
17,100,47.650639
11,100,48.331192
19,100,49.015961
16,100,49.702977
22,100,49.920818
22,100,50.589312
16,100,51.233308
21,100,51.97621
11,100,52.635718
15,100,52.905537
22,100,53.575436
17,100,54.347302
20,100,55.028057
16,100,55.293999
19,100,55.967001
19,100,56.616587
22,100,57.258198
20,100,57.910373
17,100,58.14934
12,100,58.839246
14,100,59.572102
20,100,60.26422
13,100,60.484668
21,100,61.146685
20,100,61.845242
19,100,62.580747
17,100,63.236514
16,100,63.481953
17,100,64.206102
12,100,64.943635
14,100,65.591401
22,100,66.354778
18,100,66.641683
21,100,67.49816
20,100,68.32009
15,100,69.00492
16,100,69.206665
16,100,69.883554
17,100,70.542464
10,100,71.202328
19,100,71.85482
20,100,72.07962
20,100,72.745952
20,100,73.404715
19,100,74.053455
20,100,74.314692
24,100,75.023326
27,100,75.8473
25,100,76.513446
18,100,77.303839
24,100,77.623214
24,100,78.556322
21,100,79.235831
22,100,79.977207
17,100,80.228838
23,100,81.131751
17,100,81.986637
14,100,82.816212
16,100,83.655505
22,100,83.891574
19,100,84.734172
19,100,85.569148
20,100,86.391306
19,100,87.211288
17,100,87.436436
13,100,88.117846
20,100,88.801936
26,100,89.482946
21,100,89.785044
17,100,90.649512
10,100,91.497601
23,100,92.19197
17,100,92.930373
17,100,93.205883
22,100,93.904707
20,100,94.579949
27,100,95.237867
22,100,95.448285
25,100,96.169269
24,100,96.856629
28,100,97.727268
25,100,98.387394
27,100,98.592171
18,100,99.477761
34,100,100.163811
23,100,100.884095
28,100,101.130624
22,100,101.904899
19,100,102.748939
22,100,103.417969
20,100,104.060622
21,100,104.278031
19,100,104.949509
17,100,105.600328
20,100,106.475935
24,100,107.267119
28,100,107.487799
18,100,108.153768
27,100,108.860805
22,100,109.685471
20,100,109.917994
15,100,110.767233
27,100,111.648782
25,100,112.336354
22,100,112.990094
17,100,113.25844
18,100,113.934177
25,100,114.626344
20,100,115.294143
19,100,115.505617
19,100,116.166091
22,100,116.811502
19,100,117.463227
21,100,118.138449
18,100,118.374706
26,100,119.078702
18,100,119.733362
30,100,120.385603
22,100,120.660995
27,100,121.467194
18,100,122.110027
20,100,122.762106
28,100,123.401458
19,100,123.611596
22,100,124.294104
24,100,125.096732
25,100,125.779204
21,100,126.469612
21,100,126.710924
21,100,127.458582
21,100,128.262556
18,100,128.993711
27,100,129.236135
26,100,129.89187
34,100,130.545477
32,100,131.202156
19,100,131.873667
31,100,132.116056
24,100,132.850109
29,100,133.555282
27,100,134.26372
25,100,134.525075
27,100,135.396418
24,100,136.206475
27,100,136.891237
27,100,137.628955
23,100,137.849333
24,100,138.51204
27,100,139.242608
25,100,139.899615
27,100,140.152115
27,100,140.998897
23,100,141.779519
37,100,142.459208
26,100,143.306421
21,100,143.54071
28,100,144.41207
32,100,145.081165
29,100,145.747416
22,100,146.40509
32,100,146.678735
