#{"t_start": 1617386190.4968057, "env_id": null}
r,l,t
7,100,0.672152
12,100,1.187268
11,100,1.703384
5,100,2.209499
7,100,2.330526
15,100,2.848644
5,100,3.360759
7,100,3.864872
7,100,4.361984
10,100,4.47301
18,100,4.977123
9,100,5.487238
16,100,5.990352
12,100,6.110379
14,100,6.661503
13,100,7.182621
13,100,7.707739
8,100,8.229857
11,100,8.346884
16,100,8.86701
10,100,9.40213
15,100,9.97061
8,100,10.095638
9,100,10.606753
14,100,11.113868
16,100,11.625983
15,100,12.128097
16,100,12.241122
18,100,12.748236
11,100,13.24935
12,100,13.757465
9,100,13.87349
14,100,14.377604
12,100,14.874716
17,100,15.374829
12,100,15.872941
14,100,15.984967
10,100,16.48608
15,100,16.985192
16,100,17.485306
14,100,17.982417
15,100,18.095442
20,100,18.597556
17,100,19.131677
12,100,19.630789
10,100,19.744815
16,100,20.247929
18,100,20.744041
17,100,21.244154
16,100,21.741266
11,100,21.852291
12,100,22.358405
19,100,22.885524
17,100,23.387637
11,100,23.509665
19,100,24.031782
15,100,24.544899
15,100,25.053013
16,100,25.555126
18,100,25.668152
12,100,26.218276
18,100,26.72339
15,100,27.229505
19,100,27.347531
12,100,27.850644
14,100,28.359759
15,100,31.028836
23,100,31.539951
15,100,31.665979
10,100,32.179095
9,100,32.677207
9,100,33.187323
16,100,33.703439
16,100,33.830468
24,100,34.366604
19,100,34.891723
12,100,35.396837
15,100,35.506861
16,100,36.010974
12,100,36.509088
16,100,37.010201
18,100,37.506312
14,100,37.617337
18,100,38.120451
17,100,38.652571
13,100,39.176689
27,100,39.297717
18,100,39.839839
15,100,40.422162
16,100,41.009515
21,100,41.593715
19,100,41.721496
16,100,42.31599
21,100,42.912058
19,100,43.495008
13,100,43.632727
18,100,44.215303
16,100,44.798939
21,100,45.376818
19,100,45.959871
20,100,46.089457
13,100,46.667838
19,100,47.241939
24,100,47.825091
13,100,48.398916
14,100,48.524891
14,100,49.081723
19,100,49.633696
19,100,50.192715
22,100,50.321409
15,100,50.912888
23,100,51.511051
11,100,52.065318
18,100,52.611997
21,100,52.734057
18,100,53.25794
18,100,53.779927
23,100,54.31693
30,100,54.454464
14,100,54.998046
20,100,55.531967
14,100,56.052814
18,100,56.570792
20,100,56.685959
20,100,57.200758
17,100,57.705316
23,100,58.21344
17,100,58.32881
17,100,58.840257
22,100,59.358399
21,100,59.867223
22,100,60.38132
19,100,60.502407
23,100,61.021569
14,100,61.536031
18,100,62.04953
14,100,62.550152
20,100,62.667179
18,100,63.168292
22,100,63.673406
18,100,64.185521
13,100,64.300547
17,100,64.810662
24,100,65.316777
16,100,65.816889
22,100,66.319003
14,100,66.431028
19,100,66.935142
22,100,67.436255
15,100,67.947371
22,100,68.060396
18,100,68.56651
28,100,69.073624
21,100,69.590741
13,100,70.090854
27,100,70.213882
20,100,70.749003
19,100,71.278121
26,100,71.787237
26,100,71.904263
22,100,72.409377
17,100,72.915492
23,100,73.419606
17,100,73.930721
13,100,74.046747
25,100,74.547859
23,100,75.049973
26,100,75.548086
27,100,76.051199
17,100,76.168226
16,100,76.682341
26,100,77.197458
23,100,77.700571
23,100,77.816598
26,100,78.323711
20,100,78.831827
28,100,79.340941
28,100,79.845054
23,100,79.95608
25,100,80.458193
30,100,80.971309
18,100,81.469421
17,100,81.579446
26,100,82.08456
25,100,82.593675
18,100,83.10079
25,100,83.601902
17,100,83.714928
23,100,84.219042
19,100,84.721155
28,100,85.224269
24,100,85.336294
21,100,85.837407
29,100,86.333519
28,100,86.857638
16,100,87.363752
18,100,87.475777
23,100,88.013898
18,100,88.533016
22,100,89.044131
21,100,89.550245
24,100,89.665272
27,100,90.175386
23,100,90.678499
26,100,91.185614
21,100,91.298639
28,100,91.808754
27,100,92.316869
29,100,92.818982
25,100,93.327097
18,100,93.442123
28,100,93.950238
27,100,94.455352
28,100,94.955465
26,100,95.06749
21,100,95.574604
24,100,96.076718
33,100,96.584832
28,100,97.093947
27,100,97.206972
31,100,97.710086
24,100,98.209198
24,100,98.706311
28,100,98.817336
21,100,99.32145
24,100,99.822562
30,100,100.333678
29,100,100.839792
28,100,100.951818
30,100,101.457932
32,100,101.971047
37,100,102.488165
18,100,103.018284
32,100,103.138311
28,100,103.648426
31,100,104.157541
27,100,104.665656
26,100,104.778682
30,100,105.282795
22,100,105.78991
27,100,106.293023
21,100,106.790135
31,100,106.905161
24,100,107.415277
26,100,107.915389
30,100,108.434506
30,100,108.565536
29,100,109.07465
27,100,109.578764
28,100,110.081878
23,100,110.57899
32,100,110.689015
27,100,111.189128
32,100,111.68824
28,100,112.184352
25,100,112.294377
25,100,112.815247
17,100,113.355368
25,100,113.899491
23,100,114.411606
39,100,114.523632
21,100,115.026745
25,100,115.550863
30,100,116.053977
30,100,116.55509
29,100,116.675117
27,100,117.182231
29,100,117.684345
37,100,118.197463
25,100,118.319488
33,100,118.864612
31,100,119.368725
21,100,119.864836
32,100,120.371951
32,100,120.487977
22,100,120.996092
25,100,121.531213
26,100,122.057331
30,100,122.168356
27,100,122.669469
31,100,123.189587
35,100,123.6897
31,100,124.194813
31,100,124.317842
35,100,124.833959
37,100,125.343073
21,100,125.86219
27,100,125.976216
30,100,126.477329
35,100,126.973441
27,100,127.469552
27,100,127.967665
25,100,128.078691
30,100,128.584804
31,100,129.118925
39,100,129.634041
31,100,130.146157
30,100,130.258182
31,100,130.764296
27,100,131.297417
31,100,131.809532
29,100,131.921557
32,100,132.42167
29,100,132.940788
25,100,133.4409
34,100,133.940012
31,100,134.054038
29,100,134.586159
29,100,135.141284
42,100,135.674406
21,100,135.795431
21,100,136.325552
32,100,136.864673
37,100,137.364786
37,100,137.887903
34,100,138.002929
34,100,138.502042
35,100,139.001155
32,100,139.506269
35,100,139.617294
34,100,140.118407
35,100,140.625521
37,100,141.122633
33,100,141.618746
31,100,141.731771
26,100,142.233884
34,100,142.733997
30,100,143.251113
37,100,143.747226
33,100,143.857251
24,100,144.357363
37,100,144.871479
35,100,145.391597
24,100,145.504622
32,100,146.007735
38,100,146.523853
31,100,147.021965
35,100,147.526078
34,100,147.638104
35,100,148.137216
24,100,148.637329
30,100,149.133441
34,100,149.244466
36,100,149.746579
33,100,150.245692
33,100,150.769811
31,100,151.288928
22,100,151.399952
33,100,151.905066
37,100,152.421183
30,100,152.935299
27,100,153.046324
31,100,153.546437
33,100,154.04955
34,100,154.545662
34,100,155.045775
26,100,155.1578
36,100,155.660914
35,100,156.155025
28,100,156.665142
32,100,157.173255
37,100,157.291282
30,100,157.803397
29,100,158.308512
32,100,158.812625
36,100,158.930652
33,100,159.428764
33,100,159.932878
34,100,160.447994
34,100,160.945107
30,100,161.056131
29,100,161.564246
34,100,162.076362
32,100,162.576474
31,100,162.6875
39,100,163.189613
33,100,163.686725
41,100,164.184837
33,100,164.689951
39,100,164.800976
30,100,165.30609
45,100,165.803203
32,100,166.30832
38,100,166.446348
38,100,166.992471
31,100,167.511589
30,100,168.034706
34,100,168.551824
29,100,168.664848
33,100,169.178964
37,100,169.681078
30,100,170.206197
37,100,170.729314
32,100,170.84334
37,100,171.356456
25,100,171.878573
35,100,172.408693
29,100,172.523719
29,100,173.038835
27,100,173.549951
31,100,174.069068
34,100,174.611193
25,100,174.724218
43,100,175.238335
28,100,175.743448
31,100,176.249563
25,100,176.366589
35,100,176.878705
44,100,177.38982
29,100,177.901935
39,100,178.40605
35,100,178.528076
29,100,179.045193
36,100,179.555309
34,100,180.058422
22,100,180.174448
32,100,180.685564
33,100,181.185677
35,100,181.706795
38,100,182.204906
30,100,182.326934
33,100,182.858054
34,100,183.367168
31,100,183.873283
27,100,184.376397
25,100,184.488422
30,100,184.997537
37,100,185.506652
36,100,186.019768
32,100,186.135794
26,100,186.644908
33,100,187.154024
33,100,187.656137
34,100,188.162251
37,100,188.278277
29,100,188.788392
36,100,189.303508
28,100,189.822626
38,100,189.941652
34,100,190.46277
37,100,190.972885
35,100,191.471998
34,100,191.985113
28,100,192.099139
37,100,192.606254
33,100,193.115368
27,100,193.620482
37,100,193.733508
33,100,194.23162
32,100,194.731734
27,100,195.230846
27,100,195.728958
38,100,195.839983
24,100,196.348098
36,100,196.852211
34,100,197.361327
31,100,197.86344
39,100,197.983467
34,100,198.501584
30,100,199.028703
37,100,199.534817
34,100,199.649843
36,100,200.169961
31,100,200.675074
25,100,201.185189
31,100,201.688303
27,100,201.802329
33,100,202.310444
31,100,202.820558
28,100,203.320671
32,100,203.430696
27,100,203.931809
30,100,204.438924
37,100,204.95404
35,100,205.466156
38,100,205.578181
29,100,206.086295
43,100,206.587408
38,100,207.091522
43,100,207.203548
34,100,207.70366
33,100,208.203773
32,100,208.705886
41,100,209.212
31,100,209.327027
30,100,209.848145
29,100,210.35926
34,100,210.862373
33,100,211.358485
33,100,211.47251
34,100,211.978626
30,100,212.480738
36,100,212.981851
37,100,213.094877
40,100,213.59899
29,100,214.097103
30,100,214.61222
28,100,215.133337
35,100,215.247363
32,100,215.753477
38,100,216.25859
32,100,216.774707
36,100,216.894734
26,100,217.410851
32,100,217.921966
37,100,218.430081
36,100,218.931194
37,100,219.056222
31,100,219.565337
37,100,220.079453
40,100,220.587567
37,100,220.700593
39,100,221.200706
36,100,221.700819
41,100,222.200932
26,100,222.697043
34,100,222.819072
35,100,223.322185
41,100,223.819297
34,100,224.327411
33,100,224.829525
34,100,224.955553
32,100,225.474528
39,100,225.998543
36,100,226.52066
30,100,226.636686
37,100,227.151802
25,100,227.666919
45,100,228.179034
30,100,228.679147
36,100,228.792172
40,100,229.302287
28,100,229.810402
31,100,230.313515
42,100,230.456549
40,100,231.030679
35,100,231.550795
32,100,232.079914
35,100,232.593029
32,100,232.705055
37,100,233.217171
34,100,233.724286
35,100,234.239401
40,100,234.350427
38,100,234.882546
33,100,235.393662
35,100,235.893775
31,100,236.394888
37,100,236.506913
31,100,237.007026
35,100,237.504139
39,100,238.002251
32,100,238.497363
33,100,238.610389
32,100,239.110501
33,100,239.608614
34,100,240.106726
39,100,240.217751
34,100,240.719864
38,100,241.217977
38,100,241.714089
40,100,242.211201
33,100,242.322226
29,100,242.849345
35,100,243.36046
40,100,243.862573
37,100,243.976599
41,100,244.491715
32,100,244.997829
37,100,245.521947
36,100,246.041064
29,100,246.156091
33,100,246.704215
30,100,247.232334
42,100,247.740448
37,100,247.853474
44,100,248.374591
40,100,248.915714
25,100,249.427829
33,100,249.954948
29,100,250.071975
35,100,250.579089
37,100,251.089205
32,100,251.587316
30,100,252.093431
30,100,252.207457
37,100,252.71157
33,100,253.223686
41,100,253.740803
37,100,253.858829
36,100,254.363943
34,100,254.862055
40,100,255.362168
43,100,255.865282
30,100,255.982308
32,100,256.488422
30,100,256.985535
31,100,257.482647
35,100,257.594672
37,100,258.097785
35,100,258.596898
38,100,259.104012
31,100,259.615128
40,100,259.733155
32,100,260.252272
31,100,260.753385
34,100,261.251497
43,100,261.364523
34,100,261.862635
31,100,262.36775
33,100,262.90487
31,100,263.415986
32,100,263.548015
39,100,264.084136
