#{"t_start": 1617386190.5808246, "env_id": null}
r,l,t
8,100,0.588133
12,100,1.103249
11,100,1.619365
11,100,2.12548
11,100,2.246507
5,100,2.764625
9,100,3.27674
10,100,3.780854
10,100,4.277965
7,100,4.388991
8,100,4.893104
11,100,5.403219
13,100,5.906333
9,100,6.02636
16,100,6.577484
6,100,7.098602
18,100,7.62372
9,100,8.145838
17,100,8.262865
13,100,8.782991
13,100,9.318111
15,100,9.886591
5,100,10.011619
15,100,10.522734
11,100,11.029849
12,100,11.541965
9,100,12.044078
12,100,12.157103
12,100,12.664217
14,100,13.165331
15,100,13.673446
15,100,13.789471
10,100,14.293585
17,100,14.790697
12,100,15.29081
15,100,15.788923
16,100,15.900948
13,100,16.402061
13,100,16.901173
11,100,17.401287
12,100,17.898398
16,100,18.011423
15,100,18.513537
11,100,19.047658
16,100,19.54677
17,100,19.660796
16,100,20.16391
14,100,20.660022
14,100,21.160135
19,100,21.657247
10,100,21.768272
20,100,22.274386
16,100,22.801505
12,100,23.303618
16,100,23.425646
17,100,23.947763
13,100,24.46088
11,100,24.968994
19,100,25.471107
7,100,25.584133
19,100,26.134257
17,100,26.639371
19,100,27.145486
10,100,27.263512
16,100,27.766625
8,100,28.27574
11,100,30.944817
15,100,31.455932
15,100,31.58196
20,100,32.095076
19,100,32.593189
16,100,33.103304
16,100,33.61942
16,100,33.746449
16,100,34.282585
18,100,34.807704
17,100,35.312818
17,100,35.422843
14,100,35.926955
18,100,36.425069
15,100,36.926182
16,100,37.422293
21,100,37.533319
19,100,38.036432
21,100,38.568552
19,100,39.09267
17,100,39.213698
17,100,39.755821
13,100,40.338143
23,100,40.925496
9,100,41.509696
25,100,41.637477
23,100,42.231971
24,100,42.828039
19,100,43.410989
21,100,43.548708
16,100,44.131284
12,100,44.71492
18,100,45.292799
17,100,45.875852
15,100,46.005438
18,100,46.583819
26,100,47.15792
10,100,47.741072
22,100,48.314897
22,100,48.440872
16,100,48.997704
16,100,49.549677
22,100,50.108696
18,100,50.23739
16,100,50.828869
26,100,51.427032
14,100,51.982299
19,100,52.527978
29,100,52.650038
16,100,53.173921
20,100,53.695908
13,100,54.232911
21,100,54.370445
19,100,54.914027
24,100,55.447948
21,100,55.968795
19,100,56.486773
21,100,56.60194
24,100,57.11674
19,100,57.621297
19,100,58.129421
11,100,58.244791
21,100,58.756238
18,100,59.27438
23,100,59.783204
22,100,60.297301
20,100,60.418388
21,100,60.937551
16,100,61.452012
20,100,61.965511
20,100,62.467133
22,100,62.58316
12,100,63.084273
17,100,63.589387
16,100,64.101502
17,100,64.217528
22,100,64.726643
30,100,65.232758
18,100,65.73287
16,100,66.234984
22,100,66.347009
25,100,66.851123
16,100,67.352236
19,100,67.863352
19,100,67.976377
29,100,68.482491
23,100,68.989605
31,100,69.506722
24,100,70.006835
23,100,70.129863
25,100,70.664984
25,100,71.194103
20,100,71.703218
25,100,71.820245
20,100,72.325358
27,100,72.831473
28,100,73.335587
21,100,73.846702
23,100,73.962728
17,100,74.46384
22,100,74.965954
27,100,75.464067
24,100,75.96718
24,100,76.084207
23,100,76.598322
22,100,77.113439
22,100,77.616552
20,100,77.732579
25,100,78.239692
18,100,78.747808
22,100,79.256922
23,100,79.761035
24,100,79.872061
24,100,80.374174
20,100,80.88729
26,100,81.385402
18,100,81.495427
23,100,82.000541
22,100,82.509656
24,100,83.016771
17,100,83.517883
22,100,83.630909
29,100,84.135023
22,100,84.637136
20,100,85.14025
16,100,85.252275
24,100,85.753388
20,100,86.2495
20,100,86.773619
25,100,87.279733
22,100,87.391758
30,100,87.929879
23,100,88.448997
23,100,88.960112
