#{"t_start": 1616350075.4474423, "env_id": null}
r,l,t
10,100,0.883135
11,100,1.173254
15,100,1.444244
13,100,1.720803
15,100,1.986328
13,100,2.393727
10,100,2.796784
9,100,3.105203
17,100,3.435701
8,100,3.714067
17,100,3.999953
18,100,4.275414
8,100,4.573692
18,100,4.793956
3,100,5.097994
16,100,5.39127
9,100,5.694937
21,100,5.988753
15,100,6.259626
7,100,6.573669
11,100,6.957425
13,100,7.296947
8,100,7.514267
7,100,7.889042
12,100,8.233947
13,100,8.544368
11,100,8.837016
6,100,9.058586
9,100,9.347721
8,100,9.615515
14,100,9.882842
7,100,10.085381
9,100,10.346955
15,100,10.61015
17,100,10.87319
20,100,11.136859
12,100,11.332187
21,100,11.601602
16,100,11.912845
10,100,12.188114
15,100,12.454891
10,100,12.665205
12,100,12.962186
11,100,13.226203
9,100,13.491184
19,100,13.690008
23,100,13.957991
11,100,14.219156
13,100,14.510932
17,100,14.793313
17,100,14.996094
12,100,15.265331
9,100,15.534008
17,100,15.796769
18,100,15.990048
18,100,16.252713
17,100,16.514516
18,100,16.775765
17,100,17.043345
11,100,17.250387
15,100,17.587983
13,100,17.887356
14,100,18.235016
14,100,18.480846
20,100,18.820004
21,100,19.152445
14,100,19.431889
18,100,19.715429
13,100,19.929496
15,100,20.204551
8,100,20.478144
24,100,20.752748
20,100,21.031096
18,100,21.243268
22,100,21.577317
21,100,21.869961
16,100,22.207638
16,100,22.401549
12,100,22.659301
13,100,22.918266
11,100,23.172248
11,100,23.424473
21,100,23.614906
23,100,23.868212
20,100,24.119847
16,100,24.381403
19,100,24.575125
19,100,24.900668
21,100,25.212764
21,100,25.478457
12,100,25.787338
15,100,25.995809
20,100,26.266072
15,100,26.53555
14,100,26.812693
23,100,27.027486
25,100,27.340715
14,100,27.691386
18,100,27.958765
20,100,28.256265
17,100,28.451112
17,100,28.750867
19,100,29.067565
16,100,29.408681
14,100,29.732021
20,100,29.965465
19,100,30.307042
17,100,30.56122
19,100,30.815613
23,100,31.021625
13,100,31.319715
16,100,31.602024
19,100,31.92045
21,100,32.278954
12,100,32.544813
27,100,32.939734
22,100,33.261627
19,100,33.535124
20,100,33.7369
15,100,34.052164
19,100,34.381859
23,100,34.66767
15,100,34.943797
16,100,35.153592
19,100,35.418099
22,100,35.675745
20,100,35.964354
14,100,36.147754
17,100,36.460702
21,100,36.786549
16,100,37.051091
22,100,37.385809
22,100,37.62743
18,100,37.905142
25,100,38.182679
20,100,38.451463
18,100,38.724537
22,100,38.932351
14,100,39.24235
20,100,39.525136
21,100,39.793367
21,100,40.054203
14,100,40.312739
20,100,40.626885
21,100,40.990716
21,100,41.256895
18,100,41.458174
19,100,41.753978
19,100,42.114405
19,100,42.3833
25,100,42.574445
21,100,42.87502
14,100,43.139191
17,100,43.456851
16,100,43.724623
16,100,43.914245
19,100,44.167071
21,100,44.419232
20,100,44.674074
16,100,44.869854
24,100,45.129788
18,100,45.389402
13,100,45.647683
24,100,45.978137
20,100,46.17661
29,100,46.438697
19,100,46.748201
17,100,47.079456
16,100,47.335863
21,100,47.582555
17,100,47.993434
19,100,48.282438
24,100,48.546648
20,100,48.783092
18,100,49.05647
23,100,49.38033
27,100,49.670412
19,100,49.933612
18,100,50.13189
17,100,50.397665
23,100,50.71722
23,100,51.052733
27,100,51.254213
15,100,51.528269
16,100,51.814155
13,100,52.079036
20,100,52.343043
18,100,52.556064
24,100,52.831199
27,100,53.202319
19,100,53.556884
23,100,53.774179
8,100,54.130881
17,100,54.399091
21,100,54.69586
25,100,54.953523
20,100,55.170922
16,100,55.467919
23,100,55.722475
19,100,55.970706
25,100,56.214765
22,100,56.401446
10,100,56.659074
25,100,56.930948
22,100,57.19445
18,100,57.394509
16,100,57.659
20,100,58.035045
25,100,58.37206
29,100,58.711104
30,100,58.953456
19,100,59.223171
24,100,59.509669
27,100,59.775175
27,100,59.969971
27,100,60.22719
22,100,60.50397
12,100,60.763599
22,100,61.024469
24,100,61.227677
28,100,61.491378
25,100,61.788883
21,100,62.088456
19,100,62.338133
19,100,62.61622
24,100,62.883789
22,100,63.160948
24,100,63.420477
23,100,63.632318
22,100,63.921582
26,100,64.194339
22,100,64.564123
23,100,64.810945
15,100,64.991235
26,100,65.238038
22,100,65.486268
30,100,65.739198
18,100,65.970084
24,100,66.238222
19,100,66.506317
24,100,66.770084
22,100,67.06541
24,100,67.264956
25,100,67.533249
28,100,67.791255
21,100,68.042543
