#{"t_start": 1617366438.361802, "env_id": null}
r,l,t
9,100,0.633143
13,100,0.804181
7,100,0.969219
7,100,1.134256
10,100,1.235278
20,100,1.401316
9,100,1.567353
9,100,1.731391
5,100,1.899429
11,100,2.009453
19,100,2.17449
11,100,2.339528
13,100,2.501565
15,100,2.602587
5,100,2.766624
10,100,2.933662
10,100,3.1007
9,100,3.262736
8,100,3.365759
18,100,3.531797
11,100,3.697834
14,100,3.862873
10,100,3.963896
10,100,4.128932
11,100,4.29297
10,100,4.455006
6,100,4.618043
12,100,4.719066
9,100,4.880102
9,100,5.043139
18,100,5.208177
7,100,5.309199
16,100,5.471236
10,100,5.632272
8,100,5.795309
7,100,5.958345
16,100,6.059369
21,100,6.221405
14,100,6.385442
8,100,6.550479
7,100,6.714516
13,100,6.815539
19,100,6.977576
9,100,7.140613
15,100,7.30665
15,100,7.411674
14,100,7.577712
19,100,7.741748
16,100,7.903785
7,100,8.066822
19,100,8.167844
16,100,8.337883
6,100,8.500919
15,100,8.661954
9,100,8.769979
14,100,8.936016
15,100,9.098053
15,100,9.26309
10,100,9.427127
17,100,9.52815
22,100,9.696188
8,100,9.865226
22,100,10.034264
12,100,10.136287
13,100,10.306325
15,100,10.478364
13,100,10.641401
14,100,10.803437
15,100,10.911462
15,100,11.090503
16,100,11.275462
21,100,11.4425
19,100,11.609539
14,100,11.71056
17,100,11.873597
24,100,12.040635
19,100,12.207672
17,100,12.311696
17,100,12.478734
15,100,12.643771
14,100,12.813809
18,100,12.981847
16,100,13.08387
22,100,13.272914
14,100,13.453954
13,100,13.627994
15,100,13.729017
20,100,13.897055
18,100,14.060092
17,100,14.222128
20,100,14.391167
19,100,14.499191
12,100,14.713239
17,100,14.887277
19,100,15.070319
18,100,15.175344
18,100,15.342381
15,100,15.506418
15,100,15.674456
21,100,15.841494
19,100,15.946517
21,100,16.109554
16,100,16.274592
23,100,16.439629
17,100,16.603666
12,100,16.705689
13,100,16.870291
21,100,17.035328
18,100,17.199365
23,100,17.300388
13,100,17.463425
17,100,17.626462
18,100,17.789498
20,100,17.952535
23,100,18.054558
15,100,18.218595
18,100,18.384632
20,100,18.546668
23,100,18.647691
18,100,18.809727
18,100,18.973764
20,100,19.137801
21,100,19.301838
18,100,19.402861
12,100,19.566898
17,100,19.731935
19,100,19.899974
17,100,20.003997
15,100,20.167033
24,100,20.334072
20,100,20.499109
19,100,20.661145
26,100,20.762168
19,100,20.927205
15,100,21.091242
21,100,21.254279
19,100,21.419316
21,100,21.520339
24,100,21.684376
22,100,21.848413
17,100,22.01345
15,100,22.115473
25,100,22.281511
18,100,22.443547
14,100,22.615587
12,100,22.787629
19,100,22.889652
14,100,23.052689
19,100,23.215726
15,100,23.379764
22,100,23.479787
17,100,23.642823
21,100,23.80486
20,100,23.966897
11,100,24.128932
26,100,24.229956
19,100,24.391993
19,100,24.55403
23,100,24.715066
19,100,24.816088
21,100,24.978125
16,100,25.139162
19,100,25.303198
15,100,25.465235
20,100,25.566258
24,100,25.729294
24,100,25.891331
23,100,26.055367
27,100,26.217404
16,100,26.319427
14,100,26.480464
17,100,26.6425
21,100,26.805537
23,100,26.90556
23,100,27.066596
28,100,27.227633
19,100,27.388669
23,100,27.549705
25,100,27.650728
24,100,27.812765
17,100,27.973801
15,100,28.137837
11,100,28.238859
28,100,28.402896
19,100,28.571934
18,100,28.739973
25,100,28.907011
21,100,29.007033
25,100,29.17307
24,100,29.346109
13,100,29.514147
23,100,29.621171
19,100,29.79121
15,100,29.962248
24,100,30.131287
17,100,30.298324
21,100,30.399347
28,100,30.579389
18,100,30.754427
16,100,30.932468
21,100,31.104506
20,100,31.206529
27,100,31.369566
25,100,31.533603
29,100,31.701642
22,100,31.808665
