#{"t_start": 1616350174.4253578, "env_id": null}
r,l,t
11,100,1.943845
10,100,3.479569
8,100,4.153797
5,100,4.812275
7,100,5.027292
7,100,5.684769
13,100,6.338877
7,100,7.249914
13,100,8.063398
15,100,8.298011
17,100,9.134898
14,100,9.96904
11,100,10.796881
6,100,11.021295
9,100,11.809796
6,100,12.557031
8,100,13.317053
14,100,14.051827
10,100,14.259429
10,100,14.915172
14,100,15.604999
10,100,16.319766
14,100,16.55314
10,100,17.275534
13,100,17.957541
17,100,18.623226
7,100,19.282138
9,100,19.491956
12,100,20.211331
11,100,20.883602
9,100,21.541683
11,100,21.793936
12,100,22.646829
12,100,23.536361
12,100,24.26183
10,100,24.995768
9,100,25.245847
12,100,25.946884
19,100,26.613115
20,100,27.295722
10,100,28.012005
15,100,28.250632
13,100,29.102537
20,100,29.929852
13,100,30.564069
6,100,30.76662
14,100,31.418967
15,100,32.286141
15,100,32.965966
12,100,33.630148
14,100,33.830477
14,100,34.500203
13,100,35.230932
8,100,35.892837
15,100,36.102806
13,100,36.752885
11,100,37.405391
12,100,38.062125
15,100,38.80487
15,100,39.035784
16,100,39.799397
12,100,40.539807
20,100,41.32386
11,100,41.5473
19,100,42.2071
23,100,42.867868
15,100,43.545685
22,100,44.266961
14,100,44.497752
23,100,45.196839
13,100,45.844888
10,100,46.497876
18,100,47.417792
18,100,47.649434
18,100,48.32999
14,100,49.014629
18,100,49.70207
19,100,49.919545
14,100,50.587926
20,100,51.232036
16,100,51.975052
10,100,52.634034
14,100,52.904349
26,100,53.574236
26,100,54.346022
14,100,55.02741
14,100,55.292795
18,100,55.965652
15,100,56.615173
17,100,57.256669
16,100,57.908919
16,100,58.148102
20,100,58.837919
16,100,59.570938
21,100,60.263119
17,100,60.483529
18,100,61.14553
12,100,61.843886
12,100,62.579497
18,100,63.235418
21,100,63.480669
19,100,64.204924
12,100,64.942484
24,100,65.590398
17,100,66.353711
12,100,66.640455
22,100,67.496937
16,100,68.318842
20,100,69.00372
20,100,69.205472
12,100,69.882418
18,100,70.541466
17,100,71.201099
22,100,71.853802
28,100,72.078405
16,100,72.744656
21,100,73.403406
16,100,74.051947
17,100,74.313407
19,100,75.022147
23,100,75.846141
20,100,76.512285
17,100,77.302481
18,100,77.622034
19,100,78.555098
20,100,79.234565
21,100,79.976045
21,100,80.227579
20,100,81.130534
16,100,81.98539
15,100,82.814832
17,100,83.654554
18,100,83.890235
22,100,84.733014
19,100,85.568033
19,100,86.390286
21,100,87.21028
22,100,87.43521
27,100,88.116626
20,100,88.80072
14,100,89.481713
29,100,89.783881
14,100,90.648337
21,100,91.496354
21,100,92.190507
17,100,92.929598
23,100,93.204577
16,100,93.903522
10,100,94.578534
27,100,95.236573
19,100,95.447124
24,100,96.168059
22,100,96.855186
17,100,97.726525
28,100,98.386294
16,100,98.590978
24,100,99.476558
16,100,100.162784
20,100,100.882576
24,100,101.12941
20,100,101.903697
34,100,102.747774
23,100,103.416749
20,100,104.059359
22,100,104.27677
