#{"t_start": 1617369076.2544994, "env_id": null}
r,l,t
8,100,0.080994
5,100,0.252991
12,100,0.415879
14,100,0.578974
7,100,0.652433
7,100,0.822089
11,100,0.98948
11,100,1.160159
14,100,1.322963
6,100,1.39498
9,100,1.559022
12,100,1.721753
10,100,1.884908
8,100,1.956905
14,100,2.120321
11,100,2.283897
15,100,2.446888
9,100,2.610705
4,100,2.683286
8,100,2.847289
14,100,3.010279
8,100,3.172409
16,100,3.243855
12,100,3.407832
8,100,3.572296
16,100,3.733558
9,100,3.896277
6,100,3.968295
14,100,4.133604
12,100,4.299306
13,100,4.46321
16,100,4.53538
16,100,4.702778
7,100,4.866774
5,100,5.030815
8,100,5.193758
13,100,5.265604
10,100,5.438179
12,100,5.601163
6,100,5.764149
6,100,5.937222
11,100,6.009153
15,100,6.175046
5,100,6.338262
10,100,6.502883
13,100,6.575103
10,100,6.737125
6,100,6.903095
8,100,7.068682
9,100,7.235666
15,100,7.30809
8,100,7.475771
10,100,7.643055
10,100,7.809048
12,100,7.882058
10,100,8.048055
6,100,8.216086
8,100,8.381612
8,100,8.550015
6,100,8.624045
7,100,8.791999
10,100,8.95799
8,100,9.122984
16,100,9.193996
6,100,9.356155
8,100,9.519879
10,100,9.682553
15,100,9.87492
14,100,9.951951
10,100,10.142545
12,100,10.338624
14,100,10.50492
10,100,10.671263
7,100,10.746333
13,100,10.91349
5,100,11.075472
19,100,11.237887
12,100,11.309702
13,100,11.472039
7,100,11.635112
6,100,11.796873
15,100,11.958051
21,100,12.029345
15,100,12.193067
11,100,12.3561
9,100,12.52046
9,100,12.593404
10,100,12.757319
11,100,12.919475
7,100,13.0848
18,100,13.251377
7,100,13.323791
8,100,13.489023
11,100,13.652309
17,100,13.81471
11,100,13.88616
9,100,14.048541
11,100,14.209747
15,100,14.37132
11,100,14.533314
13,100,14.605312
10,100,14.768361
13,100,14.929295
9,100,15.091286
7,100,15.255279
10,100,15.328329
6,100,15.490278
14,100,15.656254
9,100,15.81765
8,100,15.889252
15,100,16.051249
9,100,16.213239
4,100,16.376226
11,100,16.539573
16,100,16.613302
10,100,16.781301
6,100,16.948228
17,100,17.120693
14,100,17.192389
8,100,17.357263
16,100,17.520592
8,100,17.683169
11,100,17.84515
14,100,17.916158
11,100,18.07821
13,100,18.241139
12,100,18.402125
13,100,18.474125
11,100,18.637307
15,100,18.804108
12,100,18.970157
12,100,19.136153
12,100,19.210152
8,100,19.3771
13,100,19.544073
8,100,19.710126
17,100,19.872066
10,100,19.94406
14,100,20.110053
20,100,20.274051
7,100,20.437151
13,100,20.509124
9,100,20.678319
9,100,20.842643
11,100,21.00397
11,100,21.165471
20,100,21.237064
12,100,21.400143
9,100,21.564513
9,100,21.726967
13,100,21.798967
13,100,21.962959
12,100,22.124954
17,100,22.287466
11,100,22.449066
15,100,22.51994
10,100,22.685339
6,100,22.845918
21,100,23.008481
13,100,23.079943
16,100,23.240952
12,100,23.402952
13,100,23.566427
13,100,23.726892
9,100,23.798883
15,100,23.961911
18,100,24.122867
12,100,24.284774
12,100,24.447847
17,100,24.518277
20,100,24.683829
17,100,24.844818
9,100,25.006244
9,100,25.077864
19,100,25.241288
11,100,25.402508
11,100,25.565227
16,100,25.727259
10,100,25.79821
14,100,25.961216
8,100,26.123191
13,100,26.285595
11,100,26.356173
22,100,26.520169
14,100,26.682148
12,100,26.84442
15,100,27.006135
17,100,27.077868
19,100,27.241268
9,100,27.403347
11,100,27.564407
10,100,27.635694
9,100,27.798829
17,100,27.960304
7,100,28.121096
10,100,28.283079
12,100,28.354098
17,100,28.517101
13,100,28.681229
15,100,28.842545
9,100,29.006205
15,100,29.077521
10,100,29.241655
14,100,29.402776
16,100,29.565596
13,100,29.636596
10,100,29.80001
10,100,29.962997
17,100,30.12399
13,100,30.285983
11,100,30.357565
13,100,30.522134
11,100,30.685393
16,100,30.849094
17,100,30.920551
10,100,31.092527
13,100,31.262953
11,100,31.424932
14,100,31.591933
13,100,31.66392
10,100,31.827011
16,100,31.998511
15,100,32.163937
28,100,32.236534
12,100,32.398578
7,100,32.562513
15,100,32.729886
11,100,32.89855
9,100,32.972436
15,100,33.144491
6,100,33.307483
17,100,33.471007
26,100,33.633819
16,100,33.706408
11,100,33.870456
12,100,34.032387
15,100,34.194376
8,100,34.265376
15,100,34.428541
20,100,34.591151
18,100,34.754307
13,100,34.916436
15,100,34.988368
14,100,35.1519
14,100,35.314876
18,100,35.476755
15,100,35.548379
17,100,35.712302
18,100,35.87409
13,100,36.036714
12,100,36.199162
21,100,36.271312
20,100,36.434499
17,100,36.596988
10,100,36.759054
21,100,36.831081
16,100,36.993667
15,100,37.15724
18,100,37.319304
14,100,37.483225
17,100,37.554223
14,100,37.718262
8,100,37.881186
13,100,38.041918
16,100,38.20462
19,100,38.277117
6,100,38.440184
9,100,38.602172
15,100,38.764167
9,100,38.836156
15,100,38.999162
10,100,39.17015
18,100,39.33414
6,100,39.497131
13,100,39.570128
12,100,39.733114
17,100,39.895114
17,100,40.057109
18,100,40.128155
20,100,40.291046
9,100,40.452147
17,100,40.613925
19,100,40.777068
16,100,40.848136
11,100,41.010878
18,100,41.174006
9,100,41.335109
19,100,41.405175
17,100,41.569087
10,100,41.732022
11,100,41.894074
9,100,42.056064
14,100,42.127063
19,100,42.288934
4,100,42.449873
18,100,42.61341
24,100,42.774972
18,100,42.846972
11,100,43.010971
17,100,43.171951
14,100,43.33295
14,100,43.40436
14,100,43.569968
16,100,43.73193
18,100,43.894335
20,100,44.056923
12,100,44.129401
8,100,44.292231
7,100,44.454895
8,100,44.617486
9,100,44.689327
16,100,44.852279
14,100,45.013868
13,100,45.177368
11,100,45.339275
13,100,45.411277
19,100,45.574928
13,100,45.736993
14,100,45.899199
18,100,45.970946
14,100,46.133147
19,100,46.293824
16,100,46.456799
12,100,46.618576
19,100,46.69121
11,100,46.853204
14,100,47.014766
12,100,47.175766
16,100,47.339247
7,100,47.411274
15,100,47.575183
12,100,47.736219
15,100,47.897272
16,100,47.968555
18,100,48.130654
13,100,48.292153
10,100,48.454127
16,100,48.618454
10,100,48.691372
16,100,48.860116
21,100,49.027194
14,100,49.19603
18,100,49.268452
16,100,49.436083
19,100,49.601082
9,100,49.76708
12,100,49.931229
9,100,50.003318
12,100,50.166056
13,100,50.330044
9,100,50.494114
12,100,50.565328
19,100,50.730337
11,100,50.895917
25,100,51.0611
7,100,51.225737
11,100,51.297577
17,100,51.465997
15,100,51.633974
15,100,51.79882
17,100,51.964532
13,100,52.037821
14,100,52.202963
