#{"t_start": 1617386190.6648433, "env_id": null}
r,l,t
8,100,0.504114
13,100,1.019231
6,100,1.535347
12,100,2.041461
13,100,2.162488
12,100,2.680606
10,100,3.192721
11,100,3.696835
13,100,4.193946
10,100,4.304972
5,100,4.809085
14,100,5.319201
7,100,5.822314
6,100,5.942342
8,100,6.493465
9,100,7.014584
16,100,7.539702
20,100,8.06182
13,100,8.178846
12,100,8.698973
11,100,9.234093
13,100,9.802572
18,100,9.927601
11,100,10.438716
15,100,10.94583
8,100,11.457946
10,100,11.960059
15,100,12.073085
18,100,12.580199
11,100,13.081312
12,100,13.589427
8,100,13.705452
9,100,14.209567
10,100,14.706679
12,100,15.206791
16,100,15.704904
16,100,15.816929
14,100,16.318043
18,100,16.817155
15,100,17.317268
17,100,17.814379
19,100,17.927405
12,100,18.429519
21,100,18.963639
13,100,19.462751
13,100,19.576777
18,100,20.079891
19,100,20.576003
9,100,21.076116
11,100,21.573228
14,100,21.684253
12,100,22.190367
11,100,22.717486
18,100,23.2196
10,100,23.341627
17,100,23.863745
19,100,24.376861
12,100,24.884976
19,100,25.388088
14,100,25.500115
8,100,26.050239
14,100,26.555353
21,100,27.061467
19,100,27.179493
16,100,27.682607
21,100,28.191722
22,100,30.860798
20,100,31.372913
15,100,31.497942
13,100,32.011057
14,100,32.50917
18,100,33.019285
13,100,33.535401
18,100,33.66243
13,100,34.198567
12,100,34.723685
14,100,35.228799
21,100,35.338824
20,100,35.842937
17,100,36.34105
18,100,36.842163
16,100,37.338275
18,100,37.4493
11,100,37.952414
17,100,38.484534
17,100,39.008652
16,100,39.129679
19,100,39.671802
14,100,40.254124
13,100,40.841477
14,100,41.425678
18,100,41.553458
18,100,42.148952
17,100,42.74402
23,100,43.32697
15,100,43.464689
23,100,44.047265
15,100,44.630901
17,100,45.20878
13,100,45.791833
18,100,45.921419
18,100,46.4998
19,100,47.073901
24,100,47.657053
24,100,48.230878
14,100,48.356853
27,100,48.913686
21,100,49.465658
19,100,50.024677
21,100,50.153371
14,100,50.74485
21,100,51.343013
20,100,51.89828
20,100,52.443959
24,100,52.56602
18,100,53.089902
12,100,53.611889
28,100,54.148893
25,100,54.286426
16,100,54.830008
25,100,55.36393
22,100,55.884776
19,100,56.402755
22,100,56.517921
22,100,57.032721
21,100,57.537278
14,100,58.045402
22,100,58.160773
23,100,58.67222
18,100,59.190362
18,100,59.699185
21,100,60.213282
23,100,60.33437
24,100,60.853532
24,100,61.367993
21,100,61.881492
18,100,62.382115
17,100,62.499142
27,100,63.000254
19,100,63.505368
17,100,64.017483
15,100,64.13351
20,100,64.642624
23,100,65.148739
15,100,65.648852
16,100,66.150965
18,100,66.26299
17,100,66.767104
24,100,67.268217
22,100,67.779333
23,100,67.892358
27,100,68.398472
26,100,68.905586
22,100,69.422704
22,100,69.923817
24,100,70.045844
22,100,70.580965
21,100,71.110084
18,100,71.619199
32,100,71.736226
21,100,72.241339
22,100,72.747454
21,100,73.252568
25,100,73.762683
23,100,73.87871
24,100,74.379822
22,100,74.881935
25,100,75.380048
22,100,75.883161
28,100,76.000188
22,100,76.514303
21,100,77.02942
11,100,77.532533
24,100,77.64856
17,100,78.155674
21,100,78.663789
23,100,79.172903
20,100,79.677017
22,100,79.788042
27,100,80.290155
17,100,80.803271
24,100,81.301384
18,100,81.411409
25,100,81.916522
28,100,82.425637
31,100,82.932752
22,100,83.433865
15,100,83.54689
17,100,84.051004
24,100,84.553117
17,100,85.056231
28,100,85.168256
23,100,85.669369
25,100,86.165481
32,100,86.6896
22,100,87.195714
20,100,87.307739
16,100,87.84586
25,100,88.364978
24,100,88.876093
24,100,89.382207
21,100,89.497234
28,100,90.007348
21,100,90.511463
23,100,91.017576
23,100,91.130601
27,100,91.640717
27,100,92.148831
22,100,92.651945
31,100,93.159059
27,100,93.274086
24,100,93.7822
24,100,94.287314
31,100,94.787427
27,100,94.899452
30,100,95.406566
28,100,95.908681
27,100,96.416795
23,100,96.926909
29,100,97.038935
26,100,97.542048
26,100,98.042161
22,100,98.538273
20,100,98.649298
23,100,99.153412
25,100,99.655525
25,100,100.165641
26,100,100.671754
27,100,100.78378
28,100,101.289894
23,100,101.80301
21,100,102.320127
26,100,102.850246
33,100,102.970273
27,100,103.480388
32,100,103.989503
26,100,104.497618
33,100,104.610644
30,100,105.114757
22,100,105.621872
42,100,106.124986
28,100,106.622097
30,100,106.737123
27,100,107.247239
29,100,107.747351
25,100,108.267469
27,100,108.397498
