#{"t_start": 1617160204.0076728, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,792,34.300945
-20.0,915,75.105696
-20.0,841,110.010533
-20.0,866,149.891979
-21.0,807,184.374285
-21.0,781,218.798545
-21.0,853,258.061103
-20.0,891,299.009107
-21.0,777,333.681386
-20.0,841,373.690541
-20.0,890,414.398738
-20.0,865,449.734344
-21.0,817,489.257102
-21.0,815,524.980098
-20.0,858,564.935429
-20.0,833,600.110257
-19.0,962,645.054995
-20.0,832,679.932783
-20.0,834,719.267725
-20.0,836,753.952106
-18.0,1024,799.773769
-21.0,877,839.713051
-21.0,820,874.33828
-20.0,977,919.543211
-21.0,1017,965.319313
-19.0,1035,1011.539265
-21.0,880,1051.72968
-19.0,1098,1102.629037
-20.0,962,1143.985876
-21.0,838,1183.499876
-21.0,820,1217.42751
-19.0,909,1257.861815
-21.0,973,1303.011625
-19.0,980,1344.405737
-20.0,938,1389.70513
-20.0,890,1425.273954
-20.0,959,1469.844231
-21.0,818,1504.283674
-21.0,837,1543.067301
-21.0,994,1589.447277
-21.0,898,1629.584439
-21.0,905,1670.383305
-21.0,807,1705.30332
-20.0,958,1746.509295
-19.0,1016,1792.486152
-21.0,878,1832.058247
-20.0,1126,1884.167937
-21.0,928,1923.901023
-21.0,869,1964.171461
-20.0,891,2003.653521
-21.0,775,2040.488657
-21.0,843,2080.774563
-20.0,861,2116.194201
-21.0,927,2156.992957
-21.0,971,2202.040725
-21.0,779,2237.181386
-20.0,1063,2283.567129
-19.0,931,2328.593139
-21.0,820,2363.745916
-19.0,1084,2415.03263
-21.0,1001,2455.502928
-19.0,962,2500.097844
-21.0,899,2540.695046
-20.0,964,2581.215127
-20.0,983,2627.156883
-20.0,952,2668.19014
-21.0,970,2713.559356
-20.0,1039,2760.536651
-20.0,899,2801.451672
-20.0,1058,2847.794812
-19.0,1203,2904.896283
-20.0,1110,2951.61564
-19.0,1027,2997.1652
-21.0,1063,3048.706906
-19.0,1346,3107.097233
-19.0,1623,3181.753361
-21.0,1475,3245.409578
-17.0,1641,3320.191381
-19.0,1642,3394.476642
-20.0,1654,3468.774543
-20.0,1821,3549.229378
-20.0,2221,3648.084139
-20.0,2732,3773.990113
-15.0,2257,3872.025398
-20.0,2319,3976.68962
-20.0,1825,4062.489898
-17.0,2397,4167.898972
-14.0,2589,4286.77808
-17.0,2293,4390.134961
-14.0,2486,4499.615309
-19.0,2514,4614.818951
-16.0,2577,4729.136272
-16.0,2898,4855.482288
-17.0,2240,4958.031634
-19.0,2515,5067.820827
-21.0,2001,5159.057745
-19.0,2995,5292.236598
-17.0,2778,5418.491756
-12.0,3323,5568.323492
-17.0,3055,5705.737508
-15.0,2870,5832.450148
-14.0,2652,5953.012163
-13.0,3376,6102.562223
-13.0,3648,6268.879729
-17.0,2614,6383.269579
-15.0,2856,6513.803982
-15.0,2658,6628.655829
-16.0,2735,6753.127301
-14.0,2909,6881.10818
-8.0,3318,7030.454857
-9.0,3210,7172.998871
-14.0,2736,7298.21994
-7.0,3497,7453.173688
-9.0,3930,7630.550295
-11.0,3194,7772.460706
-8.0,3295,7916.39525
-7.0,3026,8053.091341
1.0,3843,8223.882146
-10.0,3229,8366.285909
2.0,4703,8576.782396
-11.0,2607,8692.239491
-9.0,2942,8823.773489
-12.0,2611,8942.587677
-12.0,2499,9051.95408
1.0,4485,9251.216283
-15.0,2603,9365.688521
-2.0,4150,9552.703025
-14.0,2811,9677.167197
-13.0,2990,9809.861899
5.0,3893,9986.095141
9.0,4016,10162.822881
5.0,3699,10327.819686
2.0,3676,10493.873909
-12.0,2799,10614.639327
-6.0,4022,10797.459726
-11.0,3683,10962.308132
-1.0,4458,11158.346941
6.0,3538,11318.154696
10.0,3818,11489.944479
5.0,3944,11665.898275
4.0,3255,11808.718598
3.0,3338,11955.496572
7.0,3240,12097.920781
11.0,3671,12261.415843
5.0,4162,12449.281394
9.0,3335,12598.452543
11.0,3170,12741.300658
14.0,3168,12882.19137
9.0,3695,13046.730544
12.0,3252,13190.14805
12.0,2744,13314.892637
16.0,2830,13440.325
17.0,2191,13537.458048
3.0,3697,13704.778875
16.0,2370,13808.97823
5.0,3657,13972.789521
18.0,2226,14069.778039
15.0,2348,14178.3406
18.0,2027,14264.697128
15.0,2513,14377.84424
20.0,1938,14463.961647
14.0,2383,14572.993617
20.0,1843,14653.211097
18.0,2003,14744.293105
21.0,1730,14818.937894
19.0,2064,14909.953487
16.0,2059,15000.517069
16.0,2216,15103.034987
16.0,2292,15205.766009
13.0,2353,15308.3068
21.0,1775,15387.796853
18.0,2147,15487.739944
18.0,1911,15568.333043
18.0,1963,15659.184879
21.0,1669,15732.600948
18.0,1843,15812.858068
21.0,1793,15892.487658
20.0,1840,15976.890097
10.0,2764,16099.560254
20.0,1753,16179.873107
19.0,1916,16266.06697
19.0,1860,16346.514214
20.0,1746,16426.020173
21.0,1731,16500.99615
16.0,2156,16598.109673
20.0,1718,16679.557885
19.0,1822,16760.335285
20.0,2081,16852.54562
14.0,2192,16950.18891
17.0,1946,17036.528574
21.0,1831,17121.747909
18.0,2047,17212.787845
9.0,2502,17322.401909
20.0,1974,17413.224692
19.0,1917,17498.420837
20.0,1753,17573.298764
18.0,1941,17659.006446
19.0,1951,17748.374956
21.0,1711,17824.942287
20.0,1875,17909.26834
21.0,1674,17983.662692
12.0,2188,18080.495444
20.0,1758,18156.258242
20.0,1789,18236.315661
18.0,2021,18327.49664
17.0,2033,18419.128513
18.0,1981,18509.689474
14.0,2142,18601.947803
19.0,2042,18693.601328
15.0,2171,18790.451827
20.0,1760,18870.1864
19.0,1987,18955.788304
20.0,1794,19035.026937
21.0,1679,19110.055475
18.0,1782,19190.400703
20.0,1768,19270.293561
18.0,1887,19356.281643
18.0,1897,19441.135201
20.0,1796,19526.677787
21.0,1675,19600.252581
19.0,1803,19680.161762
20.0,1788,19760.293484
21.0,1674,19835.188821
20.0,1929,19920.701339
20.0,1766,20000.838583
20.0,1728,20075.981353
19.0,1815,20156.098
17.0,1904,20241.827443
21.0,1693,20317.162913
20.0,1855,20402.950863
19.0,1925,20488.516662
18.0,2069,20580.127221
19.0,1882,20666.425477
16.0,2154,20763.014107
20.0,1785,20841.569928
20.0,1825,20921.962154
21.0,1656,20997.216484
17.0,1922,21082.964706
19.0,1940,21168.8131
19.0,1894,21253.640707
18.0,1985,21340.337527
18.0,1816,21420.258988
21.0,1750,21501.477199
20.0,1819,21582.638995
18.0,2004,21673.55372
21.0,1790,21752.719968
19.0,1916,21838.790079
18.0,1877,21919.647668
21.0,1767,21999.361162
18.0,2082,22091.098227
20.0,1763,22171.311881
20.0,1685,22246.324195
20.0,1801,22326.298903
18.0,1974,22417.116693
20.0,1761,22491.862883
19.0,1910,22577.456136
20.0,1729,22657.060095
20.0,1813,22737.918552
19.0,1928,22825.07607
21.0,1674,22899.839005
19.0,1736,22980.944869
21.0,1673,23056.241833
