#{"t_start": 1617160198.8879793, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,956,80.013591
-20.0,916,159.554957
-20.0,1135,265.560616
-21.0,816,338.146109
-20.0,865,415.918537
-19.0,996,510.382576
-18.0,1281,628.125244
-20.0,898,710.931066
-21.0,777,779.579227
-20.0,919,861.696149
-21.0,839,944.502166
-20.0,882,1016.993018
-19.0,1041,1121.327584
-21.0,813,1192.631547
-21.0,944,1276.207741
-21.0,833,1359.798621
-20.0,916,1443.331021
-20.0,842,1517.310715
-21.0,849,1598.763372
-19.0,1070,1695.61786
-19.0,957,1790.704493
-20.0,899,1874.727966
-20.0,913,1957.529658
-19.0,1026,2051.936371
-19.0,1091,2147.524099
-20.0,978,2244.742801
-20.0,836,2327.685041
-20.0,835,2401.38528
-21.0,959,2493.777008
-20.0,929,2581.155155
-20.0,966,2655.966334
-21.0,791,2737.615914
-21.0,838,2809.792739
-20.0,843,2894.724496
-20.0,840,2968.098511
-20.0,859,3048.289926
-19.0,1014,3141.725922
-20.0,1038,3237.897687
-18.0,1038,3334.719894
-21.0,820,3403.473997
-21.0,955,3493.651725
-21.0,1106,3589.193831
-19.0,948,3683.371281
-19.0,1117,3786.835219
-20.0,946,3871.307153
-21.0,897,3953.230382
-21.0,776,4026.141447
-20.0,887,4104.809922
-21.0,910,4184.712274
-21.0,821,4253.469157
-21.0,819,4333.428987
-20.0,982,4418.024564
-20.0,975,4510.055877
-21.0,930,4592.156863
-21.0,776,4661.538954
-19.0,1114,4770.307616
-21.0,998,4862.30353
-20.0,933,4945.193757
-21.0,822,5019.023691
-18.0,1069,5123.281851
-20.0,989,5216.09383
-21.0,821,5287.981069
-21.0,840,5361.336527
-20.0,854,5441.333473
-20.0,920,5522.140224
-20.0,963,5612.374853
-20.0,900,5695.944233
-20.0,914,5773.927721
-20.0,835,5842.19266
-21.0,822,5920.632997
-20.0,1064,6014.983956
-19.0,1036,6110.165903
-20.0,896,6186.766795
-21.0,779,6256.739407
-20.0,864,6341.543465
-21.0,781,6416.939195
-20.0,899,6499.957849
-21.0,848,6586.218707
-20.0,903,6671.594233
-21.0,938,6756.237103
-21.0,968,6852.96869
-20.0,944,6940.124841
-21.0,848,7024.83121
-17.0,1191,7138.457862
-20.0,913,7224.885614
-20.0,863,7308.875015
-21.0,938,7395.125425
-21.0,841,7478.026152
-21.0,903,7564.065459
-21.0,914,7645.87713
-21.0,896,7731.921652
-20.0,945,7818.985416
-20.0,838,7904.523456
-19.0,991,7993.959067
-17.0,1147,8104.702152
-19.0,1043,8202.922987
-21.0,781,8286.513157
-18.0,1299,8408.446408
-21.0,1042,8508.002998
-18.0,1203,8622.064898
-19.0,1236,8745.45164
-21.0,821,8821.508203
-21.0,1026,8920.245189
-20.0,938,9009.216008
-19.0,1270,9124.199635
-18.0,1637,9288.311558
-21.0,1299,9412.483137
-18.0,1705,9588.835482
-17.0,1978,9779.16244
-18.0,1764,9954.356571
-16.0,2047,10155.506392
-15.0,2111,10360.497471
-20.0,1558,10510.146605
-17.0,2412,10749.723917
-20.0,1940,10935.887505
-18.0,1739,11114.863315
-21.0,1473,11259.16456
-4.0,3087,11578.857468
-15.0,2299,11810.636352
-8.0,2927,12094.089177
-19.0,1686,12271.610532
-18.0,1838,12440.0257
-17.0,1823,12608.947467
-21.0,1648,12766.127209
-21.0,1657,12925.443505
-8.0,3058,13220.734972
-8.0,2736,13489.507404
-17.0,1770,13671.176276
-15.0,2360,13903.796195
-18.0,2160,14122.845434
-16.0,2054,14327.935497
-13.0,2862,14621.634727
-5.0,3226,14938.239187
-5.0,3542,15281.763994
-9.0,4118,15688.60004
-16.0,3218,16006.384509
16.0,2424,16246.949011
-3.0,4393,16680.436705
-9.0,4075,17085.430192
10.0,2691,17350.019954
17.0,2373,17576.751092
-1.0,3952,17972.093571
13.0,2902,18261.773472
1.0,3963,18645.593027
18.0,2414,18877.991294
15.0,2550,19120.465021
18.0,2239,19329.148134
20.0,1765,19500.098456
16.0,2370,19726.00217
19.0,2105,19932.453008
15.0,2492,20167.232311
14.0,2859,20441.755769
11.0,2817,20713.798933
19.0,2139,20923.16642
18.0,2100,21130.529616
18.0,1845,21309.174467
15.0,2514,21561.365505
19.0,2271,21778.040699
13.0,2649,22043.385501
4.0,3463,22390.136092
-11.0,2535,22648.797057
16.0,2359,22857.565266
15.0,2583,23017.972046
19.0,2142,23153.00271
18.0,2173,23288.866459
18.0,2238,23432.214049
13.0,2506,23584.82647
19.0,1827,23696.588065
18.0,1978,23823.383424
16.0,2369,23966.409538
19.0,2254,24108.363905
10.0,2709,24276.833914
15.0,2363,24421.168832
5.0,2856,24604.198439
20.0,2090,24732.428591
14.0,2555,24890.426813
17.0,2082,25018.386878
17.0,2520,25176.591874
18.0,2826,25352.245815
21.0,1807,25464.521544
15.0,2765,25641.943652
18.0,2216,25776.482694
15.0,3140,25969.47166
17.0,2276,26112.734841
15.0,2824,26288.309859
15.0,2612,26456.165803
17.0,2332,26600.132038
8.0,5298,26926.996991
18.0,2351,27077.237322
20.0,2073,27204.378322
18.0,2281,27348.112348
18.0,2261,27484.75693
17.0,2416,27636.729395
15.0,2562,27796.849245
12.0,2442,27948.923132
20.0,2205,28086.097883
10.0,3116,28283.951629
14.0,3630,28508.731595
8.0,3290,28716.144454
8.0,2737,28886.428666
5.0,4352,29156.80234
10.0,4429,29436.372661
13.0,3484,29656.422194
10.0,2900,29840.375374
9.0,2822,30016.232357
18.0,2348,30160.759435
21.0,2221,30297.039214
16.0,2447,30449.832986
13.0,3475,30665.466816
19.0,2105,30800.692235
18.0,2227,30937.454962
20.0,2086,31072.323914
19.0,1674,31176.880145
5.0,5092,31489.771816
15.0,2353,31640.479022
20.0,2170,31776.246997
17.0,2046,31905.726103
20.0,1674,32009.650219
4.0,2940,32193.456353
17.0,1882,32306.899925
18.0,1890,32427.216821
20.0,1682,32531.666887
18.0,1814,32644.646989
10.0,2790,32821.954824
20.0,2071,32950.790518
15.0,2418,33103.373352
19.0,2114,33239.267805
20.0,1709,33345.002185
19.0,2116,33480.635066
19.0,1925,33601.553856
20.0,2071,33729.764618
3.0,3683,33962.994045
19.0,2118,34096.972572
19.0,1685,34202.754402
19.0,1673,34308.273183
7.0,3230,34509.968269
18.0,2171,34647.917962
18.0,1761,34760.17665
18.0,1973,34889.28617
20.0,2073,35018.576263
17.0,2420,35171.665571
18.0,1763,35278.173891
20.0,1952,35407.101134
10.0,2412,35553.363559
20.0,1997,35681.434937
20.0,2068,35810.749481
14.0,1916,35931.832864
21.0,1741,36045.43674
20.0,1724,36151.565208
20.0,2092,36282.253844
21.0,1695,36394.380975
21.0,1695,36500.711055
16.0,2220,36638.766218
20.0,1685,36744.592246
4.0,3693,36980.419884
18.0,2209,37118.541
20.0,2212,37265.227839
18.0,2223,37403.02677
19.0,1879,37525.704229
19.0,2287,37673.690686
21.0,1692,37780.936264
20.0,1911,37903.406396
20.0,2072,38034.411469
