#{"t_start": 1617284919.3681123, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,891,23.397464
-18.0,1196,45.509219
-19.0,1082,62.10533
-20.0,978,77.815564
-20.0,971,93.333054
-21.0,958,111.586048
-21.0,786,123.875195
-19.0,1038,140.479223
-21.0,866,154.884435
-20.0,896,168.968908
-21.0,998,184.691637
-18.0,1074,201.609399
-21.0,821,214.370263
-21.0,921,230.295687
-21.0,789,242.738912
-21.0,908,257.116451
-21.0,843,272.202721
-21.0,979,291.223851
-19.0,934,306.174186
-21.0,915,320.655955
-21.0,866,334.537681
-21.0,844,348.271998
-20.0,960,363.334205
-20.0,833,377.089425
-20.0,924,391.9268
-21.0,823,404.725563
-20.0,867,420.425583
-21.0,998,436.595776
-21.0,847,449.9024
-21.0,786,462.906228
-20.0,985,478.217288
-20.0,935,493.687919
-18.0,1022,510.788444
-19.0,1245,535.43514
-20.0,912,552.862071
-20.0,932,568.326949
-21.0,791,580.711182
-21.0,899,595.028243
-20.0,866,609.517483
-21.0,804,622.414981
-20.0,837,635.315998
-20.0,927,650.525466
-21.0,806,663.148715
-20.0,1002,679.329431
-19.0,1172,703.078168
-20.0,836,716.08637
-21.0,852,729.854538
-20.0,839,742.583468
-20.0,871,756.001085
-21.0,777,767.923371
-21.0,788,779.883377
-20.0,924,794.422993
-20.0,836,807.001345
-21.0,882,820.698705
-21.0,820,833.031348
-20.0,942,847.886717
-21.0,836,860.534392
-20.0,927,875.088008
-20.0,899,888.870353
-20.0,914,902.926864
-20.0,896,916.583332
-21.0,883,930.272746
-20.0,1154,947.826659
-20.0,869,960.672431
-21.0,959,975.827046
-20.0,1157,993.773576
-21.0,783,1005.629299
-21.0,825,1017.767337
-21.0,938,1032.342393
-18.0,1209,1050.665847
-21.0,851,1063.883523
-18.0,1122,1080.460202
-19.0,1097,1097.308801
-19.0,1145,1114.851612
-21.0,1046,1130.670441
-19.0,1386,1151.768104
-18.0,1362,1173.773295
-15.0,1531,1197.704356
-13.0,1699,1224.189023
-10.0,1977,1253.642368
-17.0,1662,1278.77499
-15.0,1792,1305.959998
-10.0,2109,1338.329283
-21.0,1485,1360.976787
-21.0,1516,1383.828225
-21.0,1331,1403.846289
-11.0,2067,1435.413588
-3.0,2380,1471.072614
-4.0,2202,1504.156384
-12.0,1841,1532.213554
-7.0,2240,1565.89303
-12.0,1751,1593.809858
-15.0,1833,1621.309226
-20.0,1203,1639.185918
-10.0,1839,1667.302349
-11.0,2097,1698.727419
-6.0,2248,1732.861539
-14.0,1791,1759.844424
-2.0,2495,1797.168388
-1.0,2578,1835.988658
-12.0,1606,1860.264758
-8.0,2132,1892.742127
-7.0,2241,1926.200541
1.0,2930,1970.192494
-6.0,2685,2010.533546
2.0,3156,2057.440485
6.0,2682,2097.654537
-9.0,2193,2131.1196
10.0,2410,2166.624186
-5.0,2570,2205.676489
-3.0,2784,2247.870337
1.0,2927,2291.57744
9.0,2587,2330.232178
6.0,2873,2373.486959
3.0,3322,2423.145655
-1.0,3724,2478.564487
4.0,3072,2524.462856
6.0,2973,2569.107032
1.0,3331,2619.99541
9.0,2494,2665.973351
10.0,2740,2707.698277
4.0,3017,2753.892001
-1.0,3585,2812.441462
9.0,3192,2876.564662
3.0,3696,3280.978842
5.0,3075,3330.079072
12.0,2487,3369.543005
12.0,2605,3411.600759
16.0,2496,3449.309092
1.0,3563,3506.075859
9.0,2946,3554.774053
-2.0,3340,3605.17368
16.0,2660,3645.482937
18.0,2347,3680.750091
2.0,3611,3735.299983
-2.0,3255,3784.950585
6.0,3440,3837.35849
14.0,2557,3876.456995
15.0,2442,3913.522709
-1.0,3529,3971.258609
11.0,3069,4017.967755
12.0,2992,4063.738187
15.0,2616,4103.094907
20.0,2262,4137.508841
6.0,3337,4188.022177
6.0,3239,4236.733039
17.0,2489,4274.2498
17.0,2441,4311.959379
12.0,2742,4353.254329
13.0,2587,4392.311929
9.0,3197,4441.205772
16.0,2402,4477.785579
14.0,2518,4515.63829
12.0,3130,4563.374649
19.0,2254,4598.391401
3.0,3602,4652.960858
16.0,2045,4684.048544
13.0,2612,4723.77187
13.0,2682,4765.008747
20.0,1811,4792.280381
15.0,2533,4831.140773
18.0,1950,4860.755436
14.0,2451,4898.190132
18.0,2591,4937.830127
18.0,2423,4974.96986
18.0,1889,5004.068583
19.0,1780,5031.284872
15.0,2183,5064.622262
19.0,2320,5099.794227
19.0,2312,5135.091267
19.0,1828,5162.797819
12.0,2620,5205.004978
15.0,2697,5246.297854
13.0,2645,5286.621904
