#{"t_start": 1617358273.9975996, "env_id": null}
r,l,t
9,100,0.131014
8,100,0.231424
6,100,0.311442
12,100,0.390459
8,100,0.453474
9,100,0.532491
10,100,0.611509
11,100,0.692528
9,100,0.771545
7,100,0.834559
4,100,0.914577
14,100,0.993596
4,100,1.073614
9,100,1.136628
9,100,1.217646
10,100,1.296664
6,100,1.376682
9,100,1.4557
6,100,1.518713
8,100,1.598732
10,100,1.67875
10,100,1.758768
7,100,1.821783
9,100,1.901801
9,100,1.981818
18,100,2.060837
9,100,2.140855
11,100,2.203868
15,100,2.283886
6,100,2.362905
11,100,2.443922
15,100,2.506937
9,100,2.586955
9,100,2.665973
7,100,2.745991
8,100,2.82701
4,100,2.891024
16,100,2.972043
8,100,3.054061
11,100,3.13608
10,100,3.219098
14,100,3.284113
15,100,3.366131
9,100,3.44715
7,100,3.527167
13,100,3.591182
6,100,3.6722
7,100,3.752218
8,100,3.832236
18,100,3.911254
14,100,3.974268
11,100,4.053286
8,100,4.133304
11,100,4.212322
5,100,4.274336
6,100,4.354354
3,100,4.433372
9,100,4.512389
12,100,4.590407
8,100,4.653421
11,100,4.733439
19,100,4.813457
16,100,4.892475
9,100,4.95549
16,100,5.035507
13,100,5.113525
7,100,5.193544
17,100,5.272561
17,100,5.336575
10,100,5.415594
21,100,5.495611
7,100,5.57463
10,100,5.653647
11,100,5.716661
10,100,5.795679
8,100,5.875698
8,100,5.954715
9,100,6.017729
12,100,6.096747
10,100,6.176766
5,100,6.255783
9,100,6.337802
7,100,6.403817
15,100,6.484835
6,100,6.563853
10,100,6.645871
14,100,6.709886
9,100,6.789903
18,100,6.868922
14,100,6.953941
10,100,7.037959
3,100,7.102974
13,100,7.184992
19,100,7.266011
3,100,7.34603
6,100,7.410043
12,100,7.491061
5,100,7.573081
9,100,7.657861
11,100,7.738879
5,100,7.801893
10,100,7.881911
13,100,7.961929
17,100,8.040947
16,100,8.120965
11,100,8.18398
11,100,8.262997
8,100,8.343015
4,100,8.423033
14,100,8.485047
8,100,8.565066
10,100,8.644083
14,100,8.723101
9,100,8.802119
14,100,8.866133
10,100,8.946151
13,100,9.025169
11,100,9.104187
11,100,9.167201
6,100,9.246219
10,100,9.325237
12,100,9.404254
15,100,9.483273
8,100,9.547287
15,100,9.626305
10,100,9.705322
12,100,9.785341
10,100,9.848356
15,100,9.928373
11,100,10.009391
11,100,10.089409
18,100,10.169427
11,100,10.231441
9,100,10.310459
12,100,10.389477
14,100,10.469495
13,100,10.548513
11,100,10.611527
7,100,10.691545
12,100,10.771563
8,100,10.850581
9,100,10.913595
13,100,10.992613
14,100,11.071631
8,100,11.150648
12,100,11.229667
8,100,11.292681
14,100,11.372699
15,100,11.452717
11,100,11.531735
14,100,11.593749
11,100,11.673767
13,100,11.752784
9,100,11.832803
7,100,11.911821
13,100,11.973834
14,100,12.053853
11,100,12.13387
11,100,12.212888
13,100,12.275902
18,100,12.35492
9,100,12.434938
21,100,12.514956
8,100,12.594975
15,100,12.657988
15,100,12.738006
15,100,12.817025
10,100,12.897043
19,100,12.976061
12,100,13.039075
13,100,13.119093
11,100,13.199111
14,100,13.278129
19,100,13.340142
16,100,13.41916
16,100,13.499179
10,100,13.578197
15,100,13.658215
15,100,13.722229
13,100,13.802247
6,100,13.882265
16,100,13.960283
8,100,14.024297
17,100,14.103315
10,100,14.183332
11,100,14.262351
13,100,14.342369
16,100,14.405383
10,100,14.485401
14,100,14.564419
18,100,14.644437
14,100,14.707452
17,100,14.787469
9,100,14.867488
5,100,14.947506
12,100,15.026523
10,100,15.090538
13,100,15.169556
15,100,15.248573
13,100,15.327591
9,100,15.406609
15,100,15.470624
13,100,15.550642
8,100,15.629659
10,100,15.708677
10,100,15.771691
19,100,15.85171
15,100,15.931727
15,100,16.011745
13,100,16.090763
20,100,16.154778
7,100,16.234796
24,100,16.313813
9,100,16.393831
15,100,16.456846
15,100,16.535864
14,100,16.615882
14,100,16.6959
13,100,16.775918
15,100,16.839932
16,100,16.91995
9,100,16.999969
13,100,17.079987
7,100,17.142001
16,100,17.222019
7,100,17.302037
14,100,17.382055
16,100,17.462073
18,100,17.525087
22,100,17.605105
13,100,17.686124
13,100,17.766141
8,100,17.846159
17,100,17.909173
15,100,17.988192
15,100,18.06821
9,100,18.147227
15,100,18.210242
12,100,18.29026
8,100,18.369277
19,100,18.449296
12,100,18.529313
16,100,18.592328
16,100,18.671346
14,100,18.751364
15,100,18.831382
9,100,18.895396
17,100,18.978416
14,100,19.060434
11,100,19.142453
7,100,19.22447
15,100,19.289485
18,100,19.371504
18,100,19.451522
14,100,19.53054
19,100,19.593554
10,100,19.675572
10,100,19.757591
13,100,19.837609
14,100,19.916627
21,100,19.979641
15,100,20.059659
14,100,20.138676
14,100,20.218695
14,100,20.298713
17,100,20.361727
18,100,20.441746
12,100,20.520763
21,100,20.600781
18,100,20.662795
21,100,20.742814
9,100,20.822831
20,100,20.90285
13,100,20.981867
15,100,21.045882
18,100,21.124899
19,100,21.204918
17,100,21.283935
18,100,21.345949
16,100,21.425967
7,100,21.505986
15,100,21.586003
21,100,21.666022
22,100,21.729035
16,100,21.809054
13,100,21.889072
14,100,21.96809
17,100,22.032104
11,100,22.112122
15,100,22.19114
16,100,22.271158
16,100,22.350176
9,100,22.413189
17,100,22.492208
15,100,22.571225
18,100,22.651243
15,100,22.730262
20,100,22.794276
12,100,22.874294
19,100,22.954312
15,100,23.03233
14,100,23.095344
10,100,23.174362
16,100,23.25438
13,100,23.334398
14,100,23.413416
8,100,23.47643
17,100,23.556448
14,100,23.639467
19,100,23.721485
8,100,23.783499
11,100,23.863517
15,100,23.942535
9,100,24.021553
17,100,24.101572
15,100,24.164586
12,100,24.243604
9,100,24.322621
17,100,24.401639
21,100,24.465653
16,100,24.544671
15,100,24.624689
11,100,24.704708
14,100,24.782724
10,100,24.845739
16,100,24.924756
13,100,25.003775
17,100,25.083792
16,100,25.163811
14,100,25.226825
16,100,25.305843
20,100,25.384861
12,100,25.463879
16,100,25.525893
16,100,25.605911
11,100,25.685929
13,100,25.765947
16,100,25.845964
19,100,25.908979
14,100,25.987996
17,100,26.067015
14,100,26.146033
