#{"t_start": 1617305477.9051807, "env_id": null}
r,l,t
7,100,0.747076
6,100,1.667445
7,100,2.542232
9,100,3.426639
8,100,3.684818
8,100,4.613128
4,100,5.506271
8,100,6.461555
8,100,7.374614
4,100,7.636264
15,100,8.551558
11,100,9.536465
13,100,10.364291
9,100,10.590589
11,100,11.263818
11,100,11.973819
14,100,12.675825
14,100,13.507008
19,100,13.744734
14,100,14.632415
18,100,15.303792
10,100,15.965046
13,100,16.19067
18,100,17.13083
16,100,18.02413
11,100,18.92179
15,100,19.633553
15,100,19.854431
12,100,20.528113
9,100,21.202203
13,100,22.038179
17,100,22.344144
19,100,23.134577
14,100,23.81099
16,100,24.760576
16,100,25.620453
25,100,25.917133
17,100,26.683394
14,100,27.361147
14,100,28.087676
19,100,28.954197
14,100,29.182358
14,100,29.877957
4,100,30.57803
14,100,31.254162
22,100,31.482847
12,100,32.19998
18,100,33.148903
13,100,34.061913
10,100,34.758659
17,100,35.017322
15,100,35.705255
15,100,36.437237
19,100,37.132649
14,100,37.390141
23,100,38.176676
8,100,38.863284
16,100,39.539836
15,100,40.206541
9,100,40.422783
15,100,41.197956
15,100,41.889137
15,100,42.571348
17,100,42.780323
6,100,43.652714
13,100,44.318538
17,100,45.23644
18,100,45.916994
15,100,46.225039
13,100,47.020355
19,100,47.867722
13,100,48.938924
11,100,50.02932
12,100,50.338519
14,100,51.092111
11,100,51.781651
15,100,52.810522
9,100,53.052827
13,100,53.768253
26,100,54.44559
20,100,55.116235
16,100,55.782262
7,100,56.015751
20,100,56.698515
11,100,57.373987
14,100,58.169779
20,100,58.444542
16,100,59.124748
16,100,59.814079
16,100,60.543743
18,100,61.321256
18,100,61.634755
17,100,62.426356
17,100,63.342764
22,100,64.012647
17,100,64.23372
20,100,64.906562
11,100,65.65779
14,100,66.413039
14,100,67.201095
22,100,67.42392
22,100,68.124375
12,100,69.087751
18,100,69.77789
19,100,70.444444
12,100,70.77907
18,100,71.579959
22,100,72.28361
14,100,73.018924
11,100,73.231999
21,100,73.903282
22,100,74.577346
14,100,75.350178
13,100,76.11651
18,100,76.340346
20,100,77.067983
15,100,77.761928
17,100,78.58264
21,100,78.805035
15,100,79.520724
23,100,80.250367
14,100,80.956082
19,100,81.644075
16,100,81.913398
21,100,82.759302
19,100,83.736954
18,100,84.409549
14,100,84.62228
23,100,85.326959
21,100,85.990405
22,100,86.66808
21,100,87.475985
19,100,87.724911
16,100,88.627248
15,100,89.338746
11,100,90.04341
17,100,90.712327
26,100,90.942555
19,100,91.618389
21,100,92.518489
11,100,93.272157
19,100,93.515039
22,100,94.229205
21,100,95.031394
21,100,95.743371
16,100,96.447438
20,100,96.689243
21,100,97.448227
23,100,98.361418
16,100,99.050014
16,100,99.268586
19,100,99.93543
16,100,100.65975
18,100,101.631549
20,100,102.465619
17,100,102.690653
18,100,103.40341
17,100,104.0785
14,100,104.759338
21,100,104.972739
25,100,105.725754
23,100,106.437341
17,100,107.117295
15,100,107.791482
18,100,108.050341
19,100,109.050817
23,100,109.782301
29,100,110.468064
21,100,111.128284
21,100,111.360007
25,100,112.039801
19,100,112.773363
22,100,113.665523
23,100,113.909223
26,100,114.642584
17,100,115.47897
22,100,116.16505
25,100,117.199031
25,100,117.448937
25,100,118.30342
26,100,118.975605
25,100,119.665992
20,100,119.880985
30,100,120.59777
25,100,121.545641
17,100,122.502187
27,100,123.307744
25,100,123.558638
26,100,124.25634
20,100,124.927976
18,100,125.603379
20,100,125.942163
16,100,126.696542
19,100,127.382175
22,100,128.071541
25,100,128.734271
21,100,128.96013
26,100,129.624363
23,100,130.315489
27,100,130.989802
20,100,131.664935
22,100,131.880555
23,100,132.595041
24,100,133.315863
20,100,133.984943
21,100,134.227175
25,100,134.907153
28,100,135.59378
22,100,136.267563
22,100,137.10586
18,100,137.343801
21,100,138.050091
25,100,138.834703
25,100,139.508473
18,100,139.72032
18,100,140.411219
26,100,141.119127
20,100,141.775858
23,100,142.442529
30,100,142.655765
19,100,143.328709
32,100,144.019761
19,100,144.707779
23,100,144.92238
13,100,145.575051
28,100,146.23882
27,100,146.904516
15,100,147.585356
17,100,147.822904
29,100,148.504821
25,100,149.18184
25,100,149.855031
24,100,150.740153
20,100,151.004933
21,100,151.761184
20,100,152.681165
29,100,153.584852
30,100,153.82329
15,100,154.694566
17,100,155.391562
24,100,156.470609
21,100,157.38017
28,100,157.653503
25,100,158.344721
31,100,159.016376
29,100,159.677825
28,100,159.896302
23,100,160.582455
22,100,161.252578
18,100,161.926422
30,100,162.595476
19,100,162.821521
26,100,163.50156
18,100,164.177902
19,100,164.847131
30,100,165.069139
23,100,165.750111
28,100,166.908569
32,100,167.796549
28,100,168.54272
30,100,168.820119
24,100,169.510186
23,100,170.41369
17,100,171.112642
26,100,171.779227
25,100,172.002822
38,100,172.681476
19,100,173.359404
30,100,174.027461
28,100,174.25047
18,100,174.923084
21,100,175.598896
29,100,176.276355
25,100,176.94776
30,100,177.175724
23,100,177.860673
33,100,178.538812
34,100,179.219372
27,100,179.44325
36,100,180.126165
26,100,180.801462
28,100,181.473606
26,100,182.141666
33,100,182.369338
31,100,183.046336
23,100,183.724086
36,100,184.404517
35,100,184.629362
29,100,185.302577
18,100,185.975734
31,100,186.651179
30,100,187.307643
21,100,187.52367
31,100,188.203417
26,100,188.867198
30,100,189.522859
30,100,190.187354
29,100,190.413383
21,100,191.090024
28,100,191.774564
26,100,192.439471
35,100,192.664074
22,100,193.348557
33,100,194.031583
25,100,194.705513
32,100,195.386521
34,100,195.625886
28,100,196.317878
28,100,197.010871
24,100,197.852336
23,100,198.077927
28,100,198.77027
21,100,199.453367
27,100,200.129795
38,100,200.810628
24,100,201.019108
26,100,201.742465
26,100,202.436958
22,100,203.126702
27,100,203.340496
23,100,204.023226
27,100,204.688128
30,100,205.366633
27,100,206.030718
26,100,206.256688
25,100,206.942894
27,100,207.595583
39,100,208.26405
37,100,208.956488
29,100,209.174837
23,100,209.848022
10,100,210.520027
32,100,211.191089
28,100,211.414991
34,100,212.10825
26,100,212.785838
21,100,213.457666
27,100,214.124486
27,100,214.34627
25,100,215.02279
44,100,215.684534
26,100,216.350018
33,100,216.586914
39,100,217.269585
35,100,217.954895
32,100,218.632695
31,100,219.31712
32,100,219.535768
30,100,220.213414
27,100,220.876423
29,100,221.547384
36,100,221.768575
32,100,222.444789
23,100,223.120956
35,100,223.803465
23,100,224.491033
31,100,224.758206
25,100,225.635982
34,100,226.297442
26,100,226.9842
24,100,227.649806
25,100,227.872331
34,100,228.703986
40,100,229.404139
36,100,230.065383
28,100,230.278226
40,100,230.948822
20,100,231.619501
22,100,232.287596
25,100,232.945056
26,100,233.161905
24,100,233.836688
30,100,234.505166
30,100,235.163351
28,100,235.383828
30,100,236.058722
29,100,236.734536
35,100,237.401208
29,100,238.082855
26,100,238.313738
33,100,238.991121
21,100,239.727642
27,100,240.441221
29,100,240.677755
35,100,241.593558
23,100,242.281135
35,100,242.978436
25,100,243.717694
27,100,243.96663
31,100,244.881807
34,100,245.855848
31,100,246.760329
34,100,247.741701
26,100,248.010534
21,100,248.719649
41,100,249.389179
25,100,250.047395
27,100,250.266641
30,100,250.934534
28,100,251.670343
29,100,252.381552
40,100,253.102616
36,100,253.335381
27,100,254.021907
29,100,254.690027
39,100,255.354238
31,100,255.570903
30,100,256.240368
24,100,256.901064
31,100,257.636889
30,100,258.363537
41,100,258.580317
36,100,259.246247
36,100,259.899731
27,100,260.564682
34,100,260.778068
35,100,261.443163
35,100,262.106708
24,100,262.767762
23,100,263.434936
30,100,263.650218
26,100,264.32349
27,100,264.984165
24,100,265.650323
33,100,266.310678
38,100,266.524224
34,100,267.245548
29,100,268.199057
34,100,268.91124
30,100,269.182776
31,100,269.881791
38,100,270.562626
30,100,271.399102
28,100,272.07786
28,100,272.299055
19,100,272.971264
40,100,273.642118
35,100,274.31972
23,100,274.543518
45,100,275.236603
32,100,275.912157
38,100,276.589745
34,100,277.276268
33,100,277.505748
31,100,278.286625
35,100,279.048866
28,100,279.714702
28,100,279.921061
31,100,280.704
26,100,281.628996
38,100,282.325415
32,100,283.020316
25,100,283.272786
29,100,283.960272
28,100,284.633916
28,100,285.311243
37,100,285.986908
38,100,286.211592
32,100,287.037021
