#{"t_start": 1617706742.3632069, "env_id": null}
r,l,t
5,100,0.310588
6,100,2.03458
9,100,2.797317
2,100,3.585441
6,100,3.834293
5,100,4.599915
7,100,5.358606
10,100,6.095203
14,100,7.024534
15,100,7.293586
15,100,8.055243
15,100,8.807221
7,100,9.60475
8,100,9.852093
13,100,10.664333
5,100,11.448392
10,100,12.299712
15,100,13.161922
12,100,13.419393
10,100,14.231236
17,100,14.985813
16,100,15.767802
11,100,16.025484
10,100,16.985384
16,100,17.792655
10,100,18.54639
16,100,19.32343
6,100,19.583231
13,100,20.616185
12,100,21.391296
13,100,22.177057
18,100,22.424061
17,100,23.19884
20,100,23.943159
12,100,24.695548
11,100,25.439208
17,100,25.690824
23,100,26.48997
21,100,27.243193
13,100,28.174214
22,100,29.097384
9,100,29.364768
16,100,30.316713
13,100,31.070236
11,100,31.813495
16,100,32.062745
19,100,32.815873
17,100,33.568522
22,100,34.335843
14,100,35.076559
11,100,35.326584
16,100,36.090889
14,100,36.842877
12,100,37.585673
16,100,37.836746
13,100,38.618173
22,100,39.430184
19,100,40.176814
14,100,40.91473
11,100,41.168675
16,100,41.923607
24,100,42.873208
15,100,43.613419
18,100,43.861992
18,100,44.623475
16,100,45.372275
18,100,46.118912
14,100,46.850666
13,100,47.102987
17,100,47.89924
15,100,48.651692
15,100,49.388229
14,100,50.131892
18,100,50.389348
14,100,51.145478
16,100,51.915491
18,100,52.841758
17,100,53.100765
16,100,54.050627
19,100,54.826553
15,100,55.569626
10,100,56.313532
20,100,56.569518
22,100,57.527179
9,100,58.281154
16,100,59.047623
15,100,59.298605
17,100,60.112648
18,100,61.158149
12,100,61.931067
15,100,62.733592
10,100,62.987578
21,100,63.805857
11,100,64.557765
9,100,65.324756
17,100,65.570449
13,100,66.327646
12,100,67.078494
16,100,67.873487
20,100,68.61053
12,100,68.850044
20,100,69.623978
15,100,70.37544
21,100,71.111163
17,100,71.852373
19,100,72.112019
22,100,72.877276
19,100,73.683581
16,100,74.454373
19,100,74.742092
17,100,75.599254
19,100,76.353283
21,100,77.097476
21,100,77.836969
23,100,78.090111
17,100,78.893965
18,100,79.662843
21,100,80.403064
20,100,80.65635
14,100,81.414567
24,100,82.227832
16,100,82.970623
14,100,83.724593
29,100,83.977382
11,100,84.760063
21,100,85.568925
19,100,86.304764
20,100,86.551223
21,100,87.346626
21,100,90.033198
19,100,90.795384
19,100,91.611384
28,100,91.867688
25,100,92.620942
22,100,93.399271
32,100,94.374805
25,100,95.113738
27,100,95.376738
20,100,96.139524
20,100,96.895085
19,100,97.632398
22,100,97.886306
26,100,98.668082
27,100,99.42504
35,100,100.171291
22,100,100.917217
28,100,101.168448
27,100,101.922402
17,100,102.675802
19,100,103.414661
19,100,103.667167
23,100,104.42767
27,100,105.377842
26,100,106.130388
24,100,106.90935
27,100,107.16043
27,100,107.968984
34,100,108.717891
25,100,109.462275
29,100,109.711526
26,100,110.456486
34,100,111.265763
32,100,112.04168
30,100,112.788221
24,100,113.04004
29,100,113.823092
28,100,114.604012
25,100,115.38824
30,100,116.129974
34,100,116.38715
36,100,117.171172
29,100,117.95453
19,100,118.710166
31,100,118.964998
42,100,119.742986
23,100,120.692153
30,100,121.440872
18,100,122.186436
32,100,122.44244
36,100,123.238254
31,100,124.002339
27,100,124.765651
30,100,125.019778
33,100,125.775557
30,100,126.623007
28,100,127.375007
38,100,128.115865
29,100,128.370118
35,100,129.138725
28,100,129.884597
28,100,130.646399
24,100,130.89711
33,100,131.705644
35,100,132.46014
26,100,133.239547
28,100,133.976289
26,100,134.22421
28,100,135.005559
24,100,135.820705
31,100,136.663322
28,100,137.426389
30,100,137.673957
33,100,138.676699
33,100,139.483495
34,100,140.407702
28,100,140.66333
31,100,141.446074
37,100,142.200691
19,100,142.967467
31,100,143.730543
29,100,143.977376
33,100,144.737936
30,100,145.491857
28,100,146.423805
33,100,146.671123
33,100,147.431729
31,100,148.377115
31,100,149.128052
36,100,149.908146
29,100,150.170379
27,100,150.922463
33,100,151.904077
33,100,152.652408
28,100,152.902636
30,100,153.661382
34,100,154.415745
35,100,155.166338
38,100,155.908696
34,100,156.161681
30,100,156.920147
30,100,157.708892
29,100,158.456106
24,100,159.251528
34,100,159.509553
31,100,160.268205
28,100,161.047682
29,100,161.994959
37,100,162.255716
30,100,163.210042
29,100,163.965527
32,100,164.711803
34,100,165.454427
32,100,165.705168
26,100,166.488018
34,100,167.237667
30,100,168.000362
30,100,168.250876
25,100,169.003669
32,100,169.753978
31,100,170.502623
25,100,171.239401
27,100,171.496332
37,100,172.252979
27,100,173.271908
30,100,174.004555
22,100,174.24537
31,100,175.01883
32,100,175.808055
32,100,176.561583
31,100,177.300857
34,100,177.54962
28,100,178.321609
29,100,179.068982
29,100,179.81013
34,100,180.555365
36,100,180.810246
33,100,181.570179
36,100,182.353213
37,100,183.395867
32,100,183.656346
29,100,184.60999
28,100,185.361377
33,100,186.181153
32,100,187.110316
24,100,187.37361
28,100,188.327107
21,100,189.075621
28,100,190.106256
32,100,190.353156
30,100,191.14956
25,100,191.954659
35,100,192.710974
36,100,193.446318
25,100,193.698871
25,100,194.502149
32,100,195.318887
29,100,196.111645
32,100,196.358415
32,100,197.115983
28,100,197.866581
31,100,198.612328
22,100,199.382402
32,100,199.639039
34,100,200.397622
29,100,201.2055
28,100,202.02992
32,100,202.772559
23,100,203.025998
29,100,203.789952
28,100,204.544083
20,100,205.280316
32,100,205.535116
32,100,206.290313
34,100,207.232331
18,100,207.973405
31,100,208.717512
24,100,208.972838
29,100,209.731542
32,100,210.803611
27,100,211.542085
25,100,211.788723
26,100,212.543483
