#{"t_start": 1617160204.0634334, "env_id": "PongNoFrameskip-v4"}
r,l,t
-19.0,1120,46.511776
-21.0,873,86.651526
-21.0,779,121.306479
-20.0,1125,172.263112
-21.0,894,212.196262
-21.0,822,246.782061
-20.0,928,287.720209
-21.0,873,328.259171
-21.0,776,362.877915
-21.0,929,408.48897
-20.0,893,448.605692
-21.0,926,489.283595
-20.0,1024,535.733548
-19.0,997,581.872108
-21.0,825,616.804921
-20.0,934,657.078723
-20.0,865,696.79884
-20.0,837,731.849374
-21.0,820,770.451481
-21.0,897,810.471945
-21.0,788,845.464235
-21.0,764,879.208091
-21.0,882,919.168186
-20.0,917,959.719353
-21.0,792,994.225167
-21.0,969,1040.050742
-21.0,999,1085.542477
-20.0,835,1120.397734
-20.0,986,1166.485293
-19.0,958,1206.50626
-20.0,957,1251.471313
-20.0,974,1292.340398
-21.0,864,1332.580868
-21.0,824,1367.774352
-19.0,1055,1418.490646
-20.0,1096,1464.342899
-21.0,881,1503.809311
-20.0,862,1542.826343
-20.0,913,1583.916068
-20.0,932,1624.583564
-21.0,817,1659.869891
-20.0,835,1699.367357
-20.0,832,1735.061477
-21.0,780,1774.463558
-19.0,1024,1819.630011
-21.0,818,1854.666328
-21.0,998,1900.696628
-20.0,840,1935.223974
-20.0,983,1980.902764
-19.0,917,2022.519319
-21.0,787,2058.505198
-21.0,779,2093.145722
-21.0,822,2132.63224
-20.0,1037,2178.989138
-20.0,972,2220.027691
-21.0,881,2260.196181
-21.0,908,2300.645195
-20.0,869,2340.128921
-19.0,956,2385.800279
-21.0,820,2421.180344
-21.0,781,2455.045271
-19.0,1052,2500.542251
-18.0,1128,2552.272449
-21.0,968,2597.300637
-21.0,821,2632.720917
-21.0,782,2667.549672
-21.0,909,2708.015607
-21.0,836,2748.324907
-19.0,1000,2790.642368
-21.0,942,2835.519784
-21.0,997,2881.659352
-21.0,847,2916.618351
-20.0,1017,2962.65451
-17.0,1410,3026.088753
-19.0,1420,3089.503325
-17.0,1999,3181.564018
-19.0,1716,3256.353272
-19.0,1434,3320.379474
-18.0,1805,3400.90552
-20.0,1546,3469.446532
-20.0,1826,3554.535121
-19.0,2237,3653.579134
-18.0,2299,3757.168036
-20.0,1909,3843.157238
-18.0,2182,3941.858728
-20.0,2778,4068.206431
-17.0,2358,4173.429362
-18.0,2447,4281.720775
-15.0,2599,4401.510688
-20.0,2114,4493.743602
-17.0,2329,4598.174644
-16.0,2481,4712.166232
-15.0,2528,4821.186874
-14.0,2951,4952.971123
-21.0,2901,5084.615102
-19.0,2223,5182.74342
-18.0,3078,5320.612495
-14.0,3375,5475.561662
-15.0,2427,5584.774168
-16.0,2592,5699.882785
-17.0,2566,5814.431416
-17.0,2147,5912.615414
-18.0,2308,6015.174401
-17.0,2334,6118.924865
-15.0,3465,6274.702569
-19.0,2247,6376.645348
-16.0,2677,6492.159797
-11.0,2878,6622.522621
-12.0,3036,6758.833897
-11.0,3181,6898.120793
-14.0,3064,7036.487973
-11.0,3494,7195.09358
-12.0,3611,7355.919745
-4.0,4014,7533.725605
-12.0,2970,7665.745159
-7.0,3977,7841.654879
-8.0,3285,7990.690131
1.0,4090,8172.783061
-1.0,3756,8337.90486
-2.0,4042,8519.712991
-14.0,2357,8623.641102
-5.0,3485,8783.065635
-13.0,2270,8881.092457
-18.0,2082,8971.930708
-12.0,2731,9096.985973
-2.0,4492,9296.137404
-1.0,3841,9467.686239
-10.0,2887,9592.824802
-10.0,2306,9695.270708
-16.0,2387,9803.891716
-13.0,2612,9917.897091
11.0,3718,10084.579337
7.0,4105,10270.396568
4.0,3476,10424.622271
5.0,4672,10631.290519
6.0,3870,10803.927103
-6.0,4674,11014.852275
8.0,4052,11197.19822
7.0,3894,11369.629062
7.0,3869,11541.039405
-1.0,3859,11712.932616
9.0,3154,11853.542823
8.0,3587,12011.815039
14.0,2890,12137.856423
8.0,3756,12306.931353
