#{"t_start": 1617160198.8560956, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,956,80.043378
-20.0,924,159.749646
-19.0,1141,265.758319
-20.0,943,349.110576
-19.0,1127,451.189191
-21.0,945,545.063052
-19.0,1130,641.574957
-21.0,792,722.262346
-21.0,842,791.756784
-20.0,922,874.06523
-21.0,818,956.202723
-20.0,980,1042.71384
-21.0,779,1111.60002
-20.0,899,1194.005116
-21.0,819,1275.102485
-21.0,776,1347.04325
-20.0,913,1431.612288
-21.0,825,1505.318368
-20.0,1042,1599.535772
-19.0,1076,1707.323832
-21.0,880,1790.472476
-20.0,842,1863.749076
-21.0,937,1956.677461
-20.0,929,2039.827521
-20.0,1059,2134.569162
-20.0,920,2222.5378
-19.0,933,2315.410843
-21.0,1001,2401.936434
-19.0,1088,2507.279
-19.0,979,2593.155515
-19.0,1082,2690.959254
-19.0,961,2775.010488
-21.0,882,2858.859632
-21.0,822,2944.543087
-20.0,835,3014.066724
-20.0,976,3105.730142
-19.0,990,3201.105892
-19.0,1024,3298.952199
-21.0,792,3367.982225
-20.0,859,3438.218041
-20.0,914,3518.371429
-20.0,917,3610.245556
-19.0,1163,3717.395362
-20.0,961,3800.363302
-21.0,1150,3906.477608
-20.0,1037,4003.378651
-21.0,990,4093.588983
-20.0,1140,4195.722983
-21.0,823,4265.074479
-20.0,980,4357.682748
-21.0,849,4438.609087
-21.0,941,4521.52096
-20.0,888,4603.077559
-21.0,792,4673.363702
-20.0,1076,4771.193485
-21.0,839,4851.300952
-21.0,822,4920.463878
-21.0,776,4995.017314
-21.0,788,5068.624588
-20.0,943,5158.035508
-21.0,1028,5252.233184
-20.0,1039,5347.641382
-20.0,835,5419.106407
-21.0,790,5497.801378
-20.0,837,5567.196022
-21.0,847,5647.461847
-20.0,986,5732.185762
-20.0,841,5807.480572
-21.0,776,5875.786746
-21.0,928,5956.212298
-19.0,977,6050.467736
-19.0,936,6129.55601
-21.0,902,6210.081856
-21.0,790,6280.537518
-20.0,839,6365.787764
-20.0,975,6462.101172
-19.0,1029,6560.441045
-21.0,776,6633.599586
-21.0,823,6707.214905
-21.0,1131,6816.060182
-20.0,933,6903.346079
-20.0,963,7000.399747
-21.0,877,7077.394799
-21.0,824,7162.840918
-19.0,945,7250.984705
-21.0,822,7333.450838
-20.0,902,7419.726986
-20.0,867,7492.460575
-21.0,776,7565.49081
-20.0,957,7658.275772
-20.0,1075,7757.21006
-20.0,918,7844.125786
-20.0,1013,7944.263924
-21.0,776,8018.30425
-20.0,1079,8127.016755
-19.0,1113,8237.609239
-18.0,1388,8361.764864
-20.0,1076,8471.508485
-18.0,1120,8572.890383
-15.0,1520,8720.974833
-20.0,990,8821.266192
-20.0,1133,8932.380599
-19.0,1307,9048.680121
-17.0,1530,9199.599076
-18.0,1899,9387.798566
-20.0,1206,9501.722053
-20.0,1698,9667.002781
-18.0,1762,9841.041114
-19.0,2142,10054.215871
-16.0,1943,10246.008265
-12.0,2288,10470.860057
-15.0,2421,10711.30584
-20.0,1864,10884.488041
-16.0,2053,11090.571089
-16.0,2251,11320.409875
-18.0,1925,11515.649771
-18.0,1901,11707.341753
-10.0,2702,11978.003832
-20.0,2118,12194.830581
-21.0,1432,12332.049455
-20.0,1599,12476.344477
-4.0,3587,12814.370071
-13.0,2304,13035.189482
-7.0,2681,13298.167741
-3.0,2961,13593.354169
-6.0,3242,13928.008482
-18.0,2114,14135.804997
-10.0,3081,14443.856311
-3.0,3696,14812.166945
-1.0,4042,15205.817604
-15.0,2372,15447.850701
