#{"t_start": 1617284920.2438235, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,892,22.634452
-21.0,786,37.427877
-20.0,938,52.677988
-21.0,806,65.200995
-21.0,935,79.974734
-20.0,1108,99.337447
-19.0,953,116.378681
-20.0,915,130.632065
-19.0,1119,148.226444
-18.0,1235,168.4318
-20.0,855,181.853176
-20.0,837,194.839944
-21.0,782,207.26721
-21.0,860,221.199959
-19.0,986,237.801067
-19.0,928,252.30427
-20.0,1064,271.028808
-21.0,823,287.100827
-20.0,987,303.398557
-20.0,963,318.85073
-20.0,981,334.318214
-19.0,935,349.466749
-20.0,897,363.968455
-20.0,839,377.291338
-21.0,818,390.495575
-20.0,839,403.542674
-20.0,953,421.067812
-21.0,775,433.426201
-20.0,892,447.694254
-20.0,980,463.164992
-21.0,805,476.278421
-20.0,1021,492.670586
-19.0,930,507.464282
-21.0,920,525.581834
-20.0,1017,547.165748
-20.0,965,562.394769
-21.0,821,575.784309
-21.0,849,589.004942
-21.0,777,601.654463
-20.0,1042,618.85146
-21.0,864,632.350349
-20.0,1012,648.535735
-19.0,1074,666.021975
-19.0,1181,686.727119
-21.0,818,702.968408
-21.0,786,715.214648
-21.0,785,727.570595
-20.0,840,740.869998
-21.0,841,754.037284
-20.0,833,766.562956
-21.0,907,780.436843
-20.0,867,793.835511
-21.0,849,806.612332
-21.0,869,820.126183
-21.0,985,835.432869
-20.0,893,849.202652
-21.0,841,862.049285
-21.0,900,875.679373
-20.0,839,888.766576
-21.0,788,900.721709
-20.0,1076,917.467947
-21.0,964,932.030796
-21.0,840,945.046994
-19.0,977,959.585286
-21.0,985,975.148807
-21.0,842,987.757616
-20.0,930,1002.369589
-20.0,864,1014.981735
-21.0,891,1028.588906
-21.0,779,1040.608189
-20.0,927,1055.127857
-19.0,984,1069.706892
-20.0,941,1084.286912
-20.0,1214,1102.553228
-18.0,1215,1121.272382
-20.0,1206,1139.334766
-19.0,1253,1158.43721
-16.0,1448,1182.690387
-14.0,1589,1206.775037
-16.0,1514,1229.820478
-19.0,1661,1254.84011
-19.0,1570,1279.080121
-13.0,1789,1305.607887
-13.0,1841,1333.908467
-21.0,1398,1355.660954
-10.0,2152,1388.130171
-20.0,1420,1409.549036
-21.0,1192,1427.332645
-7.0,2153,1459.815601
-18.0,1603,1483.836987
-18.0,1630,1508.559657
-2.0,2421,1545.359334
-21.0,1144,1562.36242
-4.0,2348,1599.099654
-5.0,2303,1633.726469
-10.0,2037,1664.648882
-20.0,1325,1684.412083
-8.0,2172,1717.187082
-16.0,1444,1739.324716
-4.0,2674,1779.142959
-5.0,2462,1816.633442
-6.0,2383,1852.178827
-14.0,1500,1875.062621
-1.0,2806,1917.47532
-7.0,2459,1954.321809
-2.0,3216,2002.455102
-5.0,2735,2043.156275
-5.0,2787,2085.075547
1.0,3276,2134.477072
1.0,2988,2179.358333
-4.0,2710,2220.170157
6.0,2889,2263.667555
-4.0,2619,2302.640316
8.0,2518,2340.449085
-6.0,2893,2384.07604
-2.0,3657,2438.226299
-1.0,3648,2492.88268
6.0,3094,2539.176013
10.0,2686,2579.636289
6.0,2949,2625.376963
4.0,3281,2682.525517
7.0,3215,2730.875822
1.0,3530,2788.447057
3.0,3536,2850.559686
1.0,3628,3261.460437
13.0,2607,3303.405986
10.0,2682,3344.867003
3.0,3425,3401.223956
2.0,3361,3452.39008
6.0,3385,3506.801863
6.0,3247,3559.700328
17.0,2485,3596.902245
15.0,2611,3636.754683
11.0,2718,3677.571539
16.0,2429,3714.418063
10.0,2966,3759.323821
3.0,3500,3812.399637
8.0,3353,3863.896542
14.0,2472,3901.226043
6.0,3059,3949.05638
6.0,3336,4002.749276
11.0,2597,4042.064669
14.0,2513,4080.277874
