#{"t_start": 1617366438.8909214, "env_id": null}
r,l,t
6,100,0.104024
8,100,0.275062
7,100,0.440099
10,100,0.605136
11,100,0.706159
6,100,0.872197
3,100,1.038234
4,100,1.202271
14,100,1.37131
8,100,1.480334
13,100,1.645371
14,100,1.810409
11,100,1.972445
7,100,2.073468
13,100,2.237505
8,100,2.404543
6,100,2.571581
8,100,2.733617
15,100,2.83664
9,100,3.002678
9,100,3.168715
11,100,3.333753
8,100,3.434777
7,100,3.599812
6,100,3.763851
19,100,3.925887
11,100,4.088924
9,100,4.189947
16,100,4.350983
14,100,4.51402
9,100,4.679057
11,100,4.78008
22,100,4.942116
8,100,5.103153
9,100,5.266189
11,100,5.429226
16,100,5.530249
12,100,5.692286
16,100,5.856323
12,100,6.02136
13,100,6.185397
20,100,6.28642
14,100,6.448457
15,100,6.611493
14,100,6.777531
10,100,6.882555
15,100,7.048592
20,100,7.212629
16,100,7.374666
12,100,7.537702
17,100,7.638725
16,100,7.808763
16,100,7.9718
17,100,8.132835
21,100,8.24086
20,100,8.406897
15,100,8.568934
18,100,8.733971
22,100,8.898008
22,100,8.999031
17,100,9.167068
14,100,9.336107
14,100,9.505145
14,100,9.607168
22,100,9.777206
18,100,9.949245
21,100,10.112282
12,100,10.274318
15,100,10.382343
16,100,10.561384
18,100,10.746343
17,100,10.913381
10,100,11.08042
15,100,11.181441
14,100,11.344478
17,100,11.511516
19,100,11.678553
23,100,11.782577
21,100,11.949615
20,100,12.114652
12,100,12.28469
22,100,12.452728
10,100,12.554751
20,100,12.743794
16,100,12.925836
15,100,13.098875
14,100,13.199898
24,100,13.367936
30,100,13.530972
17,100,13.693009
17,100,13.862047
22,100,13.970072
14,100,14.18412
25,100,14.358158
13,100,14.5422
18,100,14.646224
23,100,14.813262
14,100,14.977299
16,100,15.145337
17,100,15.312374
11,100,15.417398
17,100,15.580435
17,100,15.745473
25,100,15.910509
17,100,16.074547
14,100,16.17657
23,100,16.341172
15,100,16.506209
20,100,16.670246
25,100,16.771269
27,100,16.934306
24,100,17.097342
17,100,17.260379
15,100,17.423416
21,100,17.525439
22,100,17.689476
20,100,17.855512
12,100,18.017549
20,100,18.118571
15,100,18.280608
24,100,18.444645
20,100,18.608682
19,100,18.772719
23,100,18.873742
16,100,19.037779
20,100,19.202816
26,100,19.370854
20,100,19.474878
23,100,19.637914
17,100,19.804952
16,100,19.969989
25,100,20.132026
22,100,20.233048
30,100,20.398086
20,100,20.562123
26,100,20.72516
13,100,20.890197
15,100,20.99122
25,100,21.155257
24,100,21.320295
16,100,21.484331
22,100,21.586354
24,100,21.752392
21,100,21.914428
25,100,22.087469
20,100,22.25851
28,100,22.360533
20,100,22.52357
17,100,22.686607
23,100,22.850645
17,100,22.950668
15,100,23.113704
21,100,23.275741
20,100,23.437777
29,100,23.599813
19,100,23.700837
19,100,23.862873
22,100,24.02491
15,100,24.185946
21,100,24.286969
17,100,24.449006
28,100,24.610042
25,100,24.774079
18,100,24.936115
26,100,25.037138
23,100,25.200175
18,100,25.362212
18,100,25.526248
23,100,25.688285
22,100,25.790308
26,100,25.951345
23,100,26.113381
26,100,26.276418
19,100,26.376441
14,100,26.537477
20,100,26.698513
20,100,26.85955
23,100,27.020586
19,100,27.121609
23,100,27.283645
14,100,27.444682
22,100,27.608717
22,100,27.70974
17,100,27.873777
22,100,28.042815
25,100,28.210853
18,100,28.377892
24,100,28.477913
21,100,28.643951
18,100,28.81699
12,100,28.985028
17,100,29.092052
29,100,29.26209
24,100,29.433129
26,100,29.602168
25,100,29.769205
22,100,29.870228
17,100,30.050269
13,100,30.225308
19,100,30.403349
18,100,30.576388
29,100,30.67741
18,100,30.840446
12,100,31.004483
20,100,31.173523
26,100,31.279546
21,100,31.442582
20,100,31.61062
14,100,31.775658
20,100,31.939695
24,100,32.043718
26,100,32.208755
18,100,32.375793
20,100,32.539831
29,100,32.640854
24,100,32.806891
27,100,32.969928
13,100,33.139966
20,100,33.304004
23,100,33.406027
23,100,33.569063
30,100,33.7311
22,100,33.896137
25,100,34.002161
25,100,34.167199
22,100,34.330235
25,100,34.495273
24,100,34.663311
