#{"t_start": 1617305477.9044507, "env_id": null}
r,l,t
11,100,0.748099
8,100,1.668592
15,100,2.543477
8,100,3.426995
9,100,3.685615
4,100,4.614035
15,100,5.507398
11,100,6.462815
16,100,7.374695
9,100,7.637204
13,100,8.552682
8,100,9.537456
6,100,10.364904
12,100,10.591422
19,100,11.264638
18,100,11.974825
12,100,12.677041
8,100,13.507874
10,100,13.745692
14,100,14.633339
30,100,15.304558
9,100,15.965979
11,100,16.191744
8,100,17.131699
9,100,18.025161
12,100,18.922655
12,100,19.634773
13,100,19.855372
20,100,20.529127
8,100,21.203371
11,100,22.03909
18,100,22.344841
10,100,23.135461
15,100,23.811755
21,100,24.761375
14,100,25.621235
22,100,25.918236
25,100,26.684525
13,100,27.362118
11,100,28.088705
15,100,28.955496
16,100,29.183193
16,100,29.879004
13,100,30.57901
15,100,31.255394
11,100,31.483812
18,100,32.201193
7,100,33.14991
12,100,34.063264
13,100,34.760186
14,100,35.018018
12,100,35.705915
15,100,36.438229
22,100,37.133841
10,100,37.391257
11,100,38.177649
7,100,38.8643
14,100,39.540654
12,100,40.207359
6,100,40.423484
12,100,41.198624
5,100,41.889958
19,100,42.572207
15,100,42.781025
8,100,43.653702
14,100,44.319561
14,100,45.237274
13,100,45.917757
13,100,46.226124
9,100,47.021289
9,100,47.868826
20,100,48.940087
18,100,50.030627
13,100,50.339586
19,100,51.093067
13,100,51.782581
16,100,52.811735
14,100,53.053816
10,100,53.76908
18,100,54.446509
17,100,55.117088
14,100,55.783458
16,100,56.016917
19,100,56.699692
12,100,57.375189
23,100,58.170726
16,100,58.445355
13,100,59.125696
15,100,59.814899
21,100,60.544556
15,100,61.321963
21,100,61.635611
12,100,62.427354
17,100,63.343955
15,100,64.013623
20,100,64.234669
13,100,64.907558
16,100,65.658642
20,100,66.414098
22,100,67.201946
15,100,67.424529
20,100,68.125137
17,100,69.08883
17,100,69.779027
15,100,70.445797
12,100,70.779827
17,100,71.581011
20,100,72.284445
17,100,73.020036
14,100,73.23296
15,100,73.904335
10,100,74.578331
23,100,75.351297
14,100,76.116989
18,100,76.341265
13,100,77.069026
17,100,77.76333
19,100,78.583792
16,100,78.806079
21,100,79.52181
18,100,80.251432
16,100,80.9571
17,100,81.644609
18,100,81.91403
26,100,82.76
19,100,83.737606
20,100,84.410093
8,100,84.622785
14,100,85.327762
20,100,85.991278
14,100,86.668987
22,100,87.476939
22,100,87.725974
18,100,88.628027
21,100,89.339808
24,100,90.04441
18,100,90.713573
21,100,90.943733
15,100,91.619531
26,100,92.519393
26,100,93.273062
17,100,93.51586
24,100,94.230111
12,100,95.032361
20,100,95.744482
18,100,96.447948
18,100,96.68993
17,100,97.449039
12,100,98.362367
20,100,99.050658
21,100,99.26953
23,100,99.936404
21,100,100.660734
19,100,101.632544
20,100,102.46688
17,100,102.691621
23,100,103.4044
18,100,104.07956
26,100,104.76073
21,100,104.973612
19,100,105.726941
21,100,106.438286
21,100,107.118063
22,100,107.792112
21,100,108.051557
19,100,109.051362
19,100,109.783115
24,100,110.468882
23,100,111.129536
15,100,111.361166
25,100,112.041012
23,100,112.774269
27,100,113.666639
25,100,113.91016
18,100,114.64355
18,100,115.480016
20,100,116.165695
16,100,117.199992
23,100,117.44985
20,100,118.304542
23,100,118.976303
28,100,119.666859
18,100,119.881593
23,100,120.598355
22,100,121.546484
20,100,122.503002
22,100,123.308916
18,100,123.559663
18,100,124.257339
27,100,124.929076
21,100,125.604566
27,100,125.943307
19,100,126.697571
30,100,127.382878
24,100,128.072108
27,100,128.735006
22,100,128.960641
28,100,129.625004
29,100,130.316056
15,100,130.9903
25,100,131.66586
18,100,131.881165
27,100,132.596136
17,100,133.316797
13,100,133.986161
30,100,134.228334
20,100,134.908276
28,100,135.595022
15,100,136.268794
18,100,137.106736
26,100,137.344801
19,100,138.05107
23,100,138.835457
23,100,139.509254
24,100,139.720966
15,100,140.411702
33,100,141.119601
24,100,141.776399
17,100,142.443043
17,100,142.656442
20,100,143.329253
20,100,144.020679
20,100,144.708739
25,100,144.923344
14,100,145.576053
13,100,146.239746
20,100,146.905629
15,100,147.5866
25,100,147.823892
21,100,148.505823
25,100,149.182869
21,100,149.855988
22,100,150.741417
19,100,151.006048
24,100,151.76212
32,100,152.682342
18,100,153.585689
16,100,153.824392
18,100,154.695255
18,100,155.39217
27,100,156.47135
21,100,157.381402
21,100,157.654463
22,100,158.345709
28,100,159.017388
23,100,159.678936
23,100,159.897257
28,100,160.583396
14,100,161.253627
23,100,161.927511
29,100,162.596439
18,100,162.822483
31,100,163.502544
32,100,164.178915
26,100,164.848268
29,100,165.070098
23,100,165.751009
22,100,166.909633
32,100,167.797775
27,100,168.543556
30,100,168.821079
27,100,169.510876
