#{"t_start": 1617386190.908899, "env_id": null}
r,l,t
9,100,0.261058
12,100,0.775175
9,100,1.291291
14,100,1.797405
5,100,1.918433
9,100,2.43655
7,100,2.948665
8,100,3.452779
14,100,3.949891
12,100,4.060916
8,100,4.56503
7,100,5.075145
8,100,5.578259
19,100,5.698286
16,100,6.249409
9,100,6.771528
11,100,7.295646
19,100,7.817764
14,100,7.93479
17,100,8.454917
10,100,8.990037
18,100,9.558516
18,100,9.683545
15,100,10.19466
16,100,10.701775
6,100,11.21389
9,100,11.716003
16,100,11.829029
14,100,12.337143
16,100,12.837256
15,100,13.345371
12,100,13.461396
15,100,13.965511
17,100,14.462623
6,100,14.962735
9,100,15.460848
18,100,15.572874
15,100,16.073987
5,100,16.574099
8,100,17.073212
17,100,17.570324
16,100,17.683349
14,100,18.185463
24,100,18.719584
16,100,19.218696
13,100,19.332721
9,100,19.835836
7,100,20.331948
11,100,20.83206
15,100,21.330172
21,100,21.440198
13,100,21.946311
18,100,22.473431
17,100,22.975544
17,100,23.097571
12,100,23.619689
17,100,24.133805
13,100,24.64092
24,100,25.144032
14,100,25.256059
13,100,25.806183
23,100,26.311297
21,100,26.817411
12,100,26.935438
8,100,27.438551
18,100,27.947666
18,100,30.616742
16,100,31.128857
17,100,31.253886
19,100,31.768001
12,100,32.265114
17,100,32.775229
12,100,33.291345
17,100,33.419374
19,100,33.954511
17,100,34.479629
13,100,34.984743
16,100,35.094768
20,100,35.598881
17,100,36.096994
18,100,36.598107
19,100,37.094219
14,100,37.205244
15,100,37.708358
22,100,38.240478
17,100,38.764596
18,100,38.885623
13,100,39.427746
17,100,40.010068
14,100,40.597421
22,100,41.181622
24,100,41.309403
16,100,41.904896
13,100,42.499964
14,100,43.082914
23,100,43.220634
24,100,43.803209
20,100,44.386845
12,100,44.964724
19,100,45.547778
23,100,45.677364
17,100,46.255745
22,100,46.829845
16,100,47.413997
14,100,47.986822
17,100,48.112797
24,100,48.66963
20,100,49.221602
23,100,49.780622
24,100,49.909316
16,100,50.500794
19,100,51.098958
25,100,51.654224
20,100,52.199904
18,100,52.321964
18,100,52.846846
25,100,53.367834
23,100,53.904837
27,100,54.042371
19,100,54.586952
22,100,55.119874
15,100,55.64072
19,100,56.158699
17,100,56.273865
22,100,56.788665
21,100,57.293223
17,100,57.802347
16,100,57.916717
17,100,58.429164
16,100,58.946306
21,100,59.45513
20,100,59.969226
17,100,60.090314
16,100,60.609476
23,100,61.123937
21,100,61.637436
27,100,62.139059
19,100,62.255086
23,100,62.757198
20,100,63.261312
22,100,63.773428
21,100,63.889454
21,100,64.398569
23,100,64.904683
15,100,65.404796
17,100,65.906909
16,100,66.018934
19,100,66.524048
22,100,67.024161
19,100,67.535277
20,100,67.648302
25,100,68.154416
17,100,68.661531
21,100,69.178648
14,100,69.679761
23,100,69.801788
17,100,70.336909
24,100,70.866028
22,100,71.375144
24,100,71.49217
23,100,71.997284
21,100,72.503398
18,100,73.008512
15,100,73.518628
25,100,73.634654
21,100,74.135766
24,100,74.63788
26,100,75.135993
22,100,75.639106
28,100,75.756132
22,100,76.270248
27,100,76.785365
19,100,77.288477
26,100,77.404505
29,100,77.911618
24,100,78.419733
17,100,78.928848
21,100,79.432961
26,100,79.543986
21,100,80.0461
17,100,80.559215
25,100,81.057328
25,100,81.167353
24,100,81.672467
26,100,82.181581
18,100,82.688697
26,100,83.189809
20,100,83.302835
17,100,83.806948
21,100,84.309062
21,100,84.812176
23,100,84.924201
15,100,85.425313
18,100,85.921425
21,100,86.445544
30,100,86.951659
29,100,87.063683
27,100,87.601805
21,100,88.120922
30,100,88.632037
25,100,89.138151
31,100,89.253178
16,100,89.763292
18,100,90.267407
24,100,90.77352
27,100,90.886546
29,100,91.396661
21,100,91.904776
17,100,92.407889
26,100,92.916005
20,100,93.03003
24,100,93.538144
27,100,94.043258
29,100,94.543371
29,100,94.655396
33,100,95.162511
30,100,95.664625
18,100,96.172739
32,100,96.682854
24,100,96.794879
29,100,97.297992
29,100,97.798106
28,100,98.294218
32,100,98.405242
21,100,98.909356
29,100,99.411469
25,100,99.921585
27,100,100.427699
28,100,100.539724
24,100,101.045839
42,100,101.558954
27,100,102.076072
27,100,102.60619
26,100,102.726217
33,100,103.236333
28,100,103.745447
24,100,104.253563
21,100,104.366588
28,100,104.870701
22,100,105.377816
24,100,105.88093
26,100,106.378041
26,100,106.493068
26,100,107.003183
24,100,107.503295
25,100,108.023413
31,100,108.153442
31,100,108.663557
28,100,109.166671
24,100,109.669784
29,100,110.166897
35,100,110.276921
26,100,110.777034
33,100,111.276147
30,100,111.772259
35,100,111.882283
37,100,112.403153
33,100,112.943274
28,100,113.487398
31,100,113.999513
34,100,114.111538
23,100,114.614651
27,100,115.13877
32,100,115.641883
27,100,116.142996
22,100,116.264024
20,100,116.771138
33,100,117.272251
34,100,117.786371
30,100,117.907395
34,100,118.452518
30,100,118.956631
35,100,119.452743
31,100,119.959858
21,100,120.075884
22,100,120.583998
34,100,121.119119
28,100,121.645238
29,100,121.757263
24,100,122.257376
25,100,122.778495
31,100,123.278606
34,100,123.78372
32,100,123.905749
34,100,124.421865
27,100,124.930979
34,100,125.450096
13,100,125.564122
34,100,126.065235
34,100,126.561347
28,100,127.057459
28,100,127.556572
37,100,127.666597
26,100,128.172711
24,100,128.706831
34,100,129.221948
24,100,129.734063
