#{"t_start": 1617226435.0534174, "env_id": null}
r,l,t
10,100,4.364519
5,100,5.172347
15,100,5.927328
18,100,6.711233
10,100,7.185964
10,100,7.899067
17,100,8.615144
10,100,9.356163
16,100,10.100174
9,100,10.601833
14,100,11.486561
13,100,12.240545
13,100,13.077308
12,100,13.550045
12,100,14.339933
16,100,15.2331
14,100,15.998055
23,100,16.81587
16,100,17.251704
13,100,18.035641
16,100,18.802559
16,100,19.509669
14,100,20.007338
14,100,20.787257
9,100,21.537248
14,100,22.3032
15,100,22.97145
18,100,23.40326
19,100,24.08045
20,100,24.73571
7,100,25.397929
11,100,25.822793
13,100,26.477078
9,100,27.140319
10,100,27.796529
15,100,28.469716
13,100,28.898571
13,100,29.581743
13,100,30.238987
12,100,30.991985
17,100,31.649219
18,100,32.076076
9,100,32.832055
15,100,33.495285
8,100,34.160504
14,100,34.585368
21,100,35.256573
19,100,35.923791
16,100,36.593999
17,100,37.260221
20,100,37.693061
14,100,38.366293
17,100,39.033478
16,100,39.69072
15,100,40.118577
20,100,40.79078
13,100,41.454008
21,100,42.113245
11,100,42.780913
11,100,43.316002
21,100,44.064047
22,100,44.729321
15,100,45.399509
21,100,45.827333
12,100,46.502571
16,100,47.16082
19,100,47.825036
16,100,48.517187
16,100,48.94604
13,100,49.677085
17,100,50.347293
10,100,51.002542
15,100,51.717633
17,100,52.209317
11,100,52.959311
15,100,53.70432
9,100,54.369555
16,100,54.79741
13,100,55.474599
11,100,56.137828
19,100,57.016478
13,100,57.837303
15,100,58.33995
15,100,59.050054
13,100,59.793056
11,100,60.542053
15,100,60.986866
17,100,61.745836
16,100,62.483863
20,100,63.222924
14,100,64.008786
18,100,64.533386
19,100,65.323272
13,100,66.125129
19,100,66.808303
16,100,67.298991
21,100,67.992138
19,100,68.662359
17,100,69.34253
19,100,70.013735
15,100,70.455559
19,100,71.13773
18,100,71.793975
14,100,72.460195
15,100,73.121426
20,100,73.556264
13,100,74.23844
18,100,74.8897
11,100,75.638698
12,100,76.120411
20,100,76.821149
16,100,77.492356
12,100,78.192484
11,100,78.916547
15,100,79.381305
16,100,80.1323
15,100,80.83442
20,100,81.530561
15,100,81.996315
16,100,82.705439
17,100,83.36366
10,100,84.016913
17,100,84.677149
19,100,85.103011
15,100,85.78419
15,100,86.451405
18,100,87.141566
14,100,87.573406
18,100,88.239625
15,100,88.982639
26,100,89.694736
18,100,90.377911
13,100,90.805766
21,100,91.523846
26,100,92.262869
18,100,93.008876
17,100,93.704018
21,100,94.14484
25,100,94.831025
19,100,95.581001
15,100,96.272153
16,100,96.758871
13,100,97.458981
24,100,98.131184
16,100,98.798401
15,100,99.526453
25,100,100.001186
20,100,100.761153
21,100,101.554033
19,100,102.270368
25,100,102.749837
27,100,103.510804
19,100,104.220904
16,100,104.958932
13,100,105.686731
22,100,106.128569
19,100,108.001572
22,100,108.757551
26,100,109.520511
23,100,110.001225
29,100,110.699365
22,100,111.447377
24,100,112.216304
18,100,112.967815
26,100,113.434568
21,100,114.16262
30,100,114.858761
14,100,115.560883
22,100,116.303897
27,100,116.756687
19,100,117.517654
23,100,118.20682
27,100,118.884999
27,100,119.33679
23,100,120.022957
24,100,120.693166
21,100,121.410248
19,100,122.107517
27,100,122.554321
28,100,123.232508
20,100,123.890757
27,100,124.582899
20,100,125.017737
19,100,125.840537
23,100,126.592527
28,100,127.248772
29,100,127.913995
30,100,128.349829
33,100,129.029016
27,100,129.709196
20,100,130.379404
14,100,130.812261
29,100,131.488439
26,100,132.164632
28,100,132.838829
22,100,133.511033
20,100,133.949859
26,100,134.640047
30,100,135.315209
29,100,135.997386
25,100,136.671584
30,100,137.10743
24,100,137.833478
25,100,138.508673
24,100,139.180908
25,100,139.617709
35,100,140.311885
32,100,143.345648
24,100,144.09265
25,100,144.901489
35,100,145.384197
30,100,146.128214
30,100,146.852272
30,100,147.61324
29,100,148.045084
23,100,148.849569
25,100,149.517784
31,100,150.250824
31,100,150.930008
27,100,151.366842
32,100,152.052041
28,100,152.709252
30,100,153.383451
21,100,153.818287
28,100,154.494488
27,100,155.164688
28,100,155.839883
31,100,156.506114
27,100,156.941939
28,100,157.624113
34,100,158.299309
33,100,158.965645
19,100,159.678738
20,100,160.122551
25,100,160.80583
32,100,161.468066
32,100,162.218055
31,100,162.652894
25,100,163.416853
30,100,164.115983
33,100,164.768259
32,100,165.446426
29,100,165.871289
25,100,166.551472
32,100,167.218688
27,100,167.870945
36,100,168.30279
29,100,168.981029
29,100,169.64524
30,100,170.309426
21,100,170.965673
31,100,171.406578
29,100,172.072812
26,100,172.733995
33,100,173.400219
30,100,173.838044
29,100,174.506258
27,100,175.171479
28,100,175.839693
37,100,176.513892
30,100,176.949725
24,100,177.629907
35,100,178.298121
24,100,178.958356
28,100,179.622617
27,100,180.048443
34,100,180.732614
31,100,181.394844
28,100,182.063057
28,100,182.492942
28,100,183.22196
37,100,183.923124
29,100,184.578333
37,100,185.277465
28,100,185.742224
28,100,186.455318
32,100,187.114554
24,100,187.768805
32,100,188.201662
31,100,188.886816
36,100,189.549059
34,100,190.219255
26,100,190.886471
26,100,191.324301
34,100,192.008471
31,100,192.667756
30,100,193.330012
45,100,193.834637
37,100,194.503848
31,100,195.216941
32,100,195.929037
33,100,196.639139
23,100,197.186676
32,100,197.986536
27,100,198.756482
36,100,199.416713
37,100,200.082934
33,100,200.52278
26,100,201.218112
27,100,201.921244
26,100,202.603409
39,100,203.050217
39,100,203.745357
35,100,204.430532
32,100,205.207449
21,100,205.984372
24,100,206.437163
31,100,207.152295
35,100,207.835483
32,100,208.544606
30,100,209.073194
25,100,209.84709
36,100,210.611049
30,100,211.419889
28,100,212.249669
27,100,212.73242
33,100,213.479424
26,100,214.342118
33,100,215.028283
30,100,215.472096
31,100,216.201148
39,100,216.897303
29,100,217.634316
32,100,218.421212
29,100,218.932847
29,100,219.665886
27,100,220.358036
27,100,221.03722
28,100,221.817135
24,100,222.273914
32,100,222.97504
33,100,223.709078
30,100,224.428155
24,100,224.868978
35,100,225.576086
26,100,226.264247
41,100,226.9554
27,100,227.651539
36,100,228.093358
32,100,228.801464
27,100,229.589358
27,100,230.347333
39,100,230.810095
31,100,231.615003
32,100,232.472723
30,100,233.280596
29,100,233.967755
28,100,234.481351
28,100,235.20342
27,100,235.961177
32,100,236.661299
29,100,237.190881
26,100,237.886023
27,100,238.634031
32,100,239.453849
25,100,240.402456
24,100,240.997864
31,100,241.997192
33,100,242.784089
32,100,243.504177
28,100,244.350899
35,100,244.867537
36,100,245.666384
31,100,246.643772
29,100,247.352875
27,100,247.796711
37,100,248.513788
27,100,249.222386
27,100,249.914536
34,100,250.599706
22,100,251.048511
31,100,251.752623
37,100,252.425823
26,100,253.11498
34,100,253.557804
34,100,254.342698
29,100,255.050805
33,100,255.74098
18,100,256.42613
37,100,256.875945
36,100,257.573062
31,100,258.283165
37,100,258.981311
26,100,259.447054
34,100,260.14519
32,100,260.886228
28,100,261.696064
32,100,262.450091
37,100,262.933756
27,100,263.666854
30,100,264.487601
27,100,265.195707
28,100,265.914786
34,100,266.366167
31,100,267.085811
27,100,267.776969
30,100,268.464155
31,100,268.905964
41,100,269.613056
15,100,270.29623
34,100,271.077147
32,100,271.933852
28,100,272.401602
30,100,273.338099
30,100,274.110035
32,100,274.832108
30,100,275.328776
24,100,276.205435
31,100,276.995322
28,100,277.891925
27,100,278.611038
21,100,279.091753
26,100,279.895569
31,100,280.707399
29,100,281.484333
29,100,281.982989
28,100,282.733981
23,100,283.550799
33,100,284.262894
29,100,285.120602
30,100,285.64121
18,100,286.428106
25,100,287.193073
25,100,287.916128
29,100,288.70502
28,100,289.22862
19,100,289.948702
33,100,290.664781
28,100,291.398835
28,100,291.848616
35,100,292.57368
28,100,293.300735
34,100,294.007288
29,100,294.730356
32,100,295.218052
37,100,295.961066
29,100,296.66718
33,100,297.421162
30,100,297.886999
22,100,298.65694
33,100,299.372049
31,100,300.111053
29,100,300.827141
25,100,301.319823
31,100,302.084783
29,100,302.869684
38,100,303.61569
36,100,304.089425
30,100,304.862357
28,100,305.724054
36,100,306.46208
34,100,307.259948
22,100,307.753628
22,100,308.502628
31,100,309.19677
31,100,309.912858
28,100,310.673824
30,100,311.143568
24,100,311.87162
31,100,312.586723
37,100,313.297809
36,100,313.767554
31,100,314.532507
22,100,315.23862
26,100,315.982631
22,100,316.697721
26,100,317.138545
35,100,317.930425
36,100,318.655486
31,100,319.495258
31,100,319.962991
30,100,320.892554
34,100,321.744066
27,100,322.435226
31,100,323.13036
32,100,323.580159
27,100,324.281284
25,100,324.963459
26,100,325.65162
39,100,326.106404
31,100,326.813514
27,100,327.534588
26,100,328.316497
34,100,329.03757
29,100,329.512322
22,100,330.225394
29,100,330.937491
23,100,331.667561
26,100,332.469395
32,100,332.934152
25,100,333.646249
35,100,334.351364
31,100,335.028555
19,100,335.473365
35,100,336.166511
32,100,336.86365
36,100,337.572753
34,100,338.269889
25,100,338.749204
25,100,339.468282
28,100,340.178408
26,100,340.908435
29,100,341.475939
31,100,342.308705
21,100,343.073646
37,100,343.827629
39,100,344.577624
33,100,345.042382
28,100,345.815381
25,100,346.552405
33,100,347.272513
35,100,347.77416
38,100,348.858263
23,100,349.872552
32,100,350.565698
27,100,351.233912
31,100,351.681718
39,100,352.556376
39,100,353.300419
40,100,353.991539
38,100,354.719594
31,100,355.188341
29,100,355.948311
40,100,356.643459
39,100,357.316655
32,100,357.764453
45,100,358.456604
33,100,359.120828
34,100,359.775778
31,100,360.448978
42,100,360.876833
30,100,361.675713
32,100,362.393779
40,100,363.096961
28,100,363.561718
39,100,364.275809
33,100,364.950008
28,100,365.660109
30,100,366.350264
44,100,366.791122
30,100,367.47027
35,100,368.117543
21,100,368.782763
29,100,369.235552
37,100,369.908752
33,100,370.585941
32,100,371.274103
27,100,371.968246
33,100,372.43101
29,100,373.269768
30,100,374.065664
39,100,374.767361
34,100,375.515349
32,100,376.075866
39,100,376.863776
27,100,377.667628
31,100,378.355793
31,100,378.811624
28,100,379.575582
36,100,380.306629
28,100,381.077567
33,100,381.764729
30,100,382.28236
40,100,383.031344
36,100,383.715533
33,100,384.389713
30,100,384.817569
34,100,385.530695
34,100,386.254757
34,100,386.996774
37,100,387.683937
38,100,388.165649
35,100,388.884756
34,100,389.551943
33,100,390.227138
36,100,390.676936
31,100,391.552595
27,100,392.378387
31,100,393.288954
32,100,394.096795
33,100,394.577509
34,100,395.269133
22,100,396.064062
32,100,396.787076
40,100,397.488717
30,100,397.975416
34,100,398.763716
36,100,399.601466
34,100,400.497602
28,100,400.956386
34,100,401.838016
47,100,402.638876
29,100,403.355958
29,100,404.084012
29,100,404.547773
33,100,405.408474
35,100,406.23626
38,100,407.04011
28,100,407.603604
36,100,408.537108
34,100,409.304058
21,100,410.213658
31,100,411.038422
33,100,411.567009
28,100,412.287084
33,100,412.956295
32,100,413.733218
34,100,414.21493
23,100,414.948968
33,100,415.720905
37,100,416.484862
27,100,417.37055
31,100,417.929003
31,100,418.62318
41,100,419.436005
36,100,420.11918
33,100,420.854215
29,100,421.311994
31,100,422.111862
27,100,422.805998
37,100,423.591897
31,100,424.10952
35,100,424.916368
28,100,425.718264
37,100,426.596864
32,100,427.464545
33,100,427.917334
38,100,428.761113
33,100,429.44728
29,100,430.128035
32,100,430.5649
28,100,431.240067
34,100,431.909273
36,100,432.574494
32,100,433.234742
35,100,433.705472
33,100,434.403606
33,100,435.14263
34,100,435.817825
38,100,436.336441
27,100,437.219079
31,100,438.047864
40,100,438.949455
33,100,439.850046
29,100,440.422517
34,100,441.280243
38,100,442.17184
33,100,442.929814
38,100,443.839383
