#{"t_start": 1617222629.175917, "env_id": null}
r,l,t
11,100,2.871374
0,100,3.828814
7,100,4.732398
6,100,5.592102
13,100,6.121684
9,100,6.959445
8,100,7.806181
15,100,8.65192
11,100,9.483697
9,100,10.007299
17,100,10.845058
11,100,11.72523
17,100,12.736524
13,100,13.372823
12,100,14.602537
14,100,15.717556
13,100,16.864529
16,100,17.959601
20,100,18.601891
12,100,19.736361
20,100,20.774586
12,100,22.274578
12,100,23.146247
7,100,24.30914
12,100,25.458067
11,100,26.514244
20,100,27.444756
13,100,28.035177
14,100,29.085371
17,100,30.063301
15,100,31.198722
12,100,31.812082
14,100,32.880227
16,100,33.724968
20,100,34.528818
12,100,35.359598
13,100,35.883198
15,100,36.714975
14,100,37.515836
12,100,38.360575
13,100,39.170413
11,100,39.680049
10,100,40.519353
11,100,41.326196
10,100,42.126565
15,100,42.635205
17,100,43.465986
16,100,44.273828
16,100,45.093633
10,100,45.903468
16,100,46.422082
14,100,47.238899
14,100,48.043747
14,100,48.862558
13,100,49.382169
14,100,50.216954
15,100,51.014807
14,100,51.830624
12,100,52.639478
13,100,53.140123
14,100,53.95395
15,100,54.76478
12,100,55.611518
6,100,56.184984
18,100,57.07461
16,100,57.956249
12,100,58.835897
15,100,59.696597
13,100,60.248122
14,100,61.087878
9,100,61.88774
16,100,62.677627
18,100,63.503451
19,100,64.055944
12,100,64.879743
16,100,65.693566
11,100,66.499413
21,100,67.006059
18,100,67.810905
17,100,68.620741
7,100,69.425589
21,100,70.244401
21,100,70.751047
19,100,71.580828
19,100,72.366727
18,100,73.160605
15,100,73.670243
9,100,74.48307
16,100,75.302877
16,100,76.121689
17,100,76.932541
14,100,77.451137
14,100,78.275931
16,100,79.085767
12,100,79.893607
15,100,80.405239
11,100,81.221093
13,100,82.025944
9,100,82.841761
11,100,83.647607
20,100,84.168215
21,100,84.985032
18,100,85.782899
20,100,86.595726
10,100,87.397583
13,100,87.910212
19,100,88.795318
11,100,89.606151
18,100,90.419976
14,100,90.958535
18,100,92.013716
18,100,92.9921
23,100,93.973478
13,100,94.945877
17,100,95.626059
21,100,96.835825
19,100,97.85909
18,100,98.751704
13,100,99.3142
17,100,100.186867
19,100,101.518308
16,100,102.447823
15,100,103.340436
17,100,103.912906
11,100,104.860785
16,100,105.757388
18,100,106.694914
15,100,107.273335
16,100,108.157971
20,100,109.269001
13,100,110.271322
17,100,111.255693
22,100,111.840127
13,100,112.756678
17,100,113.630342
25,100,114.904935
16,100,115.773613
21,100,116.39196
20,100,117.427192
16,100,118.382641
16,100,119.308166
18,100,119.876646
15,100,120.857026
25,100,121.950102
19,100,122.929484
18,100,123.860994
23,100,124.467373
17,100,125.549481
16,100,126.49994
13,100,127.449402
25,100,128.044812
15,100,128.979314
15,100,129.797126
14,100,130.699712
14,100,131.584707
22,100,132.132242
17,100,133.088683
25,100,133.955366
21,100,134.862941
28,100,135.421449
23,100,136.304089
26,100,137.197703
23,100,138.025486
23,100,138.867237
15,100,139.458657
19,100,140.344288
23,100,141.276798
21,100,142.104585
18,100,143.00019
30,100,143.512819
35,100,144.359554
30,100,145.176374
16,100,146.044052
23,100,146.601562
31,100,147.438327
23,100,148.249157
25,100,149.058994
18,100,149.874814
27,100,150.400408
26,100,151.293022
28,100,152.311299
26,100,153.133104
29,100,153.649233
25,100,154.48001
28,100,155.361654
21,100,156.289174
32,100,157.160847
23,100,157.74229
28,100,158.640887
26,100,159.506573
23,100,160.39121
22,100,160.923785
33,100,161.840335
32,100,162.652164
27,100,163.512864
25,100,164.373563
25,100,164.885195
28,100,165.744897
29,100,166.617564
22,100,167.510179
24,100,168.348936
31,100,168.858612
32,100,169.707342
35,100,170.529145
33,100,171.349952
29,100,171.860586
29,100,172.699344
36,100,173.639831
23,100,174.46904
29,100,175.358662
34,100,176.037846
31,100,177.149873
22,100,178.042491
27,100,178.8633
31,100,179.371938
31,100,180.211693
31,100,181.026515
33,100,181.978969
39,100,182.880559
25,100,183.546778
28,100,184.557077
27,100,185.373893
27,100,186.453009
25,100,187.015505
29,100,187.952002
37,100,188.86157
32,100,190.006509
35,100,190.967942
36,100,191.602244
32,100,192.48289
27,100,193.302699
30,100,194.114528
27,100,194.934337
34,100,195.460929
27,100,196.292706
33,100,197.124484
27,100,197.942297
30,100,198.483849
28,100,199.402392
25,100,200.296005
25,100,201.147728
31,100,202.075248
33,100,202.625776
28,100,203.461544
25,100,204.370113
31,100,205.237794
29,100,205.77436
27,100,206.706867
30,100,207.589507
30,100,208.471151
21,100,209.341823
29,100,209.896013
30,100,210.771672
36,100,211.660299
33,100,212.608763
23,100,213.164277
33,100,214.136679
27,100,215.248704
34,100,216.085468
36,100,217.072828
31,100,217.753011
33,100,218.864042
30,100,219.899274
27,100,220.779919
38,100,221.572799
29,100,222.091415
28,100,222.910225
25,100,223.734023
38,100,224.607687
28,100,225.154232
28,100,225.989992
30,100,226.901555
35,100,227.743306
30,100,228.62794
32,100,229.173483
31,100,230.099008
29,100,230.908843
29,100,231.712694
37,100,232.278182
28,100,233.15484
26,100,233.992599
33,100,235.029827
31,100,236.081017
26,100,236.638526
23,100,237.493242
34,100,238.331002
34,100,239.161781
33,100,239.686381
39,100,240.527131
28,100,241.323004
30,100,242.126855
31,100,242.941679
37,100,243.446329
34,100,244.266153
30,100,245.093924
32,100,246.01247
35,100,246.998832
25,100,247.568308
33,100,248.529739
29,100,249.520383
27,100,250.975493
35,100,251.611825
33,100,252.479472
35,100,253.494762
25,100,254.453196
33,100,255.421609
33,100,256.012877
31,100,256.967326
32,100,257.849966
28,100,258.754547
27,100,259.293108
30,100,260.142837
30,100,261.236923
27,100,262.037773
38,100,262.833644
34,100,263.340289
29,100,264.179066
21,100,265.160424
29,100,266.162745
34,100,266.753168
31,100,267.625834
22,100,268.568322
29,100,269.5088
33,100,270.368502
36,100,270.917035
25,100,271.816505
24,100,272.711114
30,100,273.520962
37,100,274.328298
30,100,274.937683
33,100,275.813331
35,100,276.753815
33,100,277.691309
33,100,278.275746
30,100,279.195291
27,100,280.102863
32,100,281.055102
28,100,281.879896
37,100,282.395518
30,100,283.217321
31,100,284.023168
32,100,284.827018
31,100,285.337653
34,100,286.177411
32,100,286.973281
35,100,287.777133
37,100,288.595944
33,100,289.229251
31,100,290.120867
30,100,290.92872
32,100,291.740537
32,100,292.251174
26,100,293.051034
30,100,293.855885
35,100,294.671229
25,100,295.584787
32,100,296.094425
33,100,296.921215
33,100,297.894612
28,100,298.822135
28,100,299.724723
28,100,300.239346
24,100,301.146918
31,100,302.060476
38,100,303.05482
28,100,303.692116
33,100,304.560793
36,100,305.483327
28,100,306.400876
25,100,307.334379
28,100,307.937766
25,100,308.863293
31,100,309.722992
31,100,310.674451
31,100,311.350643
27,100,312.459715
32,100,313.289496
26,100,314.121273
26,100,314.953051
40,100,315.493604
37,100,316.349318
34,100,317.155162
23,100,318.072711
32,100,318.921443
21,100,319.86726
32,100,320.775832
28,100,321.756209
28,100,322.65381
29,100,323.187383
28,100,324.066035
32,100,324.869886
26,100,325.667753
35,100,326.491551
27,100,327.012159
38,100,327.844933
24,100,328.65776
35,100,329.569325
30,100,330.106888
23,100,330.95562
32,100,331.823298
23,100,332.683999
28,100,333.510827
27,100,334.025413
30,100,334.87115
30,100,335.714895
32,100,336.58557
37,100,337.098223
28,100,337.928991
29,100,338.7438
24,100,339.53126
23,100,340.343088
24,100,340.864694
18,100,341.782241
22,100,342.741676
28,100,343.621343
19,100,344.162877
28,100,345.183149
32,100,346.172505
37,100,347.105012
32,100,347.916923
31,100,348.432546
34,100,349.313191
31,100,350.146967
30,100,350.986723
37,100,351.789577
21,100,352.296224
39,100,353.156921
25,100,354.027594
36,100,354.917217
33,100,355.479712
30,100,356.426182
30,100,357.272918
34,100,358.153565
19,100,359.05715
13,100,359.576771
38,100,360.403551
36,100,361.19643
33,100,361.996292
23,100,362.503935
25,100,363.481324
36,100,364.349999
28,100,365.190753
23,100,366.112301
23,100,366.634892
36,100,367.450713
35,100,368.261559
28,100,369.072392
26,100,369.580035
28,100,370.399843
31,100,371.233614
34,100,372.173105
34,100,373.056741
26,100,373.646166
31,100,374.540774
32,100,375.426408
22,100,376.236242
37,100,377.088962
26,100,377.646472
30,100,378.561029
32,100,379.357897
27,100,380.215604
28,100,380.746186
34,100,381.666725
40,100,382.496508
30,100,383.321302
28,100,384.182002
27,100,384.761452
35,100,385.70493
33,100,386.632453
35,100,387.551993
33,100,388.111047
26,100,388.985709
22,100,389.884753
30,100,390.733486
27,100,391.634728
29,100,392.224152
24,100,393.169625
27,100,394.171945
25,100,395.069546
23,100,395.66296
30,100,396.527657
31,100,397.412286
32,100,398.290935
32,100,399.127699
39,100,399.64835
33,100,400.545951
33,100,401.367756
42,100,402.182578
26,100,403.00438
35,100,403.521034
39,100,404.368767
33,100,405.249414
33,100,406.337505
30,100,406.954868
35,100,408.151657
31,100,409.312553
30,100,410.272985
30,100,411.170588
36,100,411.723109
30,100,412.661653
23,100,413.561195
32,100,414.469766
33,100,415.003341
30,100,415.898948
38,100,417.025934
29,100,417.960436
30,100,418.877983
34,100,419.442475
31,100,420.367999
35,100,421.304496
27,100,422.267921
35,100,422.848381
36,100,423.824288
31,100,424.791702
23,100,425.8399
23,100,426.816296
34,100,427.53737
33,100,428.775061
39,100,429.680642
21,100,430.559292
31,100,431.415005
35,100,432.026371
32,100,432.975832
28,100,433.910333
33,100,434.83287
34,100,435.405336
33,100,436.251122
33,100,437.128732
29,100,437.988704
35,100,438.919997
38,100,439.467556
33,100,440.405018
38,100,441.304615
28,100,442.173291
30,100,442.74975
35,100,443.633388
26,100,444.516603
32,100,445.599731
27,100,446.550701
27,100,447.126163
38,100,448.05867
29,100,449.199626
36,100,450.18399
34,100,450.797355
38,100,451.875467
33,100,453.080278
29,100,454.269068
34,100,455.202573
38,100,455.934616
35,100,456.832217
39,100,458.035999
28,100,458.884732
27,100,459.790309
26,100,460.363775
30,100,461.297281
34,100,462.189894
35,100,463.050594
39,100,463.677917
32,100,464.567539
38,100,465.452174
36,100,466.329828
25,100,467.218453
27,100,467.787965
28,100,468.676593
36,100,469.565215
34,100,470.443868
34,100,471.001376
31,100,472.050573
35,100,473.006552
35,100,473.86027
31,100,474.687059
34,100,475.214649
34,100,476.040443
30,100,476.839306
38,100,477.636176
38,100,478.190694
34,100,479.071339
41,100,479.913089
30,100,480.74686
36,100,481.62252
30,100,482.197981
33,100,483.392788
32,100,484.274431
34,100,485.09424
33,100,485.919542
37,100,486.457128
31,100,487.373678
