#{"t_start": 1616602773.5237148, "env_id": null}
r,l,t
6,100,1.065325
10,100,2.79244
10,100,4.384109
13,100,6.065463
3,100,6.5625
10,100,8.278311
10,100,9.868207
11,100,11.508636
11,100,13.153888
10,100,13.626852
17,100,15.209861
11,100,16.764647
7,100,18.510818
11,100,19.021663
15,100,20.607948
14,100,22.177325
9,100,23.726992
11,100,25.307962
11,100,25.790936
8,100,27.395946
20,100,29.058704
14,100,30.641848
8,100,31.242857
10,100,32.831463
15,100,34.443597
8,100,36.053537
8,100,37.643258
14,100,38.175634
14,100,39.815597
14,100,41.368345
22,100,42.897899
11,100,43.376795
15,100,45.006469
14,100,46.560639
21,100,48.100392
9,100,49.651794
17,100,50.184503
16,100,51.842431
17,100,53.417967
17,100,55.092069
8,100,56.65012
19,100,57.157986
17,100,58.759726
15,100,60.377834
9,100,61.936471
11,100,62.44511
15,100,64.023268
20,100,65.648793
15,100,67.236181
16,100,68.785611
16,100,69.273959
14,100,70.909735
16,100,72.523824
13,100,74.170968
14,100,74.655843
19,100,76.280892
18,100,77.834942
16,100,79.483179
14,100,81.08447
25,100,81.565486
15,100,83.151988
17,100,84.712522
16,100,86.286712
20,100,86.776499
18,100,88.340338
14,100,90.023466
19,100,91.648449
20,100,93.239843
22,100,93.723969
15,100,95.443981
14,100,97.062404
15,100,98.691025
18,100,100.314794
25,100,100.806413
21,100,102.496588
20,100,104.100651
16,100,105.648626
11,100,106.130387
16,100,107.744474
18,100,109.303984
15,100,110.877167
19,100,112.432518
25,100,112.914167
20,100,114.489167
22,100,116.173796
13,100,117.807588
16,100,118.284185
17,100,119.883722
19,100,121.44851
25,100,123.02851
23,100,124.65838
16,100,125.149652
10,100,126.808601
21,100,128.421382
17,100,129.987577
15,100,130.461573
26,100,132.055259
26,100,133.677063
20,100,135.294863
19,100,136.988089
20,100,137.486056
15,100,139.07735
23,100,140.670399
18,100,142.269672
20,100,143.861391
17,100,144.340264
23,100,145.933189
18,100,147.535611
16,100,149.120199
15,100,149.733192
13,100,151.305067
17,100,152.867987
11,100,154.481741
17,100,156.038291
26,100,156.519621
21,100,158.279004
18,100,159.904253
23,100,161.466559
21,100,161.945454
19,100,163.510246
16,100,165.052856
19,100,166.612787
19,100,168.235255
25,100,168.707729
21,100,170.335464
17,100,171.895822
24,100,173.536531
24,100,174.034906
27,100,175.653793
17,100,177.257854
31,100,178.936878
14,100,180.541897
14,100,181.017609
22,100,182.588961
17,100,184.195849
20,100,185.780256
22,100,187.410635
20,100,187.883424
25,100,189.4821
19,100,191.090163
15,100,192.767904
21,100,193.237437
21,100,194.801418
26,100,196.395462
19,100,198.065456
18,100,199.773734
22,100,200.260531
21,100,201.851388
28,100,203.455193
14,100,205.006481
33,100,205.491799
21,100,207.087588
21,100,208.691515
19,100,210.271372
15,100,211.830975
24,100,212.310706
25,100,213.969389
24,100,215.574026
15,100,217.148973
22,100,217.635592
35,100,219.206808
22,100,220.814444
19,100,222.481866
28,100,224.078591
16,100,224.555605
29,100,226.139083
23,100,227.710248
26,100,229.317069
24,100,230.84857
19,100,231.327227
23,100,232.950837
22,100,234.582367
33,100,236.156497
26,100,236.645143
27,100,238.237263
23,100,239.835757
26,100,241.389893
19,100,242.997721
25,100,243.47779
30,100,245.160344
21,100,246.719543
24,100,248.280742
25,100,248.767162
28,100,250.32866
23,100,251.880102
23,100,253.401423
22,100,254.933771
30,100,255.439997
22,100,256.994616
23,100,258.541946
26,100,260.14841
21,100,260.620577
20,100,262.16369
22,100,263.773345
31,100,265.324147
18,100,266.857053
25,100,267.337457
25,100,268.980989
27,100,270.575619
28,100,272.129494
24,100,273.693709
30,100,274.181273
19,100,275.804403
19,100,277.357954
21,100,279.000765
19,100,279.46676
33,100,281.058647
23,100,282.634526
25,100,284.214286
24,100,285.785274
30,100,286.266925
23,100,287.876515
31,100,289.47606
24,100,291.15825
26,100,291.636889
23,100,293.212185
19,100,294.817611
33,100,296.417775
21,100,297.981005
24,100,298.461392
21,100,300.103179
25,100,301.67848
23,100,303.288347
28,100,303.776601
28,100,305.376982
20,100,306.940945
25,100,308.504859
31,100,310.054082
24,100,310.55319
25,100,312.104991
28,100,313.734572
28,100,315.321357
21,100,316.91814
31,100,317.393697
29,100,319.009445
30,100,320.6172
30,100,322.197295
29,100,322.69985
25,100,324.270676
29,100,325.831562
35,100,327.402125
24,100,328.950342
30,100,329.428158
32,100,331.040527
24,100,332.594014
20,100,334.145015
33,100,334.642095
23,100,336.262644
27,100,337.907872
20,100,339.484727
19,100,341.041394
34,100,341.521282
22,100,343.093125
24,100,344.644036
26,100,346.230169
31,100,346.712621
31,100,348.271348
22,100,349.833987
14,100,351.454497
22,100,353.012508
28,100,353.487956
19,100,355.100993
28,100,356.696127
33,100,358.243953
31,100,359.847556
23,100,360.363768
28,100,362.079582
23,100,363.645463
28,100,365.220577
23,100,365.691293
26,100,367.277078
31,100,368.918914
25,100,370.511958
33,100,372.088666
27,100,372.572091
24,100,374.146423
28,100,375.703956
25,100,377.256974
28,100,377.748804
26,100,379.350836
29,100,380.933092
29,100,382.468064
25,100,384.079619
22,100,384.737113
29,100,386.386911
27,100,387.946544
26,100,389.495919
29,100,390.006323
34,100,391.615363
31,100,393.155922
36,100,394.749157
27,100,396.343422
22,100,396.817949
28,100,398.401818
27,100,400.005993
31,100,401.570712
26,100,403.173339
25,100,403.663508
21,100,405.222056
22,100,406.883832
21,100,408.46616
32,100,408.942562
26,100,410.507851
26,100,412.073304
27,100,413.62951
25,100,415.236342
22,100,415.721297
25,100,417.299185
17,100,418.936353
37,100,420.475158
21,100,420.957688
29,100,422.527173
23,100,424.116669
30,100,425.683566
30,100,427.317811
26,100,427.778751
31,100,429.354653
31,100,430.919353
23,100,432.452947
29,100,432.937414
30,100,434.525481
39,100,436.128824
33,100,437.685231
27,100,439.308833
30,100,439.793444
22,100,441.391948
24,100,442.926721
28,100,444.526031
27,100,446.081191
26,100,446.558885
26,100,448.289159
24,100,449.855927
29,100,451.435143
20,100,451.91339
22,100,453.458774
27,100,455.063217
35,100,456.659758
26,100,458.225157
28,100,458.695232
27,100,460.274944
20,100,461.84149
30,100,463.469866
26,100,463.955498
28,100,465.500315
24,100,467.060575
25,100,468.771508
21,100,470.362763
26,100,470.826663
22,100,472.413398
28,100,473.979565
23,100,475.551167
31,100,476.039875
35,100,477.685592
24,100,479.364338
32,100,480.934905
22,100,482.524393
20,100,483.000887
23,100,484.62925
22,100,486.206773
29,100,487.777071
23,100,489.447639
32,100,489.939342
29,100,491.570571
22,100,493.136499
32,100,494.757356
32,100,495.237082
27,100,496.796983
27,100,498.358589
27,100,499.941302
29,100,501.518942
21,100,501.997652
23,100,503.607949
33,100,505.191832
26,100,506.75061
27,100,507.236552
29,100,508.95972
26,100,510.521517
30,100,512.091327
29,100,513.634258
32,100,514.11488
21,100,515.704466
30,100,517.252711
30,100,518.826596
30,100,519.31331
33,100,520.859194
29,100,522.833661
28,100,524.451463
22,100,526.000846
29,100,526.488752
19,100,528.102318
28,100,529.776286
23,100,531.396286
25,100,532.960481
27,100,533.44291
35,100,535.037684
24,100,536.640921
31,100,538.218083
28,100,538.701909
33,100,540.303573
20,100,541.860173
23,100,543.440099
29,100,545.055974
21,100,545.552559
29,100,547.120615
32,100,548.731839
21,100,550.300053
22,100,550.781396
23,100,552.39108
34,100,554.047339
27,100,555.679017
26,100,557.239009
28,100,557.731369
28,100,559.353314
34,100,560.960664
38,100,562.522935
20,100,563.006311
21,100,564.611282
22,100,566.185944
35,100,567.816742
38,100,569.378157
22,100,569.850252
26,100,571.466437
26,100,573.052112
24,100,574.611386
31,100,576.171419
29,100,576.706086
23,100,578.28722
30,100,579.895844
27,100,581.438843
27,100,581.919154
25,100,583.534288
20,100,585.115788
27,100,586.665479
26,100,588.233112
24,100,588.712343
23,100,590.289698
25,100,591.855231
23,100,593.391556
35,100,593.877314
23,100,595.480486
27,100,597.076992
31,100,598.669302
18,100,600.372468
26,100,600.82006
31,100,602.388753
28,100,603.984807
27,100,605.544656
30,100,606.023339
28,100,607.609501
36,100,609.16983
30,100,610.786522
29,100,612.370357
22,100,612.865859
22,100,614.47122
30,100,616.076757
26,100,617.635838
26,100,619.254246
29,100,619.735678
26,100,621.329594
28,100,622.903179
28,100,624.604814
27,100,625.081882
23,100,626.647089
26,100,628.229277
15,100,629.791518
28,100,631.389861
20,100,631.870359
33,100,633.438708
30,100,635.048806
24,100,636.62185
30,100,637.09964
27,100,638.722386
26,100,640.35497
27,100,641.901838
28,100,643.518277
34,100,643.992615
28,100,645.561557
27,100,647.116975
28,100,648.812901
30,100,649.307912
31,100,650.93269
25,100,652.524443
22,100,654.098092
35,100,655.697576
27,100,656.179229
27,100,657.740588
27,100,659.345708
28,100,660.903342
20,100,662.478396
28,100,662.960149
26,100,664.531897
26,100,666.114841
30,100,667.699739
28,100,668.187884
29,100,669.788481
27,100,671.414598
26,100,673.07004
28,100,674.69054
31,100,675.172505
23,100,676.751931
32,100,678.288472
22,100,679.873204
23,100,680.354819
28,100,681.966923
23,100,683.59099
27,100,685.174916
31,100,686.839039
31,100,687.333228
26,100,688.918144
26,100,690.509168
29,100,692.089685
38,100,692.538994
30,100,694.094532
28,100,695.920696
33,100,697.483466
26,100,699.102167
25,100,699.583542
29,100,701.244874
31,100,702.827373
30,100,704.486217
24,100,706.04787
28,100,706.527107
29,100,708.090589
33,100,709.684606
29,100,711.280477
25,100,711.760066
27,100,713.325796
22,100,714.897563
41,100,716.561851
29,100,718.116041
27,100,718.595621
30,100,720.198718
27,100,721.759697
29,100,723.336647
31,100,723.817298
37,100,725.381057
31,100,726.953838
20,100,728.516836
20,100,730.144652
28,100,730.627426
24,100,732.186813
34,100,733.758349
28,100,735.364231
31,100,735.838382
30,100,737.411864
27,100,739.017513
20,100,740.58386
19,100,742.152517
23,100,742.724653
22,100,744.30485
22,100,745.886795
39,100,747.446811
26,100,749.054211
18,100,749.540442
22,100,751.109623
24,100,752.67515
24,100,754.244306
24,100,754.724521
23,100,756.355173
30,100,757.91565
28,100,759.528091
23,100,761.122377
27,100,761.601834
31,100,763.1738
24,100,764.741883
22,100,766.310054
29,100,766.792404
31,100,768.470306
27,100,770.054643
32,100,771.622968
31,100,773.196867
22,100,773.681175
24,100,775.309911
31,100,776.881892
23,100,778.517332
34,100,778.980502
31,100,780.737708
20,100,782.296533
24,100,783.890828
19,100,785.414867
28,100,785.900687
24,100,787.473917
24,100,789.036076
24,100,790.623484
29,100,792.292504
25,100,792.75391
26,100,794.316564
24,100,795.935845
28,100,797.486989
22,100,797.983258
26,100,799.602204
29,100,801.139248
20,100,802.751682
32,100,804.324345
26,100,804.798489
26,100,806.359519
27,100,807.939167
26,100,809.488503
27,100,809.967757
34,100,811.577373
26,100,813.136702
28,100,814.741879
25,100,816.369113
34,100,816.851081
23,100,818.41483
25,100,820.010982
24,100,821.550125
38,100,822.041373
24,100,823.686953
21,100,825.276604
24,100,826.837743
22,100,828.437646
27,100,828.912564
29,100,830.503071
37,100,832.093596
37,100,833.601415
34,100,835.223548
28,100,835.699329
24,100,837.285434
23,100,838.908261
27,100,840.458419
28,100,840.944122
26,100,842.614503
25,100,844.166568
30,100,845.70385
38,100,847.325087
30,100,847.800898
30,100,849.398892
28,100,850.977691
29,100,852.546113
20,100,853.02277
25,100,854.582028
24,100,856.191967
38,100,857.730559
34,100,859.316981
29,100,859.800248
26,100,861.379121
30,100,862.933786
28,100,864.528176
32,100,865.010227
30,100,866.559239
30,100,868.178425
31,100,869.773355
30,100,871.376998
24,100,871.86114
23,100,873.406995
29,100,875.009951
21,100,876.579853
24,100,878.145269
37,100,878.642615
31,100,880.289302
22,100,881.83731
31,100,883.429174
28,100,883.907576
33,100,885.479104
24,100,887.039012
29,100,888.601039
29,100,890.115123
25,100,890.667949
23,100,892.304873
23,100,893.883695
27,100,895.484878
37,100,895.967919
30,100,897.541103
24,100,899.127856
22,100,900.703257
34,100,902.266369
29,100,902.768004
29,100,904.371668
24,100,905.898287
29,100,907.461236
21,100,907.938093
28,100,909.49434
20,100,911.087278
33,100,912.649582
36,100,914.207256
30,100,914.683824
28,100,916.406896
27,100,917.942104
34,100,919.572871
26,100,921.131472
30,100,921.60641
32,100,923.216286
30,100,924.797634
35,100,926.361722
31,100,926.847595
30,100,928.438861
29,100,929.995757
23,100,931.557421
33,100,933.140165
24,100,933.623219
32,100,935.223445
20,100,936.785169
26,100,938.332484
30,100,938.812986
22,100,940.525587
18,100,942.111739
25,100,943.662613
23,100,945.255007
25,100,945.728727
24,100,947.32064
21,100,948.892041
28,100,950.457913
32,100,950.949895
32,100,952.572331
31,100,954.182252
28,100,955.7628
36,100,957.339449
31,100,957.846021
26,100,959.47342
26,100,961.042842
33,100,962.630914
30,100,964.256612
28,100,964.850944
31,100,966.472814
30,100,968.074538
31,100,969.650821
23,100,970.130804
33,100,971.751032
37,100,973.363768
37,100,974.969544
29,100,976.535384
32,100,977.020822
32,100,978.581038
18,100,980.127732
27,100,981.679174
23,100,982.181179
26,100,983.788935
22,100,985.337916
34,100,986.877867
29,100,988.508055
25,100,989.036483
27,100,990.664763
28,100,992.226394
17,100,993.818722
32,100,994.313474
26,100,995.898414
26,100,997.456065
29,100,999.065217
20,100,1000.664252
27,100,1001.143538
30,100,1002.712368
20,100,1004.315101
28,100,1005.888933
21,100,1007.471277
33,100,1007.950601
19,100,1009.509865
27,100,1011.106204
21,100,1012.726685
24,100,1013.206254
30,100,1014.869398
23,100,1016.465574
31,100,1018.013827
25,100,1019.610957
24,100,1020.095693
26,100,1021.667017
26,100,1023.300695
33,100,1024.85833
25,100,1025.340349
25,100,1026.964867
20,100,1028.557708
28,100,1030.120387
27,100,1031.682004
28,100,1032.200072
27,100,1033.794688
22,100,1035.392388
22,100,1037.008294
33,100,1037.476615
28,100,1039.04393
25,100,1040.639364
28,100,1042.183545
34,100,1043.759929
26,100,1044.234914
30,100,1045.789877
22,100,1047.393608
33,100,1048.968914
25,100,1050.519676
31,100,1051.001343
33,100,1052.617936
25,100,1054.243028
28,100,1055.838751
23,100,1056.306443
28,100,1057.83674
31,100,1059.429445
32,100,1061.068654
30,100,1062.627143
23,100,1063.122216
30,100,1064.669468
18,100,1066.220554
28,100,1067.766029
25,100,1068.217981
37,100,1069.770549
30,100,1071.369208
26,100,1072.919408
22,100,1074.531219
22,100,1075.083785
26,100,1076.697925
30,100,1078.297857
28,100,1079.888544
26,100,1080.376687
31,100,1081.976961
36,100,1083.595306
33,100,1085.264747
31,100,1086.872709
22,100,1087.352407
33,100,1088.96025
22,100,1090.526474
23,100,1092.110436
26,100,1093.682352
23,100,1094.165421
17,100,1095.802812
29,100,1097.392366
28,100,1098.926898
30,100,1099.405697
25,100,1100.971841
24,100,1102.515077
25,100,1104.113364
25,100,1105.69487
28,100,1106.173468
22,100,1107.769239
37,100,1109.399097
31,100,1110.97383
25,100,1111.466125
24,100,1113.015909
29,100,1114.589202
38,100,1116.194853
29,100,1117.749445
22,100,1118.331105
31,100,1119.893815
24,100,1121.421078
33,100,1122.96073
28,100,1123.442441
33,100,1124.986909
25,100,1126.548318
23,100,1128.100425
28,100,1129.665999
27,100,1130.149974
25,100,1131.803977
25,100,1133.372984
24,100,1134.925873
21,100,1136.486021
34,100,1136.966924
27,100,1138.517157
25,100,1140.073667
29,100,1141.630347
31,100,1142.113151
24,100,1143.725103
27,100,1145.282639
24,100,1146.8363
30,100,1148.441587
34,100,1148.936316
22,100,1150.505914
26,100,1152.082775
33,100,1153.639837
33,100,1154.119832
25,100,1155.786859
18,100,1157.353924
25,100,1158.950222
26,100,1160.550482
28,100,1161.032567
25,100,1162.595221
33,100,1164.138862
24,100,1165.712705
29,100,1166.201236
28,100,1167.756706
25,100,1169.324547
28,100,1170.95684
28,100,1172.614963
21,100,1173.116697
32,100,1174.705947
21,100,1176.283499
28,100,1177.905701
27,100,1179.52188
29,100,1179.984714
30,100,1181.52864
35,100,1183.167191
29,100,1184.717306
19,100,1185.186514
19,100,1186.753459
36,100,1188.336993
25,100,1189.886463
22,100,1191.478691
25,100,1191.945594
27,100,1193.520316
34,100,1195.131769
37,100,1196.736104
30,100,1197.22422
23,100,1198.840001
26,100,1200.414708
35,100,1202.084373
21,100,1203.704111
36,100,1204.176066
24,100,1205.818566
26,100,1207.387824
25,100,1208.934505
34,100,1209.42643
22,100,1210.996681
24,100,1212.562999
22,100,1214.120944
26,100,1215.724153
25,100,1216.201906
25,100,1217.768219
26,100,1219.385785
27,100,1220.958165
29,100,1222.518507
25,100,1223.009247
29,100,1224.601801
23,100,1226.255166
35,100,1227.847928
23,100,1228.304815
24,100,1229.877833
23,100,1231.424443
14,100,1232.97434
34,100,1234.733759
23,100,1235.220302
35,100,1236.773683
21,100,1238.313545
29,100,1239.909251
27,100,1240.390148
30,100,1241.976157
24,100,1243.579696
27,100,1245.131831
29,100,1246.729052
31,100,1247.207938
