#{"t_start": 1616349904.2583113, "env_id": null}
r,l,t
6,100,0.707227
7,100,1.993714
10,100,3.259667
6,100,4.434252
3,100,4.863196
7,100,6.110736
12,100,7.297665
7,100,8.383738
9,100,9.533775
8,100,10.035988
19,100,11.270947
12,100,12.533625
8,100,13.735548
10,100,14.220835
13,100,15.429776
12,100,16.606335
9,100,17.946062
9,100,19.348863
13,100,19.818038
9,100,20.986848
10,100,22.182616
19,100,23.437401
10,100,23.882661
10,100,25.11436
8,100,26.233299
13,100,27.445659
5,100,28.658327
10,100,29.263978
13,100,30.424767
4,100,31.719057
6,100,33.080501
6,100,33.533534
14,100,34.776507
10,100,36.00285
5,100,37.277742
9,100,38.564453
12,100,39.201791
9,100,40.47131
10,100,41.852201
8,100,43.139103
6,100,44.266993
9,100,44.717781
12,100,46.018165
8,100,47.241094
12,100,48.475152
5,100,48.908947
7,100,50.274409
10,100,51.492757
8,100,52.731256
7,100,53.89093
15,100,54.460861
12,100,55.611687
6,100,56.879999
8,100,58.096087
7,100,58.706171
15,100,59.910282
5,100,61.215235
9,100,62.46601
12,100,63.786749
7,100,64.319351
13,100,65.756196
4,100,67.008709
18,100,68.207323
8,100,68.72274
7,100,70.142408
13,100,71.425733
7,100,73.218615
15,100,74.406685
5,100,74.918926
8,100,76.221177
7,100,77.517411
6,100,78.815065
3,100,80.020958
10,100,80.459023
13,100,81.676245
11,100,82.957616
11,100,84.117713
5,100,84.629433
12,100,85.780156
4,100,86.8951
11,100,88.121456
12,100,89.263473
9,100,89.701538
13,100,90.856013
3,100,91.998178
4,100,93.159007
6,100,93.6073
8,100,94.800916
5,100,95.971779
13,100,97.014867
9,100,98.118244
11,100,98.554512
6,100,99.726193
1,100,100.997696
18,100,102.212994
8,100,102.719264
17,100,103.950966
9,100,105.070218
11,100,106.293075
10,100,107.54529
16,100,107.976688
9,100,109.194187
9,100,110.419437
8,100,111.619879
9,100,112.815038
10,100,113.334025
10,100,114.491947
12,100,115.516017
15,100,116.771669
6,100,117.248473
6,100,118.507567
8,100,119.653356
0,100,120.776689
7,100,121.979508
8,100,122.493032
8,100,123.624312
4,100,124.79898
12,100,126.012234
8,100,126.517041
8,100,127.676491
14,100,128.952619
11,100,130.096992
8,100,131.462118
10,100,132.001685
6,100,133.202799
17,100,134.34867
8,100,135.548017
11,100,136.062595
5,100,137.291575
11,100,138.576832
13,100,139.749176
8,100,140.870083
15,100,141.386312
10,100,142.70466
8,100,144.038008
6,100,145.332589
7,100,146.591259
7,100,147.095057
10,100,148.336388
6,100,149.536328
7,100,150.598493
3,100,151.115274
13,100,152.27399
9,100,153.469527
9,100,154.644891
7,100,155.90473
6,100,156.358792
11,100,157.64945
10,100,158.856249
9,100,160.101392
9,100,160.611472
6,100,161.829541
13,100,163.162072
9,100,164.398666
7,100,165.780345
9,100,166.278496
13,100,167.479389
11,100,168.579255
8,100,169.862696
7,100,170.374747
8,100,171.568748
5,100,172.806082
7,100,174.072863
15,100,175.283001
8,100,175.708225
12,100,177.101488
15,100,178.251747
12,100,179.37125
2,100,180.565946
11,100,181.105843
10,100,182.396166
2,100,183.538404
6,100,184.89313
8,100,185.238437
7,100,186.479216
5,100,187.85487
10,100,189.032624
4,100,190.280563
6,100,190.714234
4,100,192.072082
13,100,193.346048
17,100,194.549898
7,100,195.044351
14,100,196.355915
10,100,197.554667
11,100,198.77064
20,100,199.972321
15,100,200.509079
9,100,201.798754
8,100,202.912452
9,100,204.044748
10,100,204.555561
9,100,205.779969
5,100,207.079357
4,100,208.293359
14,100,209.523336
3,100,209.9953
4,100,211.159257
9,100,212.296568
11,100,213.574138
4,100,214.830619
10,100,215.39876
13,100,216.581685
10,100,217.788187
8,100,219.072678
6,100,219.587703
10,100,220.587103
16,100,221.724742
1,100,222.990739
13,100,224.283077
6,100,224.771061
10,100,225.994891
14,100,227.296867
1,100,228.441199
6,100,228.951358
9,100,230.0775
4,100,231.251345
8,100,232.462699
7,100,233.617753
11,100,234.148118
5,100,235.431777
7,100,236.691653
5,100,237.715786
6,100,238.294764
4,100,239.637103
9,100,240.833405
11,100,242.00595
3,100,243.22543
13,100,243.736621
21,100,244.888168
17,100,246.081707
10,100,247.380207
5,100,248.661577
5,100,249.167554
8,100,250.320082
10,100,251.600451
3,100,252.798412
14,100,253.35411
8,100,254.520672
5,100,255.674554
14,100,256.870276
5,100,258.098911
8,100,258.682773
5,100,259.883212
14,100,261.133768
13,100,262.366309
8,100,262.846291
12,100,264.011509
5,100,265.200873
13,100,266.48217
10,100,267.625495
8,100,268.15399
17,100,269.462706
13,100,270.654678
9,100,271.809968
10,100,272.391056
6,100,273.446366
4,100,274.578989
10,100,275.702979
7,100,276.969874
13,100,277.460442
6,100,278.785408
8,100,280.095764
6,100,281.253227
16,100,282.491137
10,100,282.996798
14,100,284.206897
4,100,285.396631
15,100,286.678478
6,100,287.230959
5,100,288.379912
7,100,289.697036
13,100,290.787531
15,100,292.013635
6,100,292.446962
11,100,293.679763
11,100,294.989542
8,100,296.215329
10,100,296.804333
5,100,298.057955
7,100,299.289297
9,100,300.536556
1,100,301.690661
9,100,302.214993
5,100,303.484681
16,100,304.761646
3,100,306.005208
11,100,306.510982
13,100,307.541493
8,100,308.618451
5,100,309.823862
8,100,311.049605
5,100,311.665823
11,100,313.010091
11,100,314.256136
9,100,315.439486
23,100,316.57463
12,100,317.034025
10,100,318.186157
9,100,319.330114
2,100,320.561286
5,100,321.165976
7,100,322.489942
10,100,323.673243
5,100,324.881535
8,100,325.988711
4,100,326.428332
12,100,327.639521
12,100,328.849469
6,100,330.077333
10,100,330.559411
9,100,331.84009
5,100,333.001237
13,100,334.276528
14,100,335.499284
12,100,335.932107
8,100,337.14356
13,100,338.420325
8,100,339.545577
12,100,340.002383
9,100,341.351724
14,100,342.540632
8,100,343.751522
6,100,344.955357
6,100,345.433315
10,100,346.615117
8,100,347.733526
12,100,348.905663
6,100,350.127991
9,100,350.648664
12,100,351.87141
5,100,353.166381
10,100,354.41814
11,100,354.896337
7,100,356.026907
4,100,357.233617
13,100,358.509098
11,100,359.630166
10,100,360.063469
2,100,361.171547
9,100,362.401224
10,100,363.593513
5,100,364.173872
8,100,365.473701
11,100,366.651539
13,100,367.999907
6,100,369.184358
12,100,369.671249
12,100,370.986482
2,100,372.207909
5,100,373.374838
6,100,373.901713
12,100,375.144843
8,100,376.448422
5,100,377.549414
5,100,378.721228
16,100,379.194334
13,100,380.540378
7,100,381.723411
10,100,382.91184
8,100,384.085348
7,100,384.693937
6,100,385.869388
19,100,387.205013
5,100,388.455279
8,100,388.887388
10,100,390.11708
9,100,391.402934
4,100,392.644325
10,100,393.949248
7,100,394.539684
11,100,395.666136
12,100,396.885731
10,100,398.152422
11,100,398.647505
12,100,399.881778
9,100,401.088848
11,100,402.352029
6,100,403.509273
16,100,403.981133
6,100,405.225537
4,100,406.342997
12,100,407.605062
9,100,408.104798
12,100,409.249028
11,100,411.528128
9,100,412.56908
14,100,413.715906
18,100,414.21629
2,100,415.465134
13,100,416.625016
7,100,417.856299
8,100,419.227522
7,100,419.729677
11,100,421.028646
7,100,422.259156
7,100,423.627353
8,100,424.081567
19,100,425.297683
10,100,426.53554
7,100,427.754809
10,100,428.948018
2,100,429.389332
12,100,430.541585
5,100,431.718711
9,100,432.960145
8,100,433.390947
22,100,434.536284
8,100,435.682597
13,100,436.831667
4,100,438.052377
13,100,438.472855
3,100,439.632572
5,100,440.907135
8,100,442.177601
9,100,442.740683
10,100,443.941786
15,100,445.187556
11,100,446.447071
14,100,447.634343
2,100,448.035685
4,100,449.175065
10,100,450.364247
16,100,451.575523
11,100,452.782686
9,100,453.319351
8,100,454.569824
6,100,455.807974
14,100,457.05335
9,100,457.606136
8,100,458.853881
7,100,460.145146
4,100,461.308945
11,100,462.558593
7,100,463.05812
5,100,464.319835
