#{"t_start": 1616681158.4068909, "env_id": null}
r,l,t
4,100,6.847391
8,100,8.644786
10,100,10.228429
10,100,11.982277
9,100,13.214151
7,100,14.92019
12,100,16.289257
5,100,17.969263
8,100,19.667475
9,100,20.504391
9,100,22.274313
13,100,23.886484
10,100,25.596264
10,100,26.69538
12,100,27.787622
4,100,29.279744
12,100,30.059673
13,100,31.066917
16,100,31.772147
8,100,33.073106
18,100,34.249734
9,100,35.821868
15,100,36.58171
8,100,37.514768
10,100,38.531827
12,100,39.612849
10,100,40.506972
15,100,41.099501
11,100,41.891738
18,100,42.550644
13,100,43.313931
16,100,43.807581
6,100,44.496655
17,100,45.444451
8,100,46.622392
10,100,47.839717
16,100,48.665304
19,100,49.63938
15,100,50.567338
15,100,51.458908
17,100,52.076713
14,100,52.488655
16,100,53.119942
15,100,53.883879
23,100,54.856652
14,100,55.409055
22,100,56.003968
16,100,56.612858
15,100,57.213436
19,100,57.818146
10,100,58.647924
23,100,59.6406
13,100,60.635717
12,100,61.712767
15,100,62.406207
16,100,63.47678
14,100,64.546129
15,100,65.538354
20,100,66.12961
16,100,66.57922
16,100,67.319023
16,100,67.927868
10,100,68.805412
14,100,69.481956
19,100,70.451679
16,100,71.431634
22,100,72.58954
14,100,73.420983
13,100,74.094184
20,100,75.138975
13,100,76.078463
21,100,76.905631
11,100,77.664442
24,100,78.142164
15,100,78.770484
12,100,79.367887
17,100,80.027126
11,100,80.470941
23,100,81.106241
16,100,81.663749
17,100,82.214475
17,100,82.763007
15,100,83.153962
12,100,83.726689
18,100,84.289184
18,100,84.849708
18,100,85.238574
11,100,85.814028
24,100,86.380513
18,100,86.947951
19,100,87.507425
18,100,87.929351
14,100,88.48521
17,100,89.048704
26,100,89.602225
19,100,89.990563
17,100,90.554056
16,100,91.106583
14,100,91.667297
15,100,92.221815
16,100,92.611792
24,100,93.185695
24,100,93.734228
16,100,94.287016
13,100,94.845522
17,100,95.232488
20,100,95.780658
16,100,96.335175
23,100,96.876728
19,100,97.264964
20,100,97.814495
6,100,98.365023
11,100,98.918683
19,100,99.486165
20,100,99.882108
22,100,100.443155
15,100,100.988696
19,100,101.538237
19,100,101.927747
19,100,102.476281
19,100,103.02282
20,100,103.581455
13,100,104.126996
17,100,104.527924
22,100,105.068595
13,100,105.614124
14,100,106.169611
15,100,106.572534
17,100,107.121519
14,100,107.672965
20,100,108.195568
21,100,108.738137
23,100,109.161383
23,100,109.749814
20,100,110.264768
27,100,110.789657
11,100,111.316248
16,100,111.700223
19,100,112.20727
19,100,112.767802
18,100,113.291435
16,100,113.668361
18,100,114.217859
19,100,114.740479
17,100,115.259575
15,100,115.789126
18,100,116.167115
14,100,116.701062
26,100,117.2178
19,100,117.737457
24,100,118.116398
11,100,118.635657
20,100,119.162247
25,100,119.696356
16,100,120.223977
15,100,120.601936
19,100,121.126541
12,100,121.662918
15,100,122.214444
25,100,122.603404
22,100,123.136977
19,100,123.666562
20,100,124.194327
27,100,124.720909
19,100,125.106892
17,100,125.63647
19,100,126.170381
19,100,126.704983
21,100,127.226362
20,100,127.608341
23,100,128.133936
20,100,128.657535
17,100,129.187292
20,100,129.576253
27,100,130.096901
27,100,130.623825
27,100,131.139445
14,100,131.656065
23,100,132.034975
18,100,132.55359
22,100,133.072239
19,100,133.588228
16,100,133.961231
25,100,134.493807
19,100,135.010814
18,100,135.537408
16,100,136.062036
13,100,136.448161
17,100,136.989713
12,100,137.508327
18,100,138.034259
20,100,138.413246
17,100,138.935358
24,100,139.459953
23,100,139.974582
17,100,140.496184
23,100,140.873684
18,100,141.393306
21,100,141.921882
20,100,142.444005
24,100,142.960952
19,100,143.341952
20,100,143.866142
20,100,144.383719
14,100,144.90735
22,100,145.290994
26,100,145.818568
27,100,146.348152
19,100,146.868792
25,100,147.395352
17,100,147.769397
21,100,148.289995
18,100,148.814593
26,100,149.337224
19,100,149.71614
19,100,150.253715
21,100,150.800243
17,100,151.323655
22,100,151.843248
27,100,152.218298
23,100,152.743248
16,100,153.266829
19,100,153.784412
23,100,154.165394
15,100,154.681917
22,100,155.203527
17,100,155.716079
23,100,156.236687
25,100,156.612715
15,100,157.133291
20,100,157.658893
11,100,158.184483
15,100,158.709162
30,100,159.081168
28,100,159.610753
29,100,160.132379
22,100,160.654329
27,100,161.043866
20,100,161.573418
20,100,162.096879
25,100,162.619515
20,100,163.136114
28,100,163.522558
19,100,164.046168
19,100,164.569784
26,100,165.088013
19,100,165.469991
21,100,165.98763
18,100,166.513221
26,100,167.031817
25,100,167.551432
25,100,167.929639
26,100,168.446254
19,100,168.972848
26,100,169.49199
17,100,169.877938
24,100,170.399554
19,100,170.928114
25,100,171.452691
19,100,171.980281
27,100,172.358798
25,100,172.887385
28,100,173.400014
20,100,173.924141
26,100,174.43773
24,100,174.814723
19,100,175.33772
28,100,175.852337
18,100,176.374934
15,100,176.75065
16,100,177.271291
30,100,177.799877
30,100,178.319473
17,100,178.842074
26,100,179.225052
23,100,179.751175
22,100,180.265799
29,100,180.788402
27,100,181.166392
25,100,181.693634
28,100,182.247208
23,100,182.775739
22,100,183.301358
19,100,183.687338
17,100,184.209906
22,100,184.740488
27,100,185.257651
21,100,185.63464
32,100,186.151706
26,100,186.676303
32,100,187.194917
26,100,187.717825
23,100,188.093822
34,100,188.615426
23,100,189.138144
18,100,189.662725
17,100,190.186327
22,100,190.573348
26,100,191.103929
29,100,191.625536
29,100,192.148828
23,100,192.529808
22,100,193.045435
29,100,193.568114
22,100,194.115683
22,100,194.636256
16,100,195.022602
19,100,195.536249
23,100,196.064817
20,100,196.580684
27,100,196.969637
23,100,197.490244
27,100,198.0174
25,100,198.53003
20,100,199.048972
22,100,199.432112
26,100,199.95272
29,100,200.47034
22,100,201.002118
29,100,201.37616
24,100,201.894754
24,100,202.417799
28,100,202.950376
32,100,203.470006
24,100,203.846892
26,100,204.365477
20,100,204.886087
28,100,205.406093
26,100,205.925713
31,100,206.307682
22,100,206.821266
33,100,207.344865
22,100,207.871458
28,100,208.247794
25,100,208.768402
26,100,209.292002
22,100,209.810996
23,100,210.327615
29,100,210.706601
26,100,211.231748
29,100,211.755903
27,100,212.274503
30,100,212.656474
31,100,213.18505
26,100,213.711642
20,100,214.229131
25,100,214.751735
26,100,215.132717
30,100,215.655318
25,100,216.171214
23,100,216.692787
21,100,217.069775
23,100,217.59188
28,100,218.105507
20,100,218.64008
18,100,219.16194
32,100,219.543918
27,100,220.066522
