#{"t_start": 1617149633.3890886, "env_id": null}
r,l,t
31.0,31,0.042848
22.0,22,0.069994
13.0,13,0.085996
18.0,18,0.107989
10.0,10,0.119846
16.0,16,0.139957
22.0,22,0.630964
31.0,31,0.669964
12.0,12,0.684975
17.0,17,0.705974
16.0,16,0.724973
13.0,13,0.741387
39.0,39,1.247388
16.0,16,1.267362
21.0,21,1.292354
11.0,11,1.306359
11.0,11,1.319356
25.0,25,1.349938
18.0,18,1.371932
21.0,21,1.396933
47.0,47,1.914906
18.0,18,1.936906
16.0,16,1.956756
10.0,10,1.968899
22.0,22,1.995333
19.0,19,2.478881
20.0,20,2.503845
27.0,27,2.536872
43.0,43,2.588867
22.0,22,2.615869
24.0,24,3.10134
26.0,26,3.134696
11.0,11,3.147841
43.0,43,3.200807
25.0,25,3.232257
14.0,14,3.706968
32.0,32,3.745815
15.0,15,3.764425
25.0,25,3.797524
19.0,19,3.819808
21.0,21,3.845811
11.0,11,3.859663
18.0,18,4.335783
54.0,54,4.402756
35.0,35,4.445804
14.0,14,4.462776
15.0,15,4.936611
13.0,13,4.95161
23.0,23,4.980663
10.0,10,4.992709
24.0,24,5.021717
10.0,10,5.033746
15.0,15,5.051748
16.0,16,5.071709
10.0,10,5.083712
21.0,21,5.567146
11.0,11,5.580575
15.0,15,5.598681
11.0,11,5.611723
11.0,11,5.62572
51.0,51,5.687694
17.0,17,6.159115
12.0,12,6.173124
37.0,37,6.218537
46.0,46,6.273694
22.0,22,6.300708
12.0,12,6.776779
26.0,26,6.807657
39.0,39,6.855692
46.0,46,6.91107
33.0,33,7.400044
76.0,76,7.492045
38.0,38,8.002016
44.0,44,8.056011
55.0,55,8.123013
34.0,34,8.616001
32.0,32,8.655998
17.0,17,8.675987
54.0,54,8.741987
42.0,42,9.235564
48.0,48,9.294535
57.0,57,9.831626
26.0,26,9.864647
44.0,44,9.917696
79.0,79,10.462952
57.0,57,10.531971
124.0,124,11.123877
77.0,77,11.657831
106.0,106,12.223943
115.0,115,12.364225
68.0,68,12.883351
188.0,188,13.54274
110.0,110,14.109287
184.0,184,15.211087
23.0,23,15.238213
190.0,190,15.916051
199.0,199,17.024107
158.0,158,17.645971
287.0,287,18.883904
217.0,217,20.00799
262.0,262,21.175937
460.0,460,23.446792
440.0,440,25.290736
51599.0,51599,257.497263
663.0,663,260.803715
505.0,505,262.666732
720.0,720,266.083554
710.0,710,269.459257
869.0,869,273.026224
971.0,971,277.557853
1711.0,1711,285.081576
